peak	gene	CV_amplitude	CV_phase	GF_LAG	GF_mean	GF_pvalue	GF_qvalue	GF_fdr_BH
chr1_36690738_36692994	Cox5b	75.65711345	11.09417198	0.2115997	316.2946731	0.154467879	0.003127598	0.280478175
chr1_36707314_36710674	Actr1b	40.00722519	11.31787387	0.76301577	274.5569241	0.003896925	0.002716355	0.243598609
chr1_36934892_36940976	Tmem131	178.822676	10.84877989	1.734142186	934.4651044	0.216273041	0.003586696	0.321649445
chr1_37298571_37302826	Inpp4a	56.83686688	11.76856318	0.950754658	371.4048994	0.039300321	0.002999802	0.269017677
chr1_37428319_37432490	Unc50	85.46681398	10.50004451	1.239073987	504.9726801	0.095944576	0.003044557	0.273031225
chr1_37499851_37505924	4930594C11Rik	24.0316269	12.20920827	20.33730213	238.4615781	0.200727959	0.003501957	0.314050145
chr1_37536919_37542093	Mgat4a	126.1915684	11.73713256	0.722954825	538.1798387	0.005598799	0.002742646	0.245956315
chr1_37718459_37721183	2010300C02Rik	30.88254468	12.68403398	20.27098664	165.2614194	0.215162454	0.003581707	0.321202041
chr1_37863743_37866792	Tsga10	17.77636726	13.68766897	0.995121605	201.1852309	0.049584233	0.003031006	0.271815974
chr1_37871499_37873799	Lipt1	10.52298453	9.974352716	19.38433568	123.6982009	0.366988513	0.004618874	0.414213608
chr1_37888718_37892302	Mrpl30	38.33149074	10.42981087	0.951057995	381.3484996	0.039370677	0.002999802	0.269017677
chr1_37995751_38000330	Eif5b	153.3869725	10.88329891	1.834444877	765.852803	0.2378172	0.003715136	0.333167714
chr1_38127839_38130698	Rev1	52.65093499	11.98797155	20.21897722	251.1403565	0.226384687	0.003643634	0.326755534
chr1_38985793_38989498	Pdcl3	70.97070353	11.33655138	1.798329168	495.3947015	0.165521003	0.00315215	0.282680035
chr1_39192079_39198350	Npas2	39.43923884	10.48353153	0.707969483	643.6252184	0.009150556	0.002809574	0.251958306
chr1_39366978_39371486	Rpl31	92.58810037	11.14962246	0.632823164	467.666867	0.034558673	0.002999802	0.269017677
chr1_39477035_39479484	Tbc1d8	36.40811839	11.5155026	0.993838762	185.0241731	0.049287081	0.003029946	0.271720956
chr1_39534968_39537493	D1Bwg0212e	41.43912891	11.53090551	0.613414055	227.8654249	0.0390617	0.002999802	0.269017677
chr1_39575290_39578310	Rnf149	50.6670042	11.18135191	0.374091175	250.2597563	0.106003656	0.003048531	0.273387593
chr1_39900007_39903317	Map4k4	78.63426618	11.15347564	0.908675154	337.0096129	0.029535278	0.002999802	0.269017677
chr1_40679622_40683734	Slc9a2	130.1585162	11.02801391	1.30772123	590.8941227	0.101627967	0.003044557	0.273031225
chr1_40789174_40791804	Mfsd9	38.64799718	10.42299242	0.545311154	276.6915052	0.05484182	0.003031006	0.271815974
chr1_42850564_42852774	Mrps9	34.69676568	11.81872362	1.001257077	197.8137443	0.051005247	0.003031006	0.271815974
chr1_43096864_43100225	AI597479	99.68442144	10.20918183	1.376591859	575.725235	0.116758884	0.003065676	0.274925146
chr1_43159224_43165476	Fhl2	102.6259745	11.87813313	0.328271783	607.5943424	0.121209272	0.003069738	0.275289426
chr1_43444014_43448961	Nck2	202.0262786	11.08737703	0.728594209	675.4100716	0.004262117	0.002716355	0.243598609
chr1_43825897_43828805	Uxs1	45.40122698	11.72531527	1.041312705	245.9398732	0.06027456	0.003031006	0.271815974
chr1_43932707_43936658	Tpp2	129.651729	10.13689756	1.737786236	655.7992378	0.217061602	0.003593995	0.322303982
chr1_44100552_44103346	1700029F09Rik	44.73294125	10.21354957	1.067869574	230.5065675	0.066411855	0.003031006	0.271815974
chr1_44117827_44121202	Bivm	38.24476729	12.20289355	20.24873939	241.585044	0.21997367	0.003610635	0.323796269
chr1_44147008_44149416	Ercc5	33.22169725	10.08535693	0.916472973	155.343999	0.031345559	0.002999802	0.269017677
chr1_45794699_45797041	Wdr75	46.3650852	11.01302596	1.023190482	235.3902992	0.056082626	0.003031006	0.271815974
chr1_45925000_45926751	Slc40a1	29.73583264	11.61591937	0.336143483	129.9660813	0.114338328	0.003065676	0.274925146
chr1_46076065_46076236	Dnahc7b	1.939780368	11.10405844	1.802170638	8.797120454	0.230922086	0.003676599	0.329711758
chr1_46851992_46855099	Slc39a10	84.58834655	11.2828289	1.378847663	374.0718255	0.11725321	0.003065676	0.274925146
chr1_51476767_51479591	Obfc2a	87.26907388	10.15304096	1.871737036	430.6835637	0.24573888	0.003765402	0.337675545
chr1_51914750_51916325	Myo1b	39.27733957	12.03959076	21.07110419	102.1095996	0.695363713	0.008082926	0.724864485
chr1_52118494_52121899	Stat1	50.54688213	11.3808877	0.2650071	350.1164002	0.134751413	0.003083617	0.276534089
chr1_52226231_52234290	Gls	137.4524108	11.12647771	0.510494268	703.3576428	0.062894466	0.003031006	0.271815974
chr1_52498749_52502483	Nab1	87.2949741	10.6739832	0.785638504	414.0738793	0.009258939	0.002809574	0.251958306
chr1_52630039_52631815	Tmem194b	14.5956398	10.74825271	1.507836263	89.05135387	0.135300706	0.003083617	0.276534089
chr1_52725519_52728499	Mfsd6	100.0137928	11.3784424	0.313405677	416.5215491	0.119321268	0.003065676	0.274925146
chr1_52816237_52818288	Inpp1	23.87367152	11.30415544	20.40737583	185.7656256	0.185331408	0.003412694	0.306045155
chr1_52844187_52846375	Hibch	33.92380961	11.23375532	0.206126131	187.3540769	0.155582089	0.003132851	0.280949289
chr1_52950584_52953899	1700019D03Rik	37.13242954	11.03759751	20.19147564	200.4229198	0.232282343	0.003683639	0.330343099
chr1_53295659_53298949	Ormdl1	48.40536956	10.77001102	1.708323985	312.4424288	0.210673881	0.003554549	0.318766516
chr1_53312723_53314711	Osgepl1	40.98403442	10.20878001	1.841438901	295.8888739	0.239306637	0.003723978	0.333960707
chr1_53350886_53353297	Asnsd1	26.54109709	11.72830283	0.796159782	194.5157767	0.01175244	0.002819423	0.252841584
chr1_53715069_53717256	Dnahc7a	9.886577678	9.782511828	0.716379578	86.10081787	0.007157267	0.002809574	0.251958306
chr1_53777671_53786004	Stk17b	223.8321232	10.72290757	0.981391403	934.7782824	0.704100278	0.008167752	0.732471522
chr1_54249950_54251515	Ccdc150	9.59181838	10.58950038	1.091725545	57.36051535	0.071918705	0.003031006	0.271815974
chr1_54437927_54439535	Gtf3c3	39.93032835	10.54131961	0.953242622	209.964623	0.039877365	0.002999802	0.269017677
chr1_54555948_54558394	Pgap1	26.69961581	11.33441545	2.244573718	201.9029896	0.309709041	0.004187385	0.375518273
chr1_54925040_54927314	Ankrd44	66.23002623	11.77150766	0.399094406	205.6939786	0.094703837	0.003044557	0.273031225
chr1_55024884_55030013	Sf3b1	157.9649695	10.12554205	1.771896138	863.617051	0.160263868	0.003132851	0.280949289
chr1_55051344_55056282	Coq10b	122.5758366	11.73919199	2.821370648	483.7377986	0.85974805	0.009704126	0.87025125
chr1_55084054_55090864	Hspe1	331.068968	11.38170824	9.426217172	870.3612572	0.332030905	0.004333808	0.388649315
chr1_55130274_55134498	Mob4	162.0596167	11.67102448	1.788932309	593.4760942	0.228083494	0.0036555	0.327819656
chr1_55236278_55240617	Mars2	53.06999512	11.20749196	0.809469739	328.1469275	0.014906532	0.002855582	0.256084214
chr1_56968237_56975328	9130024F11Rik	134.5299151	10.77209062	20.22604643	839.047334	0.224864586	0.003636049	0.326075341
chr1_57223442_57223595	BC055402	5.163610481	10.50616299	20.31207883	4.432986835	0.791276498	0.009030826	0.8098707
chr1_57376811_57378793	1700066M21Rik	43.22987096	11.74785592	20.21911304	224.4835848	0.226355497	0.003643634	0.326755534
chr1_57405340_57408038	9430016H08Rik	93.65697443	10.3234372	0.786029613	484.8440078	0.009351634	0.002809574	0.251958306
chr1_57968863_57970453	Kctd18	32.57811264	11.59278444	0.362620022	163.952752	0.108525499	0.003058811	0.274309525
chr1_57995202_57997436	Sgol2	35.52718264	11.49651362	20.18210436	170.6989756	0.234286096	0.003693301	0.331209627
chr1_58390917_58395445	Bzw1	232.0674417	10.84793272	1.333613779	957.2812256	0.107325166	0.003054351	0.273909574
chr1_58420215_58424528	Clk1	169.2128783	9.881755714	2.438977936	808.9313343	0.334711528	0.00435217	0.390295945
chr1_58444158_58447254	Ppil3	41.83939429	10.70564223	20.30202567	254.1968097	0.208423441	0.003541344	0.317582343
chr1_58503503_58505800	Orc2	24.00849279	11.21800873	0.552950907	183.5851524	0.053073399	0.003031006	0.271815974
chr1_58584221_58588417	Ndufb3	78.10621782	10.60272327	20.14749776	551.0582791	0.241659149	0.003741939	0.335571342
chr1_58652017_58654044	Gm20257	58.95042512	11.69037091	0.730166583	312.9834536	0.003889418	0.002716355	0.243598609
chr1_58689196_58694012	Als2cr12	34.31426922	10.3563648	19.98602211	277.5869663	0.263524801	0.003864957	0.346603451
chr1_58709953_58717517	Cflar	250.1554425	10.44492791	1.043793092	1359.300213	0.060848071	0.003031006	0.271815974
chr1_58794053_58798485	Casp8	133.9623475	10.5999388	20.37647098	719.9675065	0.192139415	0.003453131	0.309671507
chr1_58971466_58975226	Stradb	95.63532158	10.71732672	0.391593847	507.1422281	0.102152021	0.003044557	0.273031225
chr1_59119307_59121253	Als2cr4	24.06653872	11.19995201	0.229381364	154.2930651	0.146738196	0.003108708	0.27878421
chr1_59235744_59239167	Als2	64.36098316	11.08429253	1.712504686	356.5629906	0.158142874	0.003132851	0.280949289
chr1_59480811_59486128	Fzd7	47.86825783	11.14965416	20.21589579	339.7675555	0.227046766	0.003648673	0.327207434
chr1_59667425_59672113	Sumo1	176.9690225	11.07878004	0.911256326	796.4815696	0.030134535	0.002999802	0.269017677
chr1_59683724_59688405	Nop58	50.55067295	10.99004232	0.967070785	353.1548923	0.043083862	0.002999904	0.269026822
chr1_59696511_59699098	Snord11	9.36713418	8.989488592	19.20244508	112.5240488	0.386553702	0.004768143	0.427599829
chr1_59762095_59765937	Bmpr2	101.7912441	11.12604662	0.265138593	588.5071156	0.13472334	0.003083617	0.276534089
chr1_59911429_59916360	Fam117b	160.6789037	11.58950868	0.742689992	513.3445767	0.000920963	0.002506402	0.224770327
chr1_60096336_60099723	Carf	64.16519313	10.48851122	1.60341533	405.8639278	0.145573878	0.003108708	0.27878421
chr1_60179372_60182766	Nbeal1	107.2100803	10.5066001	0.840639356	548.5153784	0.022290996	0.002962406	0.265664064
chr1_60342435_60344240	Cyp20a1	17.3386364	10.35991008	19.9131019	96.15141434	0.278353169	0.003961945	0.355301186
chr1_60408994_60410748	Abi2	13.46075514	13.1232222	19.65488554	81.12311456	0.329167387	0.004330256	0.388330754
chr1_60563315_60567975	Raph1	113.4450968	11.07989572	0.95179317	610.1635685	0.039541192	0.002999802	0.269017677
chr1_61638014_61640410	Pard3b	61.45173199	11.18718932	0.560763064	244.0862068	0.051264565	0.003031006	0.271815974
chr1_62702598_62704206	Nrp2	4.129540763	13.40788051	20.27736191	55.08406263	0.213780788	0.003569739	0.320128755
chr1_63111719_63117608	Gm11602	365.9429258	10.62081439	1.045546011	1459.201483	0.061253343	0.003031006	0.271815974
chr1_63174428_63179140	Eef1b2	159.4276689	10.67936683	0.357479681	741.6114387	0.109654907	0.003058811	0.274309525
chr1_63730011_63732107	Fastkd2	26.87141863	10.2578952	2.747403123	136.9253929	0.377957956	0.004696201	0.42114818
chr1_64119176_64123117	Klf7	270.6592717	10.53288164	0.867038352	978.1670766	0.684567422	0.00798078	0.715704212
chr1_64530361_64535795	Creb1	262.5516371	10.82361303	1.577651212	1056.992883	0.140197353	0.003099289	0.277939541
chr1_64616213_64619009	Mettl21a	55.81130558	10.86810086	0.272166502	364.2361183	0.137807441	0.003086427	0.276786046
chr1_64689533_64692925	Ccnyl1	51.07498419	10.86066646	0.498028958	343.6726946	0.065774673	0.003031006	0.271815974
chr1_64731083_64738399	Fzd5	234.7191874	10.5654908	20.94745767	986.6313926	0.715349032	0.008282762	0.742785477
chr1_64955711_64957394	Plekhm3	13.00630855	10.16423414	19.99391163	109.2881621	0.261908626	0.00385331	0.345558947
chr1_65111024_65113438	Cryga	1.083945642	20.12719745	1.018284931	64.23750657	0.054947393	0.003031006	0.271815974
chr1_65117527_65119761	D630023F18Rik	6.381602175	16.3846977	0.837167444	76.9502474	0.021468613	0.002962406	0.265664064
chr1_65185674_65188178	Pikfyve	48.86623222	11.38405033	0.47420087	271.0299573	0.071275803	0.003031006	0.271815974
chr1_66700093_66703017	Rpe	52.67705386	11.28142061	1.092552783	295.9047107	0.07210955	0.003031006	0.271815974
chr1_66815499_66818648	1110028C15Rik	100.7119131	11.30197567	0.174809125	312.9622211	0.165542029	0.00315215	0.282680035
chr1_66861674_66864465	Acadl	100.9959254	10.87361684	0.942847063	323.0540163	0.037466028	0.002999802	0.269017677
chr1_67037932_67039747	Lancl1	18.83621788	10.11276934	0.195154983	113.420223	0.161496757	0.003132851	0.280949289
chr1_67111562_67119080	Cps1	113.4307538	10.22984805	18.942454	642.6372642	0.417219419	0.005026242	0.450745754
chr1_69686135_69688610	Ikzf2	27.58922311	10.28915577	20.28172555	118.4751593	0.212834339	0.003564791	0.319684989
chr1_71101446_71103940	Bard1	30.76658154	10.53000008	19.4067506	156.4721429	0.362970565	0.004587197	0.411372798
chr1_71556356_71558480	Atic	47.15072776	11.14827654	0.940997749	168.1853836	0.697411738	0.008101518	0.726531737
chr1_72210123_72212928	Mreg	32.35337654	10.35664274	19.81136399	185.6086933	0.298699442	0.004098128	0.36751387
chr1_72282766_72284674	Tmem169	13.42983217	10.96454189	0.612406359	83.70495076	0.03929543	0.002999802	0.269017677
chr1_72306561_72308820	Xrcc5	21.48162915	10.26513237	0.346291323	129.1666659	0.112111721	0.003061013	0.274506935
chr1_72582392_72584214	Smarcal1	7.098652907	12.66861082	0.536158743	101.951147	0.056959719	0.003031006	0.271815974
chr1_72696186_72696809	Ankar	5.537213187	22.72379271	9.094389988	46.72721167	0.385393242	0.004760628	0.426925888
chr1_72710513_72713389	Rpl37a	68.51014985	10.55118792	0.492517183	357.2271917	0.073626354	0.003031006	0.271815974
chr1_74123943_74125514	Rufy4	4.685555159	10.09226203	18.97017941	54.93450087	0.412811323	0.004989094	0.447414336
chr1_74235213_74241604	Arpc2	142.1520608	10.64888452	1.384449519	745.9084387	0.118480406	0.003065676	0.274925146
chr1_74282676_74286909	Pnkd	51.79413093	11.72157377	20.32145001	322.4745255	0.204190787	0.003518498	0.315533538
chr1_74302315_74304819	Tmbim1	113.5686592	11.01794562	0.686245858	647.2064852	0.01429875	0.002838418	0.254545021
chr1_74389681_74394919	Ctdsp1	159.60063	11.31469224	0.722573471	723.0630553	0.005689189	0.002742646	0.245956315
chr1_74396126_74398679	Mir26b	33.12961968	12.21674044	0.489178233	176.8944778	0.06781873	0.003031006	0.271815974
chr1_74408012_74414715	Vil1	564.2743883	10.12911789	3.568330292	2429.621239	0.880897493	0.009896172	0.887473586
chr1_74504268_74510112	Rqcd1	87.53945461	11.73155158	0.268663314	510.4584738	0.138539927	0.003089419	0.277054343
chr1_74586067_74589463	Bcs1l	37.20915735	9.987261187	20.13451872	244.692964	0.244413476	0.003757928	0.337005242
chr1_74600375_74601898	Stk36	20.0143632	11.1452592	0.809885878	154.8621546	0.015005139	0.002855582	0.256084214
chr1_74661376_74663809	Ttll4	49.09419489	10.89693245	1.610972529	243.592424	0.189376647	0.003432947	0.307861412
chr1_74712088_74715967	Cyp27a1	40.42270955	11.36097163	0.799486481	395.0227091	0.67212553	0.007859718	0.704847483
chr1_74753393_74755793	Prkag3	6.188334365	12.03243385	18.92151119	81.63454737	0.420525321	0.005059341	0.453713997
chr1_74898929_74901772	Mir375	24.76656026	12.94264469	0.46030258	105.2744144	0.08090669	0.003034644	0.272142217
chr1_74935708_74937931	Ccdc108	3.741821534	12.86658842	19.97835042	62.42108319	0.265094169	0.003872562	0.347285448
chr1_74945000_74953390	Ihh	326.8271834	11.84275221	19.07089962	1534.673376	0.408549995	0.004953344	0.44420835
chr1_75123374_75126151	Slc23a3	55.8549813	9.946409417	0.151760758	299.1840785	0.170114962	0.003168806	0.284173663
chr1_75137367_75144613	Fam134a	150.6552173	11.5813993	0.765600481	844.5004127	0.004509575	0.002716355	0.243598609
chr1_75167473_75170578	Zfand2b	31.15026027	10.59385011	2.411088363	187.1261061	0.329492827	0.004331244	0.388419345
chr1_75178856_75181870	Abcb6	25.18049167	11.80990036	20.17940701	154.8709917	0.234862277	0.00369681	0.331524295
chr1_75189750_75194905	Ankzf1	94.356569	10.83081705	0.67387864	593.0423197	0.025027111	0.002962406	0.265664064
chr1_75210124_75216191	Stk16	58.37700902	11.86758764	0.902050127	423.3586978	0.02799704	0.002999802	0.269017677
chr1_75216345_75220332	Tuba4a	83.40651868	10.69896787	0.238754754	534.4308126	0.144784522	0.003108708	0.27878421
chr1_75235472_75238045	Dnajb2	43.4127346	11.76349149	0.338491348	269.5262313	0.119015374	0.003065676	0.274925146
chr1_75312241_75317732	Dnpep	74.56040117	11.03728969	1.067267798	538.8265669	0.066272863	0.003031006	0.271815974
chr1_75435352_75437906	Gmppa	58.38041564	10.67840196	1.873678459	281.900373	0.246149922	0.00376748	0.337861869
chr1_75460493_75462718	Accn4	60.50804441	16.44627963	14.09260585	42.14586805	0.822861153	0.009347798	0.838296271
chr1_75478243_75480052	Tmem198	19.4130292	11.28524652	2.433333093	96.86547452	0.333657924	0.004343588	0.38952633
chr1_75520845_75522652	Stk11ip	32.69740428	10.29584943	1.872639932	176.3128039	0.24593006	0.003766894	0.337809332
chr1_77513065_77517160	Epha4	12.38108484	12.42301902	0.368395091	141.2544286	0.107256146	0.003054351	0.273909574
chr1_78308610_78314359	Sgpp2	120.3225005	11.03042257	19.84407793	572.1821425	0.29220174	0.004058725	0.363980266
chr1_78486471_78490750	Farsb	66.71008579	11.05990643	0.527409662	441.6795599	0.058983584	0.003031006	0.271815974
chr1_78656468_78660917	Utp14b	71.4623991	12.12855564	20.30238947	367.4037838	0.208344273	0.003540908	0.317543197
chr1_79670658_79672833	Ap1s3	48.34513102	11.48244205	0.17120283	217.5551822	0.166258224	0.003158845	0.283280398
chr1_79759616_79762332	Wdfy1	56.33041551	12.9557472	0.671921252	301.0049418	0.025481716	0.002962406	0.265664064
chr1_79775644_79777527	Mrpl44	31.6082489	11.36200295	19.22695563	184.4268074	0.382366963	0.004733548	0.424497387
chr1_80337123_80342159	Cul3	150.0045151	10.9915792	0.692446504	689.0609633	0.012829381	0.002819423	0.252841584
chr1_82290088_82292744	Irs1	10.51917832	11.1071744	18.75790537	80.74090689	0.433779505	0.005166522	0.463325825
chr1_82315650_82317924	Rhbdd1	44.21630853	10.21073471	0.835406684	294.2299234	0.02105153	0.002962406	0.265664064
chr1_82724177_82726372	Mff	65.25891794	10.63653063	1.603712138	350.2099372	0.1877771	0.00342198	0.306877918
chr1_82762923_82769033	Tm4sf20	70.37732337	10.52991464	2.310924166	461.6552232	0.322598788	0.004283842	0.384168381
chr1_82838651_82841623	Agfg1	120.5839891	11.2773483	1.146738148	424.6882483	0.075119404	0.003034327	0.272113824
chr1_84836370_84841505	Fbxo36	184.8714086	10.5717134	1.391877857	902.7187229	0.120106915	0.003065676	0.274925146
chr1_85649734_85651200	Sp100	9.214095975	15.1107956	1.62468705	53.03665568	0.192393983	0.003454675	0.309809987
chr1_85791705_85796661	Cab39	248.0553969	11.15133075	2.522443156	1065.145169	0.350130232	0.00447881	0.401652857
chr1_85893994_85896181	Itm2c	24.06022455	11.61608088	0.674589654	143.9593342	0.017060672	0.002876967	0.258001992
chr1_85958194_85961529	Gpr55	21.27563482	10.62290928	21.00855985	111.8464681	0.705729583	0.008182829	0.733823651
chr1_86044878_86048505	2810459M11Rik	54.40099947	11.69026238	19.78739122	300.3278542	0.30343347	0.004132098	0.370560287
chr1_86063369_86067084	Psmd1	89.9450976	11.02839357	0.954335429	532.5681036	0.040130812	0.002999802	0.269017677
chr1_86153607_86155754	Armc9	10.16401416	10.12586737	1.204214084	93.10542673	0.088095327	0.003044557	0.273031225
chr1_86302546_86304805	B3gnt7	34.75116314	11.54805401	0.217889773	109.2478035	0.15318676	0.003119409	0.279743807
chr1_86356994_86361289	Snord82	138.2026251	11.59650214	2.99523235	594.5065592	0.407262089	0.004943964	0.443367136
chr1_86433588_86436115	1700019O17Rik	47.71533063	11.09372705	1.053680819	208.6800553	0.063133706	0.003031006	0.271815974
chr1_86523990_86530548	Ptma	295.7448023	11.28703722	0.464970362	1207.250162	0.079852548	0.003034602	0.272138497
chr1_86581366_86583384	Pde6d	21.78969658	11.95322511	0.391481338	185.0712838	0.102176794	0.003044557	0.273031225
chr1_86586232_86588237	Cops7b	35.83377812	10.93514389	0.376310912	208.7551958	0.105515434	0.003048531	0.273387593
chr1_86702929_86705274	Dis3l2	48.7913954	11.66124412	1.072063642	305.499939	0.067380447	0.003031006	0.271815974
