Chromosome,Start,End,Name,Start_b,End_b,Name_b,Strand,Distance
chr1,24106623,24109835,50,24100341,24102341,Fam135a,-,4283
chr1,24611284,24616566,51,24587437,24589437,Col19a1,-,21848
chr1,24677538,24680512,52,24676544,24678544,Lmbrd1,+,0
chr1,24683821,24684582,53,24676544,24678544,Lmbrd1,+,5278
chr1,24698639,24701226,54,24676544,24678544,Lmbrd1,+,20096
chr1,26686670,26688547,55,26687460,26689460,4931408C20Rik,-,0
chr1,30871290,30874885,56,30863256,30865256,Phf3,-,6035
chr1,30944881,30951696,57,30949710,30951710,Gm13363,-,0
chr1,31018402,31020508,58,30949755,30951755,Ptp4a1,-,66648
chr1,33528207,33528368,59,33667824,33669824,1700001G17Rik,+,139457
chr1,33668876,33671071,60,33667824,33669824,1700001G17Rik,+,0
chr1,33719567,33721026,61,33717896,33719896,Rab23,+,0
chr1,33756202,33758489,62,33757750,33759750,Bag2,-,0
chr1,33813132,33815008,63,33814427,33816427,Zfp451,-,0
chr1,34119532,34124780,64,34009825,34011825,Dst,+,107708
chr1,34432626,34435493,65,34433199,34435199,Mir5103,-,0
chr1,34438447,34440962,66,34437829,34439829,Imp4,+,0
chr1,34458767,34461044,67,34457746,34459746,Ptpn18,+,0
chr1,34801442,34802920,68,34799722,34801722,Arhgef4,+,0
chr1,34827667,34829568,69,34843050,34845050,Fam168b,-,13483
chr1,34839960,34844242,70,34843050,34845050,Fam168b,-,0
chr1,34848182,34853914,71,34847959,34849959,Plekhb2,+,0
chr1,34856727,34859938,72,34847959,34849959,Plekhb2,+,6769
chr1,36067574,36072876,73,36066400,36068400,Hs6st1,+,0
chr1,36086724,36091455,74,36066400,36068400,Hs6st1,+,18325
chr1,36241124,36245121,75,36244302,36246302,Uggt1,-,0
chr1,36269751,36276855,76,36273425,36275425,Neurl3,-,0
chr1,36307321,36309486,77,36305733,36307733,Arid5a,+,0
chr1,36367117,36369992,78,36369181,36371181,4632411B12Rik,-,0
chr1,36444082,36445592,79,36445239,36447239,Lman2l,-,0
chr1,36470697,36479107,80,36469597,36471597,Cnnm4,+,0
chr1,36489848,36494669,81,36509876,36511876,Cnnm3,+,15208
chr1,36511176,36514068,82,36509876,36511876,Cnnm3,+,0
chr1,36546028,36547533,83,36547201,36549201,Ankrd39,-,0
chr1,36555921,36558696,84,36558381,36560381,Sema4c,-,0
chr1,36690738,36692994,85,36689487,36691487,Cox5b,+,0
chr1,36707314,36710674,86,36709925,36711925,Actr1b,-,0
chr1,36904065,36906353,87,36939527,36941527,Tmem131,-,33175
chr1,36917654,36921453,88,36939527,36941527,Tmem131,-,18075
chr1,36925241,36928928,89,36939527,36941527,Tmem131,-,10600
chr1,36934892,36940976,90,36939527,36941527,Tmem131,-,0
chr1,36970264,36972179,91,36939527,36941527,Tmem131,-,28738
chr1,37028360,37030232,92,36939527,36941527,Tmem131,-,86834
chr1,37298571,37302826,93,37297893,37299893,Inpp4a,+,0
chr1,37428319,37432490,94,37428172,37430172,Unc50,+,0
chr1,37499851,37505924,95,37488605,37490605,4930594C11Rik,-,9247
chr1,37511209,37513429,96,37488605,37490605,4930594C11Rik,-,20605
chr1,37515762,37519160,97,37536259,37538259,Mgat4a,-,17100
chr1,37522202,37524062,98,37536259,37538259,Mgat4a,-,12198
chr1,37536919,37542093,99,37536259,37538259,Mgat4a,-,0
chr1,37565822,37569682,100,37536259,37538259,Mgat4a,-,27564
chr1,37582865,37584941,101,37536259,37538259,Mgat4a,-,44607
chr1,37613319,37617564,102,37536259,37538259,Mgat4a,-,75061
chr1,37663138,37667614,103,37719811,37721811,2010300C02Rik,-,52198
chr1,37676838,37679663,104,37719811,37721811,2010300C02Rik,-,40149
chr1,37693358,37695504,105,37719811,37721811,2010300C02Rik,-,24308
chr1,37718459,37721183,106,37719811,37721811,2010300C02Rik,-,0
chr1,37863743,37866792,107,37865079,37867079,Tsga10,-,0
chr1,37871499,37873799,108,37870206,37872206,Lipt1,+,0
chr1,37888718,37892302,109,37888553,37890553,Mrpl30,+,0
chr1,37995751,38000330,110,37996010,37998010,Eif5b,+,0
chr1,38127839,38130698,111,38129662,38131662,Rev1,-,0
chr1,38985793,38989498,112,38985814,38987814,Pdcl3,+,0
chr1,39104871,39106998,113,39192272,39194272,Npas2,+,85275
chr1,39186007,39188292,114,39192272,39194272,Npas2,+,3981
chr1,39192079,39198350,115,39192272,39194272,Npas2,+,0
chr1,39202887,39207854,116,39192272,39194272,Npas2,+,8616
chr1,39234033,39236074,117,39192272,39194272,Npas2,+,39762
chr1,39239620,39242221,118,39192272,39194272,Npas2,+,45349
chr1,39258480,39261024,119,39192272,39194272,Npas2,+,64209
chr1,39366978,39371486,120,39365851,39367851,Rpl31,+,0
chr1,39477035,39479484,121,39478747,39480747,Tbc1d8,-,0
chr1,39534968,39537493,122,39533802,39535802,D1Bwg0212e,+,0
chr1,39575290,39578310,123,39577347,39579347,Rnf149,-,0
chr1,39755943,39756808,124,39720989,39722989,Rfx8,-,32955
chr1,39900007,39903317,125,39898913,39900913,Map4k4,+,0
chr1,39934811,39936897,126,39898913,39900913,Map4k4,+,33899
chr1,40631973,40633713,127,40679712,40681712,Slc9a2,+,46000
chr1,40679622,40683734,128,40679712,40681712,Slc9a2,+,0
chr1,40764253,40766868,129,40790657,40792657,Mfsd9,-,23790
chr1,40789174,40791804,130,40790657,40792657,Mfsd9,-,0
chr1,41917861,41918092,131,41181252,41183252,4930448I06Rik,-,734610
chr1,42490884,42492532,132,42694825,42696825,2610017I09Rik,-,202294
chr1,42850564,42852774,133,42849233,42851233,Mrps9,+,0
chr1,43090821,43093860,134,43096710,43098710,AI597479,+,2851
chr1,43096864,43100225,135,43096710,43098710,AI597479,+,0
chr1,43143815,43147206,136,43163961,43165961,Fhl2,-,16756
chr1,43150796,43156675,137,43163961,43165961,Fhl2,-,7287
chr1,43159224,43165476,138,43163961,43165961,Fhl2,-,0
chr1,43305227,43307077,139,43443751,43445751,Nck2,+,136675
chr1,43444014,43448961,140,43443751,43445751,Nck2,+,0
chr1,43470588,43475631,141,43443751,43445751,Nck2,+,24838
chr1,43778219,43779068,142,43728602,43730602,1500015O10Rik,+,47618
chr1,43825897,43828805,143,43827708,43829708,Uxs1,-,0
chr1,43932707,43936658,144,43932007,43934007,Tpp2,+,0
chr1,44041671,44042966,145,44020006,44022006,A530098C11Rik,-,19666
chr1,44100552,44103346,146,44102388,44104388,1700029F09Rik,-,0
chr1,44117827,44121202,147,44117968,44119968,Bivm,+,0
chr1,44147008,44149416,148,44145744,44147744,Ercc5,+,0
chr1,44200977,44201496,149,44218931,44220931,4832428D23Rik,-,17436
chr1,45794699,45797041,150,45793501,45795501,Wdr75,+,0
chr1,45925000,45926751,151,45925594,45927594,Slc40a1,-,0
chr1,46076065,46076236,152,46064738,46066738,Dnahc7b,+,9328
chr1,46732412,46732929,153,46853509,46855509,Slc39a10,-,120581
chr1,46851992,46855099,154,46853509,46855509,Slc39a10,-,0
chr1,48881462,48881677,155,46853509,46855509,Slc39a10,-,2025954
chr1,51476767,51479591,156,51478399,51480399,Obfc2a,-,0
chr1,51848592,51850334,157,51915974,51917974,Myo1b,-,65641
chr1,51914750,51916325,158,51915974,51917974,Myo1b,-,0
chr1,52112760,52114377,159,52117438,52119438,Stat1,+,3062
chr1,52118494,52121899,160,52117438,52119438,Stat1,+,0
chr1,52226231,52234290,161,52233232,52235232,Gls,-,0
chr1,52255592,52258846,162,52233232,52235232,Gls,-,20361
chr1,52498749,52502483,163,52500448,52502448,Nab1,-,0
chr1,52630039,52631815,164,52628705,52630705,Tmem194b,+,0
chr1,52725519,52728499,165,52727318,52729318,Mfsd6,-,0
chr1,52797896,52801265,166,52817688,52819688,Inpp1,-,16424
chr1,52816237,52818288,167,52817688,52819688,Inpp1,-,0
chr1,52844187,52846375,168,52843046,52845046,Hibch,+,0
chr1,52950584,52953899,169,52952840,52954840,1700019D03Rik,-,0
chr1,53295659,53298949,170,53295095,53297095,Ormdl1,+,0
chr1,53312723,53314711,171,53311663,53313663,Osgepl1,+,0
chr1,53350886,53353297,172,53352699,53354699,Asnsd1,-,0
chr1,53715069,53717256,173,53706784,53708784,Dnahc7a,-,6286
chr1,53777671,53786004,174,53785215,53787215,Stk17b,-,0
chr1,53814060,53817277,175,53785215,53787215,Stk17b,-,26846
chr1,53822927,53825116,176,53785215,53787215,Stk17b,-,35713
chr1,53837504,53839666,177,53785215,53787215,Stk17b,-,50290
chr1,53842942,53847647,178,53785215,53787215,Stk17b,-,55728
chr1,53881349,53884316,179,53785215,53787215,Stk17b,-,94135
chr1,53887026,53891453,180,53785215,53787215,Stk17b,-,99812
chr1,54249950,54251515,181,54248683,54250683,Ccdc150,+,0
chr1,54437927,54439535,182,54438971,54440971,Gtf3c3,-,0
chr1,54555948,54558394,183,54557684,54559684,Pgap1,-,0
chr1,54925040,54927314,184,54926387,54928387,Ankrd44,-,0
chr1,55024884,55030013,185,55027478,55029478,Sf3b1,-,0
chr1,55051344,55056282,186,55050770,55052770,Coq10b,+,0
chr1,55084054,55090864,187,55086148,55088148,Hspe1,+,0
chr1,55130274,55134498,188,55129245,55131245,Mob4,+,0
chr1,55170830,55172891,189,55129245,55131245,Mob4,+,39586
chr1,55173099,55175027,190,55129245,55131245,Mob4,+,41855
chr1,55236278,55240617,191,55235177,55237177,Mars2,+,0
chr1,56539540,56541928,192,56637451,56639451,Hsfy2,-,95524
chr1,56782257,56782434,193,56637451,56639451,Hsfy2,-,142807
chr1,56968237,56975328,194,56969469,56971469,9130024F11Rik,+,0
chr1,57223442,57223595,195,57214996,57216996,BC055402,-,6447
chr1,57376811,57378793,196,57375620,57377620,1700066M21Rik,+,0
chr1,57405340,57408038,197,57404548,57406548,9430016H08Rik,+,0
chr1,57844024,57847196,198,57772861,57774861,Spats2l,+,69164
chr1,57848967,57850660,199,57772861,57774861,Spats2l,+,74107
chr1,57851898,57853500,200,57772861,57774861,Spats2l,+,77038
chr1,57968863,57970453,201,57970084,57972084,Kctd18,-,0
chr1,57995202,57997436,202,57983340,57985340,Sgol2,+,9863
chr1,58303643,58305120,203,58276326,58278326,Aox3l1,+,25318
chr1,58352188,58355075,204,58391136,58393136,Bzw1,+,36062
chr1,58358111,58360268,205,58391136,58393136,Bzw1,+,30869
chr1,58365879,58367683,206,58391136,58393136,Bzw1,+,23454
chr1,58390917,58395445,207,58391136,58393136,Bzw1,+,0
chr1,58420215,58424528,208,58424088,58426088,Clk1,-,0
chr1,58444158,58447254,209,58445486,58447486,Ppil3,-,0
chr1,58503503,58505800,210,58504919,58506919,Orc2,-,0
chr1,58584221,58588417,211,58584599,58586599,Ndufb3,+,0
chr1,58613501,58614587,212,58586333,58588333,Fam126b,-,25169
chr1,58652017,58654044,213,58650641,58652641,Gm20257,+,0
chr1,58677547,58679863,214,58695989,58697989,Als2cr12,-,16127
chr1,58689196,58694012,215,58695989,58697989,Als2cr12,-,1978
chr1,58709953,58717517,216,58711286,58713286,Cflar,+,0
chr1,58742375,58745158,217,58711286,58713286,Cflar,+,29090
chr1,58769090,58770946,218,58793374,58795374,Casp8,+,22429
chr1,58776948,58779517,219,58793374,58795374,Casp8,+,13858
chr1,58794053,58798485,220,58793374,58795374,Casp8,+,0
chr1,58801597,58804693,221,58793374,58795374,Casp8,+,6224
chr1,58889524,58892291,222,58971571,58973571,Stradb,+,79281
chr1,58971466,58975226,223,58971571,58973571,Stradb,+,0
chr1,59119307,59121253,224,59120096,59122096,Als2cr4,-,0
chr1,59211283,59213210,225,59237231,59239231,Als2,-,24022
chr1,59235744,59239167,226,59237231,59239231,Als2,-,0
chr1,59320957,59322912,227,59254907,59256907,Cdk15,+,64051
chr1,59480811,59486128,228,59480147,59482147,Fzd7,+,0
chr1,59667425,59672113,229,59670834,59672834,Sumo1,-,0
chr1,59683724,59688405,230,59683006,59685006,Nop58,+,0
chr1,59696511,59699098,231,59702808,59704808,Snord11,+,3711
chr1,59762095,59765937,232,59762637,59764637,Bmpr2,+,0
chr1,59911429,59916360,233,59911006,59913006,Fam117b,+,0
chr1,60096336,60099723,234,60096281,60098281,Carf,+,0
chr1,60179372,60182766,235,60178599,60180599,Nbeal1,+,0
chr1,60342435,60344240,236,60341372,60343372,Cyp20a1,+,0
chr1,60408994,60410748,237,60407619,60409619,Abi2,+,0
chr1,60563315,60567975,238,60566765,60568765,Raph1,-,0
chr1,60578725,60581069,239,60566765,60568765,Raph1,-,9961
chr1,60620492,60623236,240,60566765,60568765,Raph1,-,51728
chr1,60659795,60663326,241,60744388,60746388,Cd28,+,81063
chr1,60666776,60670076,242,60744388,60746388,Cd28,+,74313
chr1,60851903,60854432,243,60907025,60909025,Ctla4,+,52594
chr1,61638014,61640410,244,61636824,61638824,Pard3b,+,0
chr1,62702598,62704206,245,62701317,62703317,Nrp2,+,0
chr1,63004518,63006567,246,63112471,63114471,Gm11602,+,105905
chr1,63111719,63117608,247,63112471,63114471,Gm11602,+,0
chr1,63128877,63130833,248,63114267,63116267,Ino80d,-,12611
chr1,63174428,63179140,249,63174831,63176831,Eef1b2,+,0
chr1,63629714,63630979,250,63686927,63688927,Dytn,-,55949
chr1,63730011,63732107,251,63728625,63730625,Fastkd2,+,0
chr1,64119176,64123117,252,64121389,64123389,Klf7,-,0
chr1,64293855,64296329,253,64121389,64123389,Klf7,-,170467
chr1,64301370,64303748,254,64121389,64123389,Klf7,-,177982
chr1,64530361,64535795,255,64530804,64532804,Creb1,+,0
chr1,64616213,64619009,256,64617168,64619168,Mettl21a,-,0
chr1,64689533,64692925,257,64689345,64691345,Ccnyl1,+,0
chr1,64731083,64738399,258,64737750,64739750,Fzd5,-,0
chr1,64742081,64743947,259,64737750,64739750,Fzd5,-,2332
chr1,64786794,64790773,260,64737750,64739750,Fzd5,-,47045
chr1,64796792,64800798,261,64737750,64739750,Fzd5,-,57043
chr1,64955711,64957394,262,64956824,64958824,Plekhm3,-,0
chr1,64991991,64995175,263,64956824,64958824,Plekhm3,-,33168
chr1,65111024,65113438,264,65103363,65105363,Cryga,-,5662
chr1,65117527,65119761,265,65123193,65125193,D630023F18Rik,-,3433
chr1,65129130,65131034,266,65123193,65125193,D630023F18Rik,-,3938
chr1,65174173,65180460,267,65184685,65186685,Pikfyve,+,4226
chr1,65185674,65188178,268,65184685,65186685,Pikfyve,+,0
chr1,66700093,66703017,269,66698893,66700893,Rpe,+,0
chr1,66815499,66818648,270,66817595,66819595,1110028C15Rik,-,0
chr1,66861674,66864465,271,66863267,66865267,Acadl,-,0
chr1,66895292,66897067,272,66863267,66865267,Acadl,-,30026
chr1,67037932,67039747,273,67038872,67040872,Lancl1,-,0
chr1,67111562,67119080,274,67121066,67123066,Cps1,+,1987
chr1,69456710,69456895,275,69685960,69687960,Ikzf2,-,229066
chr1,69686135,69688610,276,69685960,69687960,Ikzf2,-,0
chr1,71078997,71079641,277,71102972,71104972,Bard1,-,23332
chr1,71101446,71103940,278,71102972,71104972,Bard1,-,0
chr1,71556356,71558480,279,71555156,71557156,Atic,+,0
chr1,72172352,72175273,280,72212307,72214307,Mreg,-,37035
chr1,72210123,72212928,281,72212307,72214307,Mreg,-,0
chr1,72225400,72226997,282,72212307,72214307,Mreg,-,11094
chr1,72236143,72237491,283,72212307,72214307,Mreg,-,21837
chr1,72243388,72245180,284,72212307,72214307,Mreg,-,29082
chr1,72253954,72255830,285,72282373,72284373,Tmem169,+,26544
chr1,72282766,72284674,286,72282373,72284373,Tmem169,+,0
chr1,72306561,72308820,287,72305421,72307421,Xrcc5,+,0
chr1,72582392,72584214,288,72581251,72583251,Smarcal1,+,0
chr1,72696186,72696809,289,72700564,72702564,Ankar,-,3756
chr1,72710513,72713389,290,72709260,72711260,Rpl37a,+,0
chr1,74123943,74125514,291,74123541,74125541,Rufy4,+,0
chr1,74235213,74241604,292,74234550,74236550,Arpc2,+,0
chr1,74247693,74251439,293,74234550,74236550,Arpc2,+,11144
chr1,74254771,74257957,294,74234550,74236550,Arpc2,+,18222
chr1,74282676,74286909,295,74283034,74285034,Pnkd,+,0
chr1,74295256,74297624,296,74304336,74306336,Tmbim1,-,6713
chr1,74302315,74304819,297,74304336,74306336,Tmbim1,-,0
chr1,74331636,74333486,298,74304336,74306336,Tmbim1,-,25301
chr1,74385858,74388303,299,74389609,74391609,Ctdsp1,+,1307
chr1,74389681,74394919,300,74389609,74391609,Ctdsp1,+,0
chr1,74396126,74398679,301,74392310,74394310,Mir26b,+,1817
chr1,74408012,74414715,302,74407384,74409384,Vil1,+,0
chr1,74504268,74510112,303,74504060,74506060,Rqcd1,+,0
chr1,74586067,74589463,304,74586361,74588361,Bcs1l,+,0
chr1,74600375,74601898,305,74599455,74601455,Stk36,+,0
chr1,74661376,74663809,306,74659754,74661754,Ttll4,+,0
chr1,74696666,74700014,307,74711574,74713574,Cyp27a1,+,11561
chr1,74712088,74715967,308,74711574,74713574,Cyp27a1,+,0
chr1,74724316,74728842,309,74711574,74713574,Cyp27a1,+,10743
chr1,74753393,74755793,310,74748955,74750955,Prkag3,-,2439
chr1,74816349,74818073,311,74790019,74792019,Wnt10a,+,24331
chr1,74898929,74901772,312,74900721,74902721,Mir375,-,0
chr1,74935708,74937931,313,74935599,74937599,Ccdc108,-,0
chr1,74941024,74943827,314,74935599,74937599,Ccdc108,-,3426
chr1,74945000,74953390,315,74951651,74953651,Ihh,-,0
chr1,74960749,74965688,316,74951651,74953651,Ihh,-,7099
chr1,74965838,74973226,317,74951651,74953651,Ihh,-,12188
chr1,75014768,75016927,318,75046639,75048639,Nhej1,-,29713
chr1,75123374,75126151,319,75133890,75135890,Slc23a3,-,7740
chr1,75137367,75144613,320,75140786,75142786,Fam134a,+,0
chr1,75167473,75170578,321,75166646,75168646,Zfand2b,+,0
chr1,75178856,75181870,322,75180283,75182283,Abcb6,-,0
chr1,75189750,75194905,323,75190135,75192135,Ankzf1,+,0
chr1,75210124,75216191,324,75208829,75210829,Stk16,+,0
chr1,75216345,75220332,325,75219253,75221253,Tuba4a,-,0
chr1,75235472,75238045,326,75234423,75236423,Dnajb2,+,0
chr1,75251194,75252574,327,75264208,75266208,Ptprn,-,11635
chr1,75312241,75317732,328,75317637,75319637,Dnpep,-,0
chr1,75435352,75437906,329,75433943,75435943,Gmppa,+,0
chr1,75460493,75462718,330,75448510,75450510,Accn4,+,9984
chr1,75478243,75480052,331,75477532,75479532,Tmem198,+,0
chr1,75520845,75522652,332,75519529,75521529,Stk11ip,+,0
chr1,77513065,77517160,333,77515088,77517088,Epha4,-,0
chr1,78308610,78314359,334,78308346,78310346,Sgpp2,+,0
chr1,78399553,78401966,335,78488846,78490846,Farsb,-,86881
chr1,78486471,78490750,336,78488846,78490846,Farsb,-,0
chr1,78573499,78574949,337,78509060,78511060,Mogat1,+,62440
chr1,78656468,78660917,338,78655825,78657825,Utp14b,+,0
chr1,79670658,79672833,339,79671972,79673972,Ap1s3,-,0
chr1,79759616,79762332,340,79761769,79763769,Wdfy1,-,0
chr1,79775644,79777527,341,79774018,79776018,Mrpl44,+,0
chr1,80337123,80342159,342,80340430,80342430,Cul3,-,0
chr1,82282622,82284265,343,82291439,82293439,Irs1,-,7175
chr1,82290088,82292744,344,82291439,82293439,Irs1,-,0
chr1,82315650,82317924,345,82314579,82316579,Rhbdd1,+,0
chr1,82724177,82726372,346,82722918,82724918,Mff,+,0
chr1,82762923,82769033,347,82768456,82770456,Tm4sf20,-,0
chr1,82784083,82786602,348,82768456,82770456,Tm4sf20,-,13628
chr1,82815266,82817042,349,82837483,82839483,Agfg1,+,20442
chr1,82831238,82832789,350,82837483,82839483,Agfg1,+,4695
chr1,82838651,82841623,351,82837483,82839483,Agfg1,+,0
chr1,82989983,82993305,352,83038448,83040448,Slc19a3,-,45144
chr1,84836370,84841505,353,84837841,84839841,Fbxo36,+,0
chr1,85075123,85075427,354,85109853,85111853,A530032D15Rik,-,34427
chr1,85649734,85651200,355,85648050,85650050,Sp100,+,0
chr1,85778034,85779997,356,85791447,85793447,Cab39,+,11451
chr1,85791705,85796661,357,85791447,85793447,Cab39,+,0
chr1,85893994,85896181,358,85892510,85894510,Itm2c,+,0
chr1,85958194,85961529,359,85961055,85963055,Gpr55,-,0
chr1,86037046,86041670,360,86043863,86045863,2810459M11Rik,+,2194
chr1,86044878,86048505,361,86043863,86045863,2810459M11Rik,+,0
chr1,86058765,86060135,362,86062619,86064619,Psmd1,+,2485
chr1,86063369,86067084,363,86062619,86064619,Psmd1,+,0
chr1,86153607,86155754,364,86152780,86154780,Armc9,+,0
chr1,86268650,86270370,365,86301221,86303221,B3gnt7,+,30852
chr1,86270920,86272945,366,86301221,86303221,B3gnt7,+,28277
chr1,86302546,86304805,367,86301221,86303221,B3gnt7,+,0
chr1,86356994,86361289,368,86356327,86358327,Snord82,-,0
chr1,86433588,86436115,369,86424329,86426329,1700019O17Rik,+,7260
chr1,86439708,86443961,370,86424329,86426329,1700019O17Rik,+,13380
chr1,86471697,86473327,371,86424329,86426329,1700019O17Rik,+,45369
chr1,86486470,86489340,372,86524736,86526736,Ptma,+,35397
chr1,86501792,86506151,373,86524736,86526736,Ptma,+,18586
chr1,86523990,86530548,374,86524736,86526736,Ptma,+,0
chr1,86581366,86583384,375,86582501,86584501,Pde6d,-,0
chr1,86586232,86588237,376,86585100,86587100,Cops7b,+,0
chr1,86702929,86705274,377,86701804,86703804,Dis3l2,+,0
chr1,87076178,87079405,378,87089928,87091928,Alppl2,-,10524
chr1,87097498,87103049,379,87101606,87103606,Alpi,-,0
chr1,87212857,87215682,380,87211914,87213914,Eif4e2,+,0
chr1,87315848,87317849,381,87324998,87326998,Gigyf2,+,7150
chr1,87326306,87330612,382,87324998,87326998,Gigyf2,+,0
chr1,87384946,87387935,383,87394729,87396729,Kcnj13,-,6795
chr1,87393029,87396245,384,87394729,87396729,Kcnj13,-,0
chr1,87550224,87555075,385,87572027,87574027,Neu2,+,16953
chr1,87571616,87576071,386,87572027,87574027,Neu2,+,0
chr1,87755070,87758168,387,87754011,87756011,Atg16l1,+,0
chr1,87852509,87855996,388,87851287,87853287,Dgkd,+,0
chr1,87890015,87894195,389,87851287,87853287,Dgkd,+,36729
chr1,87905821,87913208,390,87851287,87853287,Dgkd,+,52535
chr1,88007179,88009552,391,88008551,88010551,Usp40,-,0
chr1,88093271,88098943,392,88093001,88095001,Ugt1a7c,+,0
chr1,88185930,88189258,393,88198611,88200611,Ugt1a2,+,9354
chr1,88211258,88217976,394,88209959,88211959,Ugt1a1,+,0
chr1,88220014,88222389,395,88225020,88227020,Heatr7b1,+,2632
chr1,88275068,88278734,396,88277557,88279557,A730008H23Rik,-,0
chr1,88306039,88308430,397,88304712,88306712,Trpm8,+,0
chr1,88700701,88702780,398,88702191,88704191,Arl4c,-,0
chr1,89014941,89016670,399,89014113,89016113,1700067G17Rik,+,0
chr1,89069279,89073008,400,89068462,89070462,Sh3bp4,+,0
chr1,89182419,89184533,401,89068462,89070462,Sh3bp4,+,111958
chr1,89453575,89457565,402,89452811,89454811,Agap1,+,0
chr1,89472616,89477022,403,89452811,89454811,Agap1,+,17806
chr1,89479533,89482836,404,89452811,89454811,Agap1,+,24723
chr1,89509253,89510973,405,89452811,89454811,Agap1,+,54443
chr1,89579393,89581645,406,89683892,89685892,4933400F21Rik,-,102248
chr1,90202754,90205037,407,90202003,90204003,Cxcr7,+,0
chr1,90602379,90605153,408,90601425,90603425,Cops8,+,0
chr1,90914419,90916703,409,90913100,90915100,Mlph,+,0
chr1,90926843,90928847,410,90913100,90915100,Mlph,+,11744
chr1,90966346,90970342,411,90969620,90971620,Rab17,-,0
chr1,91052247,91059630,412,90996727,90998727,Lrrfip1,+,53521
chr1,91179213,91181499,413,91177822,91179822,Ramp1,+,0
chr1,91249453,91252503,414,91248319,91250319,Ube2f,+,0
chr1,91297391,91299893,415,91296338,91298338,Scly,+,0
chr1,91365761,91368083,416,91364430,91366430,Fam132b,+,0
chr1,91396834,91399590,417,91398783,91400783,Ilkap,-,0
chr1,91411333,91415050,418,91413222,91415222,Hes6,-,0
chr1,91435810,91437670,419,91413222,91415222,Hes6,-,20589
chr1,91441554,91446235,420,91459328,91461328,Per2,-,13094
chr1,91453152,91461044,421,91459328,91461328,Per2,-,0
chr1,91494367,91495999,422,91492668,91494668,Traf3ip1,+,0
chr1,91539633,91541760,423,91538565,91540565,Asb1,+,0
chr1,92082503,92084860,424,92148393,92150393,Hdac4,-,63534
chr1,92112672,92114621,425,92148393,92150393,Hdac4,-,33773
