Chromosome,Start,End,Name,Start_b,End_b,Name_b,Score,Strand,Distance
chr1,13667781,13670382,29,13666771,13668771,Xkr9,.,+,0
chr1,13696818,13698238,30,13666771,13668771,Xkr9,.,+,28048
chr1,13698357,13699752,31,13666771,13668771,Xkr9,.,+,29587
chr1,15805040,15806841,32,15803658,15805658,Terf1,.,+,0
chr1,16102805,16107491,33,16103882,16105882,Rdh10,.,+,0
chr1,16171295,16173362,34,16104433,16106433,Rpl7,.,-,64863
chr1,16518415,16520398,35,16519302,16521302,Stau2,.,-,0
chr1,16618007,16619493,36,16619286,16621286,Ube2w,.,-,0
chr1,16655373,16658230,37,16655552,16657552,D030040B21Rik,.,+,0
chr1,16664814,16666487,38,16663191,16665191,Tmem70,.,+,0
chr1,16687399,16689747,39,16686456,16688456,Ly96,.,+,0
chr1,20819361,20820264,40,20820213,20822213,Mcm3,.,-,0
chr1,20856215,20858695,41,20888622,20890622,Paqr8,.,+,29928
chr1,20862656,20864788,42,20888622,20890622,Paqr8,.,+,23835
chr1,21071789,21074314,43,21079225,21081225,Tram2,.,-,4912
chr1,21077956,21080251,44,21079225,21081225,Tram2,.,-,0
chr1,21216809,21220601,45,21216631,21218631,Tmem14a,.,+,0
chr1,21228759,21230937,46,21238589,21240589,Gsta3,.,+,7653
chr1,21254097,21257108,47,21238589,21240589,Gsta3,.,+,13509
chr1,21344192,21345819,48,21347677,21349677,Khdc1a,.,+,1859
chr1,23256126,23258483,49,23270269,23272269,Mir30a,.,+,11787
chr1,23871636,23873914,50,23922289,23924289,Smap1,.,-,48376
chr1,23919965,23923044,51,23922289,23924289,Smap1,.,-,0
chr1,24004180,24006281,52,24005640,24007640,1110058L19Rik,.,-,0
chr1,24095942,24103381,53,24100341,24102341,Fam135a,.,-,0
chr1,24106462,24109514,54,24100341,24102341,Fam135a,.,-,4122
chr1,24294426,24296222,55,24175610,24177610,Col9a1,.,+,116817
chr1,24611257,24616439,56,24587437,24589437,Col19a1,.,-,21821
chr1,24677650,24680682,57,24676544,24678544,Lmbrd1,.,+,0
chr1,24683714,24684463,58,24676544,24678544,Lmbrd1,.,+,5171
chr1,24699474,24701628,59,24676544,24678544,Lmbrd1,.,+,20931
chr1,25494441,25496657,60,25277954,25279954,Gm20172,.,-,214488
chr1,25710561,25711501,61,25829707,25831707,Bai3,.,-,118207
chr1,26686689,26688340,62,26687460,26689460,4931408C20Rik,.,-,0
chr1,28020604,28021527,63,28780252,28782252,Gm597,.,-,758726
chr1,29317346,29317983,64,28780252,28782252,Gm597,.,-,535095
chr1,30872165,30874653,65,30863256,30865256,Phf3,.,-,6910
chr1,30947038,30952217,66,30949710,30951710,Gm13363,.,-,0
chr1,31018631,31020488,67,30949755,30951755,Ptp4a1,.,-,66877
chr1,31042374,31045530,68,30949755,30951755,Ptp4a1,.,-,90620
chr1,31049078,31053071,69,30949755,30951755,Ptp4a1,.,-,97324
chr1,31057751,31060063,70,30949755,30951755,Ptp4a1,.,-,105997
chr1,31129691,31130230,71,31174435,31176435,Lgsn,.,+,44206
chr1,31154069,31157104,72,31174435,31176435,Lgsn,.,+,17332
chr1,33669130,33670951,73,33667824,33669824,1700001G17Rik,.,+,0
chr1,33813249,33814945,74,33814427,33816427,Zfp451,.,-,0
chr1,34120115,34124641,75,34009825,34011825,Dst,.,+,108291
chr1,34432666,34435505,76,34433199,34435199,Mir5103,.,-,0
chr1,34438758,34440672,77,34437829,34439829,Imp4,.,+,0
chr1,34459035,34461015,78,34457746,34459746,Ptpn18,.,+,0
chr1,34827038,34831533,79,34843050,34845050,Fam168b,.,-,11518
chr1,34840256,34844189,80,34843050,34845050,Fam168b,.,-,0
chr1,34848077,34854107,81,34847959,34849959,Plekhb2,.,+,0
chr1,34854891,34860611,82,34847959,34849959,Plekhb2,.,+,4933
chr1,36067626,36072329,83,36066400,36068400,Hs6st1,.,+,0
chr1,36087885,36089125,84,36066400,36068400,Hs6st1,.,+,19486
chr1,36089802,36090999,85,36066400,36068400,Hs6st1,.,+,21403
chr1,36240097,36245054,86,36244302,36246302,Uggt1,.,-,0
chr1,36269676,36277263,87,36273425,36275425,Neurl3,.,-,0
chr1,36307403,36308736,88,36305733,36307733,Arid5a,.,+,0
chr1,36367034,36369773,89,36369181,36371181,4632411B12Rik,.,-,0
chr1,36444390,36445332,90,36445239,36447239,Lman2l,.,-,0
chr1,36470724,36478654,91,36469597,36471597,Cnnm4,.,+,0
chr1,36490900,36492759,92,36509876,36511876,Cnnm3,.,+,17118
chr1,36510920,36513981,93,36509876,36511876,Cnnm3,.,+,0
chr1,36546335,36547278,94,36547201,36549201,Ankrd39,.,-,0
chr1,36556240,36558870,95,36558381,36560381,Sema4c,.,-,0
chr1,36690865,36692962,96,36689487,36691487,Cox5b,.,+,0
chr1,36707533,36711278,97,36709925,36711925,Actr1b,.,-,0
chr1,36918633,36920885,98,36939527,36941527,Tmem131,.,-,18643
chr1,36926428,36928049,99,36939527,36941527,Tmem131,.,-,11479
chr1,36935618,36942807,100,36939527,36941527,Tmem131,.,-,0
chr1,36969807,36973004,101,36939527,36941527,Tmem131,.,-,28281
chr1,37025677,37026781,102,36939527,36941527,Tmem131,.,-,84151
chr1,37028912,37029711,103,36939527,36941527,Tmem131,.,-,87386
chr1,37298442,37302649,104,37297893,37299893,Inpp4a,.,+,0
chr1,37428856,37431961,105,37428172,37430172,Unc50,.,+,0
chr1,37499599,37501970,106,37488605,37490605,4930594C11Rik,.,-,8995
chr1,37504651,37505641,107,37488605,37490605,4930594C11Rik,.,-,14047
chr1,37521228,37522161,108,37536259,37538259,Mgat4a,.,-,14099
chr1,37522300,37523682,109,37536259,37538259,Mgat4a,.,-,12578
chr1,37539141,37541550,110,37536259,37538259,Mgat4a,.,-,883
chr1,37564994,37570118,111,37536259,37538259,Mgat4a,.,-,26736
chr1,37583092,37584987,112,37536259,37538259,Mgat4a,.,-,44834
chr1,37613646,37617961,113,37536259,37538259,Mgat4a,.,-,75388
chr1,37662778,37667554,114,37719811,37721811,2010300C02Rik,.,-,52258
chr1,37693728,37694767,115,37719811,37721811,2010300C02Rik,.,-,25045
chr1,37718521,37720644,116,37719811,37721811,2010300C02Rik,.,-,0
chr1,37865160,37866516,117,37865079,37867079,Tsga10,.,-,0
chr1,37871500,37873558,118,37870206,37872206,Lipt1,.,+,0
chr1,37888913,37891994,119,37888553,37890553,Mrpl30,.,+,0
chr1,37995666,37999790,120,37996010,37998010,Eif5b,.,+,0
chr1,38127287,38130746,121,38129662,38131662,Rev1,.,-,0
chr1,38982243,38989552,122,38985814,38987814,Pdcl3,.,+,0
chr1,39104703,39106697,123,39192272,39194272,Npas2,.,+,85576
chr1,39185841,39188914,124,39192272,39194272,Npas2,.,+,3359
chr1,39192791,39195510,125,39192272,39194272,Npas2,.,+,0
chr1,39196936,39197943,126,39192272,39194272,Npas2,.,+,2665
chr1,39202705,39208957,127,39192272,39194272,Npas2,.,+,8434
chr1,39234147,39236137,128,39192272,39194272,Npas2,.,+,39876
chr1,39239467,39242090,129,39192272,39194272,Npas2,.,+,45196
chr1,39258455,39262168,130,39192272,39194272,Npas2,.,+,64184
chr1,39331113,39332721,131,39365851,39367851,Rpl31,.,+,33131
chr1,39367072,39369848,132,39365851,39367851,Rpl31,.,+,0
chr1,39466654,39469374,133,39478747,39480747,Tbc1d8,.,-,9374
chr1,39476526,39479484,134,39478747,39480747,Tbc1d8,.,-,0
chr1,39534988,39537164,135,39533802,39535802,D1Bwg0212e,.,+,0
chr1,39575540,39577882,136,39577347,39579347,Rnf149,.,-,0
chr1,39899974,39902816,137,39898913,39900913,Map4k4,.,+,0
chr1,40101816,40102702,138,40085851,40087851,Gm16894,.,-,13966
chr1,40630914,40634161,139,40679712,40681712,Slc9a2,.,+,45552
chr1,40656639,40658280,140,40679712,40681712,Slc9a2,.,+,21433
chr1,40679920,40685203,141,40679712,40681712,Slc9a2,.,+,0
chr1,40696617,40697302,142,40679712,40681712,Slc9a2,.,+,14906
chr1,40708153,40709295,143,40679712,40681712,Slc9a2,.,+,26442
chr1,40709507,40710434,144,40679712,40681712,Slc9a2,.,+,27796
chr1,40764955,40767081,145,40790657,40792657,Mfsd9,.,-,23577
chr1,40789208,40791512,146,40790657,40792657,Mfsd9,.,-,0
chr1,41452705,41453356,147,41181252,41183252,4930448I06Rik,.,-,269454
chr1,42850500,42852899,148,42849233,42851233,Mrps9,.,+,0
chr1,42971817,42972792,149,42950872,42952872,Gpr45,.,+,18946
chr1,43090800,43093716,150,43096710,43098710,AI597479,.,+,2995
chr1,43097345,43100177,151,43096710,43098710,AI597479,.,+,0
chr1,43144544,43146473,152,43163961,43165961,Fhl2,.,-,17489
chr1,43151109,43155579,153,43163961,43165961,Fhl2,.,-,8383
chr1,43162375,43164764,154,43163961,43165961,Fhl2,.,-,0
chr1,43180474,43183428,155,43163961,43165961,Fhl2,.,-,14514
chr1,43202007,43204384,156,43163961,43165961,Fhl2,.,-,36047
chr1,43239128,43241797,157,43163961,43165961,Fhl2,.,-,73168
chr1,43258499,43261087,158,43163961,43165961,Fhl2,.,-,92539
chr1,43265188,43266823,159,43163961,43165961,Fhl2,.,-,99228
chr1,43304821,43307713,160,43443751,43445751,Nck2,.,+,136039
chr1,43422742,43424587,161,43443751,43445751,Nck2,.,+,19165
chr1,43443990,43448624,162,43443751,43445751,Nck2,.,+,0
chr1,43471802,43475344,163,43443751,43445751,Nck2,.,+,26052
chr1,43484763,43487768,164,43443751,43445751,Nck2,.,+,39013
chr1,43520551,43523153,165,43443751,43445751,Nck2,.,+,74801
chr1,43778068,43779238,166,43728602,43730602,1500015O10Rik,.,+,47467
chr1,43826708,43828703,167,43827708,43829708,Uxs1,.,-,0
chr1,43932568,43936355,168,43932007,43934007,Tpp2,.,+,0
chr1,43940614,43942619,169,43932007,43934007,Tpp2,.,+,6608
chr1,44100660,44103059,170,44102388,44104388,1700029F09Rik,.,-,0
chr1,44118017,44120560,171,44117968,44119968,Bivm,.,+,0
chr1,44146964,44149013,172,44145744,44147744,Ercc5,.,+,0
chr1,44950737,44951421,173,44744949,44746949,4930521E06Rik,.,-,203789
chr1,45794657,45796610,174,45793501,45795501,Wdr75,.,+,0
chr1,45835685,45836626,175,45793501,45795501,Wdr75,.,+,40185
chr1,45876721,45877888,176,45925594,45927594,Slc40a1,.,-,47707
chr1,45924994,45926509,177,45925594,45927594,Slc40a1,.,-,0
chr1,46851951,46854883,178,46853509,46855509,Slc39a10,.,-,0
chr1,48881432,48881715,179,46853509,46855509,Slc39a10,.,-,2025924
chr1,50408666,50409485,180,50925523,50927523,Tmeff2,.,+,516039
chr1,51477115,51479727,181,51478399,51480399,Obfc2a,.,-,0
chr1,51848535,51850544,182,51915974,51917974,Myo1b,.,-,65431
chr1,51855019,51857070,183,51915974,51917974,Myo1b,.,-,58905
chr1,51915097,51915838,184,51915974,51917974,Myo1b,.,-,137
chr1,52118531,52121329,185,52117438,52119438,Stat1,.,+,0
chr1,52227354,52234703,186,52233232,52235232,Gls,.,-,0
chr1,52255768,52257033,187,52233232,52235232,Gls,.,-,20537
chr1,52257120,52258374,188,52233232,52235232,Gls,.,-,21889
chr1,52281552,52282873,189,52233232,52235232,Gls,.,-,46321
chr1,52498999,52502577,190,52500448,52502448,Nab1,.,-,0
chr1,52630632,52631299,191,52628705,52630705,Tmem194b,.,+,0
chr1,52687761,52688551,192,52727318,52729318,Mfsd6,.,-,38768
chr1,52711047,52713758,193,52727318,52729318,Mfsd6,.,-,13561
chr1,52725904,52728505,194,52727318,52729318,Mfsd6,.,-,0
chr1,52797865,52801232,195,52817688,52819688,Inpp1,.,-,16457
chr1,52806620,52810829,196,52817688,52819688,Inpp1,.,-,6860
chr1,52816729,52818302,197,52817688,52819688,Inpp1,.,-,0
chr1,52844050,52846501,198,52843046,52845046,Hibch,.,+,0
chr1,52952154,52953294,199,52952840,52954840,1700019D03Rik,.,-,0
chr1,53296024,53298302,200,53295095,53297095,Ormdl1,.,+,0
chr1,53312868,53314873,201,53311663,53313663,Osgepl1,.,+,0
chr1,53351333,53353068,202,53352699,53354699,Asnsd1,.,-,0
chr1,53714981,53717511,203,53706784,53708784,Dnahc7a,.,-,6198
chr1,53736112,53738333,204,53706784,53708784,Dnahc7a,.,-,27329
chr1,53779278,53785910,205,53785215,53787215,Stk17b,.,-,0
chr1,53792984,53799283,206,53785215,53787215,Stk17b,.,-,5770
chr1,53813474,53818378,207,53785215,53787215,Stk17b,.,-,26260
chr1,53821617,53825106,208,53785215,53787215,Stk17b,.,-,34403
chr1,53843533,53848140,209,53785215,53787215,Stk17b,.,-,56319
chr1,53882396,53884044,210,53785215,53787215,Stk17b,.,-,95182
chr1,53887421,53891918,211,53785215,53787215,Stk17b,.,-,100207
chr1,54438087,54439490,212,54438971,54440971,Gtf3c3,.,-,0
chr1,54556528,54558256,213,54557684,54559684,Pgap1,.,-,0
chr1,54599577,54601121,214,54557684,54559684,Pgap1,.,-,39894
chr1,54756301,54758641,215,54926387,54928387,Ankrd44,.,-,167747
chr1,54925275,54927182,216,54926387,54928387,Ankrd44,.,-,0
chr1,55025139,55032044,217,55027478,55029478,Sf3b1,.,-,0
chr1,55051703,55054255,218,55050770,55052770,Coq10b,.,+,0
chr1,55084886,55090563,219,55086148,55088148,Hspe1,.,+,0
chr1,55130304,55133745,220,55129245,55131245,Mob4,.,+,0
chr1,55170685,55174854,221,55129245,55131245,Mob4,.,+,39441
chr1,55212505,55214849,222,55226782,55228782,Rftn2,.,-,11934
chr1,55236394,55239884,223,55235177,55237177,Mars2,.,+,0
chr1,55769059,55771932,224,55929241,55931241,9130227L01Rik,.,+,157310
chr1,56538716,56542530,225,56637451,56639451,Hsfy2,.,-,94922
chr1,56557089,56559786,226,56637451,56639451,Hsfy2,.,-,77666
chr1,56970450,56975028,227,56969469,56971469,9130024F11Rik,.,+,0
chr1,57376985,57378720,228,57375620,57377620,1700066M21Rik,.,+,0
chr1,57405400,57408041,229,57404548,57406548,9430016H08Rik,.,+,0
chr1,57844448,57846605,230,57772861,57774861,Spats2l,.,+,69588
chr1,57852188,57852755,231,57772861,57774861,Spats2l,.,+,77328
chr1,57969114,57970427,232,57970084,57972084,Kctd18,.,-,0
chr1,57995279,57997048,233,57983340,57985340,Sgol2,.,+,9940
chr1,58303254,58305528,234,58276326,58278326,Aox3l1,.,+,24929
chr1,58351947,58356930,235,58391136,58393136,Bzw1,.,+,34207
chr1,58357437,58360205,236,58391136,58393136,Bzw1,.,+,30932
chr1,58366148,58368293,237,58391136,58393136,Bzw1,.,+,22844
chr1,58391499,58394726,238,58391136,58393136,Bzw1,.,+,0
chr1,58422358,58424642,239,58424088,58426088,Clk1,.,-,0
chr1,58444576,58446541,240,58445486,58447486,Ppil3,.,-,0
chr1,58503859,58505695,241,58504919,58506919,Orc2,.,-,0
chr1,58584134,58587827,242,58584599,58586599,Ndufb3,.,+,0
chr1,58601033,58604513,243,58586333,58588333,Fam126b,.,-,12701
chr1,58613370,58615795,244,58586333,58588333,Fam126b,.,-,25038
chr1,58652169,58653778,245,58650641,58652641,Gm20257,.,+,0
chr1,58677165,58679645,246,58695989,58697989,Als2cr12,.,-,16345
chr1,58688571,58694242,247,58695989,58697989,Als2cr12,.,-,1748
chr1,58699773,58701257,248,58695989,58697989,Als2cr12,.,-,1785
chr1,58709891,58712803,249,58711286,58713286,Cflar,.,+,0
chr1,58712821,58714932,250,58711286,58713286,Cflar,.,+,0
chr1,58742551,58745162,251,58711286,58713286,Cflar,.,+,29266
chr1,58776918,58779937,252,58793374,58795374,Casp8,.,+,13438
chr1,58787257,58789621,253,58793374,58795374,Casp8,.,+,3754
chr1,58794002,58798562,254,58793374,58795374,Casp8,.,+,0
chr1,58801250,58805394,255,58793374,58795374,Casp8,.,+,5877
chr1,58889385,58893495,256,58971571,58973571,Stradb,.,+,78077
chr1,58971960,58975015,257,58971571,58973571,Stradb,.,+,0
chr1,59119527,59120968,258,59120096,59122096,Als2cr4,.,-,0
chr1,59124405,59126579,259,59120096,59122096,Als2cr4,.,-,2310
chr1,59189062,59190341,260,59163389,59165389,Mpp4,.,-,23674
chr1,59200529,59202464,261,59237231,59239231,Als2,.,-,34768
chr1,59210800,59213239,262,59237231,59239231,Als2,.,-,23993
chr1,59236253,59239361,263,59237231,59239231,Als2,.,-,0
chr1,59315758,59315959,264,59254907,59256907,Cdk15,.,+,58852
chr1,59317736,59318943,265,59254907,59256907,Cdk15,.,+,60830
chr1,59474518,59477175,266,59480147,59482147,Fzd7,.,+,2973
chr1,59482127,59483172,267,59480147,59482147,Fzd7,.,+,0
chr1,59519540,59521292,268,59514264,59516264,Gm973,.,+,3277
chr1,59668225,59672154,269,59670834,59672834,Sumo1,.,-,0
chr1,59683808,59686821,270,59683006,59685006,Nop58,.,+,0
chr1,59696792,59699674,271,59702808,59704808,Snord11,.,+,3135
chr1,59762103,59767096,272,59762637,59764637,Bmpr2,.,+,0
chr1,59911434,59915315,273,59911006,59913006,Fam117b,.,+,0
chr1,60096726,60099558,274,60096281,60098281,Carf,.,+,0
chr1,60179201,60182547,275,60178599,60180599,Nbeal1,.,+,0
chr1,60342599,60344246,276,60341372,60343372,Cyp20a1,.,+,0
chr1,60562839,60569994,277,60566765,60568765,Raph1,.,-,0
chr1,60578646,60581013,278,60566765,60568765,Raph1,.,-,9882
chr1,60596324,60598027,279,60566765,60568765,Raph1,.,-,27560
chr1,60608820,60609555,280,60566765,60568765,Raph1,.,-,40056
chr1,60619905,60624260,281,60566765,60568765,Raph1,.,-,51141
chr1,60661615,60663356,282,60744388,60746388,Cd28,.,+,81033
chr1,60665120,60670665,283,60744388,60746388,Cd28,.,+,73724
chr1,60778309,60779799,284,60744388,60746388,Cd28,.,+,31922
chr1,60827303,60828529,285,60907025,60909025,Ctla4,.,+,78497
chr1,60850939,60855347,286,60907025,60909025,Ctla4,.,+,51679
chr1,61637996,61640011,287,61636824,61638824,Pard3b,.,+,0
chr1,61750271,61752217,288,61636824,61638824,Pard3b,.,+,111448
chr1,62387127,62389113,289,62701317,62703317,Nrp2,.,+,312205
chr1,63001253,63006749,290,63112471,63114471,Gm11602,.,+,105723
chr1,63019622,63020727,291,63112471,63114471,Gm11602,.,+,91745
chr1,63112157,63116320,292,63112471,63114471,Gm11602,.,+,0
chr1,63128955,63130779,293,63114267,63116267,Ino80d,.,-,12689
chr1,63175200,63178889,294,63174831,63176831,Eef1b2,.,+,0
chr1,63629824,63631000,295,63686927,63688927,Dytn,.,-,55928
chr1,63730113,63731496,296,63728625,63730625,Fastkd2,.,+,0
chr1,64119829,64123104,297,64121389,64123389,Klf7,.,-,0
chr1,64292762,64297353,298,64121389,64123389,Klf7,.,-,169374
chr1,64300486,64304982,299,64121389,64123389,Klf7,.,-,177098
chr1,64530359,64535514,300,64530804,64532804,Creb1,.,+,0
chr1,64616336,64618686,301,64617168,64619168,Mettl21a,.,-,0
chr1,64689521,64693352,302,64689345,64691345,Ccnyl1,.,+,0
chr1,64735440,64737715,303,64737750,64739750,Fzd5,.,-,36
chr1,64742170,64743891,304,64737750,64739750,Fzd5,.,-,2421
chr1,64786969,64787771,305,64737750,64739750,Fzd5,.,-,47220
chr1,64787843,64790087,306,64737750,64739750,Fzd5,.,-,48094
chr1,64797790,64800573,307,64737750,64739750,Fzd5,.,-,58041
chr1,64830977,64832783,308,64737750,64739750,Fzd5,.,-,91228
chr1,64940313,64943169,309,64956824,64958824,Plekhm3,.,-,13656
chr1,64955688,64957109,310,64956824,64958824,Plekhm3,.,-,0
chr1,64990890,64995056,311,64956824,64958824,Plekhm3,.,-,32067
chr1,65111761,65113303,312,65103363,65105363,Cryga,.,-,6399
chr1,65116152,65120897,313,65123193,65125193,D630023F18Rik,.,-,2297
chr1,65128027,65132041,314,65123193,65125193,D630023F18Rik,.,-,2835
chr1,65175234,65180053,315,65184685,65186685,Pikfyve,.,+,4633
chr1,65185740,65187699,316,65184685,65186685,Pikfyve,.,+,0
chr1,66699869,66702520,317,66698893,66700893,Rpe,.,+,0
chr1,66815608,66818358,318,66817595,66819595,1110028C15Rik,.,-,0
chr1,66861594,66865836,319,66863267,66865267,Acadl,.,-,0
chr1,66895458,66896776,320,66863267,66865267,Acadl,.,-,30192
chr1,67037995,67039751,321,67038872,67040872,Lancl1,.,-,0
chr1,67079427,67080940,322,67038872,67040872,Lancl1,.,-,38556
chr1,67111849,67115201,323,67121066,67123066,Cps1,.,+,5866
chr1,67116139,67116948,324,67121066,67123066,Cps1,.,+,4119
chr1,69468757,69472407,325,69685960,69687960,Ikzf2,.,-,213554
chr1,71079259,71079494,326,71102972,71104972,Bard1,.,-,23479
chr1,71101584,71103046,327,71102972,71104972,Bard1,.,-,0
chr1,71556346,71558240,328,71555156,71557156,Atic,.,+,0
chr1,72171351,72175514,329,72212307,72214307,Mreg,.,-,36794
chr1,72196427,72197328,330,72212307,72214307,Mreg,.,-,14980
chr1,72210342,72212473,331,72212307,72214307,Mreg,.,-,0
chr1,72225511,72227218,332,72212307,72214307,Mreg,.,-,11205
chr1,72236479,72237074,333,72212307,72214307,Mreg,.,-,22173
chr1,72243251,72245122,334,72212307,72214307,Mreg,.,-,28945
chr1,72254198,72255817,335,72282373,72284373,Tmem169,.,+,26557
chr1,72282864,72284595,336,72282373,72284373,Tmem169,.,+,0
chr1,72306131,72308279,337,72305421,72307421,Xrcc5,.,+,0
chr1,72582472,72584404,338,72581251,72583251,Smarcal1,.,+,0
chr1,72696159,72696638,339,72700564,72702564,Ankar,.,-,3927
chr1,72710636,72712716,340,72709260,72711260,Rpl37a,.,+,0
chr1,74196202,74198457,341,74194631,74196631,Cxcr1,.,-,0
chr1,74235570,74242292,342,74234550,74236550,Arpc2,.,+,0
chr1,74247766,74250883,343,74234550,74236550,Arpc2,.,+,11217
chr1,74254741,74257368,344,74234550,74236550,Arpc2,.,+,18192
chr1,74283653,74284800,345,74283034,74285034,Pnkd,.,+,0
chr1,74285009,74286553,346,74283034,74285034,Pnkd,.,+,0
chr1,74294750,74299690,347,74304336,74306336,Tmbim1,.,-,4647
chr1,74301389,74304974,348,74304336,74306336,Tmbim1,.,-,0
chr1,74328233,74331978,349,74304336,74306336,Tmbim1,.,-,21898
chr1,74386252,74388549,350,74389609,74391609,Ctdsp1,.,+,1061
chr1,74389704,74394158,351,74389609,74391609,Ctdsp1,.,+,0
chr1,74396355,74400033,352,74392310,74394310,Mir26b,.,+,2046
chr1,74406425,74413870,353,74407384,74409384,Vil1,.,+,0
chr1,74431889,74437161,354,74407384,74409384,Vil1,.,+,22506
chr1,74451246,74453671,355,74407384,74409384,Vil1,.,+,41863
chr1,74505055,74509034,356,74504060,74506060,Rqcd1,.,+,0
chr1,74511787,74515216,357,74504060,74506060,Rqcd1,.,+,5728
chr1,74586706,74589188,358,74586361,74588361,Bcs1l,.,+,0
chr1,74600253,74601804,359,74599455,74601455,Stk36,.,+,0
chr1,74661578,74663065,360,74659754,74661754,Ttll4,.,+,0
chr1,74677018,74678693,361,74659754,74661754,Ttll4,.,+,15265
chr1,74697642,74700108,362,74711574,74713574,Cyp27a1,.,+,11467
chr1,74711398,74715527,363,74711574,74713574,Cyp27a1,.,+,0
chr1,74724709,74726186,364,74711574,74713574,Cyp27a1,.,+,11136
chr1,74750322,74751682,365,74748955,74750955,Prkag3,.,-,0
chr1,74753511,74755292,366,74748955,74750955,Prkag3,.,-,2557
chr1,74816468,74817795,367,74790019,74792019,Wnt10a,.,+,24450
chr1,74899842,74901692,368,74900721,74902721,Mir375,.,-,0
chr1,74935347,74937531,369,74935599,74937599,Ccdc108,.,-,0
chr1,74940618,74943872,370,74935599,74937599,Ccdc108,.,-,3020
chr1,74947312,74953243,371,74951651,74953651,Ihh,.,-,0
chr1,74960846,74964098,372,74951651,74953651,Ihh,.,-,7196
chr1,74969536,74973749,373,74951651,74953651,Ihh,.,-,15886
chr1,75123162,75126704,374,75133890,75135890,Slc23a3,.,-,7187
chr1,75139879,75144463,375,75140786,75142786,Fam134a,.,+,0
chr1,75167246,75169938,376,75166646,75168646,Zfand2b,.,+,0
chr1,75179168,75182324,377,75180283,75182283,Abcb6,.,-,0
chr1,75189968,75193988,378,75190135,75192135,Ankzf1,.,+,0
chr1,75210389,75212339,379,75208829,75210829,Stk16,.,+,0
chr1,75213297,75214650,380,75210778,75212778,Glb1l,.,-,520
chr1,75217404,75220025,381,75219253,75221253,Tuba4a,.,-,0
chr1,75233486,75237977,382,75232093,75234093,A630095N17Rik,.,-,0
chr1,75313050,75317751,383,75317637,75319637,Dnpep,.,-,0
chr1,75435545,75437355,384,75433943,75435943,Gmppa,.,+,0
chr1,75520654,75522421,385,75519529,75521529,Stk11ip,.,+,0
chr1,78307948,78314842,386,78308346,78310346,Sgpp2,.,+,0
chr1,78351995,78356059,387,78308346,78310346,Sgpp2,.,+,41650
chr1,78398408,78402855,388,78488846,78490846,Farsb,.,-,85992
chr1,78482068,78485915,389,78488846,78490846,Farsb,.,-,2932
chr1,78486651,78490377,390,78488846,78490846,Farsb,.,-,0
chr1,78573511,78574980,391,78509060,78511060,Mogat1,.,+,62452
chr1,78646567,78648897,392,78655825,78657825,Utp14b,.,+,6929
chr1,78655130,78659770,393,78655825,78657825,Utp14b,.,+,0
chr1,79670961,79672858,394,79671972,79673972,Ap1s3,.,-,0
chr1,79760461,79762081,395,79761769,79763769,Wdfy1,.,-,0
chr1,79775833,79777327,396,79774018,79776018,Mrpl44,.,+,0
chr1,80337916,80341806,397,80340430,80342430,Cul3,.,-,0
chr1,80883886,80884643,398,80758553,80760553,Dock10,.,-,123334
chr1,82282717,82283794,399,82291439,82293439,Irs1,.,-,7646
chr1,82315761,82317624,400,82314579,82316579,Rhbdd1,.,+,0
