chr	chromStart	chromEnd	name
chr1	37718459	37721183	106
chr1	37863743	37866792	107
chr1	37871499	37873799	108
chr1	37888718	37892302	109
chr1	37995751	38000330	110
chr1	38127839	38130698	111
chr1	38985793	38989498	112
chr1	39104871	39106998	113
chr1	39186007	39188292	114
chr1	39192079	39198350	115
chr1	39202887	39207854	116
chr1	39234033	39236074	117
chr1	39239620	39242221	118
chr1	39258480	39261024	119
chr1	39366978	39371486	120
chr1	39477035	39479484	121
chr1	39534968	39537493	122
chr1	39575290	39578310	123
chr1	39755943	39756808	124
chr1	39900007	39903317	125
chr1	39934811	39936897	126
chr1	40631973	40633713	127
chr1	40679622	40683734	128
chr1	40764253	40766868	129
chr1	40789174	40791804	130
chr1	41917861	41918092	131
chr1	42490884	42492532	132
chr1	42850564	42852774	133
chr1	43090821	43093860	134
chr1	43096864	43100225	135
chr1	43143815	43147206	136
chr1	43150796	43156675	137
chr1	43159224	43165476	138
chr1	43305227	43307077	139
chr1	43444014	43448961	140
chr1	43470588	43475631	141
chr1	43778219	43779068	142
chr1	43825897	43828805	143
chr1	43932707	43936658	144
chr1	44041671	44042966	145
chr1	44100552	44103346	146
chr1	44117827	44121202	147
chr1	44147008	44149416	148
chr1	44200977	44201496	149
chr1	45794699	45797041	150
chr1	45925000	45926751	151
chr1	46076065	46076236	152
chr1	46732412	46732929	153
chr1	46851992	46855099	154
chr1	48881462	48881677	155
chr1	51476767	51479591	156
chr1	51848592	51850334	157
chr1	51914750	51916325	158
chr1	52112760	52114377	159
chr1	52118494	52121899	160
chr1	52226231	52234290	161
chr1	52255592	52258846	162
chr1	52498749	52502483	163
chr1	52630039	52631815	164
chr1	52725519	52728499	165
chr1	52797896	52801265	166
chr1	52816237	52818288	167
chr1	52844187	52846375	168
chr1	52950584	52953899	169
chr1	53295659	53298949	170
chr1	53312723	53314711	171
chr1	53350886	53353297	172
chr1	53715069	53717256	173
chr1	53777671	53786004	174
chr1	53814060	53817277	175
chr1	53822927	53825116	176
chr1	53837504	53839666	177
chr1	53842942	53847647	178
chr1	53881349	53884316	179
chr1	53887026	53891453	180
chr1	54249950	54251515	181
chr1	54437927	54439535	182
chr1	54555948	54558394	183
chr1	54925040	54927314	184
chr1	55024884	55030013	185
chr1	55051344	55056282	186
chr1	55084054	55090864	187
chr1	55130274	55134498	188
chr1	55170830	55172891	189
chr1	55173099	55175027	190
chr1	55236278	55240617	191
chr1	56539540	56541928	192
chr1	56782257	56782434	193
chr1	56968237	56975328	194
chr1	57223442	57223595	195
chr1	57376811	57378793	196
chr1	57405340	57408038	197
chr1	57844024	57847196	198
chr1	57848967	57850660	199
chr1	57851898	57853500	200
chr1	57968863	57970453	201
chr1	57995202	57997436	202
chr1	58303643	58305120	203
chr1	58352188	58355075	204
chr1	58358111	58360268	205
chr1	58365879	58367683	206
chr1	58390917	58395445	207
chr1	58420215	58424528	208
chr1	58444158	58447254	209
chr1	58503503	58505800	210
chr1	58584221	58588417	211
chr1	58613501	58614587	212
chr1	58652017	58654044	213
chr1	58677547	58679863	214
chr1	58689196	58694012	215
chr1	58709953	58717517	216
chr1	58742375	58745158	217
chr1	58769090	58770946	218
chr1	58776948	58779517	219
chr1	58794053	58798485	220
chr1	58801597	58804693	221
chr1	58889524	58892291	222
chr1	58971466	58975226	223
chr1	59119307	59121253	224
chr1	59211283	59213210	225
chr1	59235744	59239167	226
chr1	59320957	59322912	227
chr1	59480811	59486128	228
chr1	59667425	59672113	229
chr1	59683724	59688405	230
chr1	59696511	59699098	231
chr1	59762095	59765937	232
chr1	59911429	59916360	233
chr1	60096336	60099723	234
chr1	60179372	60182766	235
chr1	60342435	60344240	236
chr1	60408994	60410748	237
chr1	60563315	60567975	238
chr1	60578725	60581069	239
chr1	60620492	60623236	240
chr1	60659795	60663326	241
chr1	60666776	60670076	242
chr1	60851903	60854432	243
chr1	61638014	61640410	244
chr1	62702598	62704206	245
chr1	63004518	63006567	246
chr1	63111719	63117608	247
chr1	63128877	63130833	248
chr1	63174428	63179140	249
chr1	63629714	63630979	250
chr1	63730011	63732107	251
chr1	64119176	64123117	252
chr1	64293855	64296329	253
chr1	64301370	64303748	254
chr1	64530361	64535795	255
chr1	64616213	64619009	256
chr1	64689533	64692925	257
chr1	64731083	64738399	258
chr1	64742081	64743947	259
chr1	64786794	64790773	260
chr1	64796792	64800798	261
chr1	64955711	64957394	262
chr1	64991991	64995175	263
chr1	65111024	65113438	264
chr1	65117527	65119761	265
chr1	65129130	65131034	266
chr1	65174173	65180460	267
chr1	65185674	65188178	268
chr1	66700093	66703017	269
chr1	66815499	66818648	270
chr1	66861674	66864465	271
chr1	66895292	66897067	272
chr1	67037932	67039747	273
chr1	67111562	67119080	274
chr1	69456710	69456895	275
chr1	69686135	69688610	276
chr1	71078997	71079641	277
chr1	71101446	71103940	278
chr1	71556356	71558480	279
chr1	72172352	72175273	280
chr1	72210123	72212928	281
chr1	72225400	72226997	282
chr1	72236143	72237491	283
chr1	72243388	72245180	284
chr1	72253954	72255830	285
chr1	72282766	72284674	286
chr1	72306561	72308820	287
chr1	72582392	72584214	288
chr1	72696186	72696809	289
chr1	72710513	72713389	290
chr1	74123943	74125514	291
chr1	74235213	74241604	292
chr1	74247693	74251439	293
chr1	74254771	74257957	294
chr1	74282676	74286909	295
chr1	74295256	74297624	296
chr1	74302315	74304819	297
chr1	74331636	74333486	298
chr1	74385858	74388303	299
chr1	74389681	74394919	300
chr1	74396126	74398679	301
chr1	74408012	74414715	302
chr1	74504268	74510112	303
chr1	74586067	74589463	304
chr1	74600375	74601898	305
chr1	74661376	74663809	306
chr1	74696666	74700014	307
chr1	74712088	74715967	308
chr1	74724316	74728842	309
chr1	74753393	74755793	310
chr1	74816349	74818073	311
chr1	74898929	74901772	312
chr1	74935708	74937931	313
chr1	74941024	74943827	314
chr1	74945000	74953390	315
chr1	74960749	74965688	316
chr1	74965838	74973226	317
chr1	75014768	75016927	318
chr1	75123374	75126151	319
chr1	75137367	75144613	320
chr1	75167473	75170578	321
chr1	75178856	75181870	322
chr1	75189750	75194905	323
chr1	75210124	75216191	324
chr1	75216345	75220332	325
chr1	75235472	75238045	326
chr1	75251194	75252574	327
chr1	75312241	75317732	328
chr1	75435352	75437906	329
chr1	75460493	75462718	330
chr1	75478243	75480052	331
chr1	75520845	75522652	332
chr1	77513065	77517160	333
chr1	78308610	78314359	334
chr1	78399553	78401966	335
chr1	78486471	78490750	336
chr1	78573499	78574949	337
chr1	78656468	78660917	338
chr1	79670658	79672833	339
chr1	79759616	79762332	340
chr1	79775644	79777527	341
chr1	80337123	80342159	342
chr1	82282622	82284265	343
chr1	82290088	82292744	344
chr1	82315650	82317924	345
chr1	82724177	82726372	346
chr1	82762923	82769033	347
chr1	82784083	82786602	348
chr1	82815266	82817042	349
chr1	82831238	82832789	350
chr1	82838651	82841623	351
chr1	82989983	82993305	352
chr1	84836370	84841505	353
chr1	85075123	85075427	354
chr1	85649734	85651200	355
chr1	85778034	85779997	356
chr1	85791705	85796661	357
chr1	85893994	85896181	358
chr1	85958194	85961529	359
chr1	86037046	86041670	360
chr1	86044878	86048505	361
chr1	86058765	86060135	362
chr1	86063369	86067084	363
chr1	86153607	86155754	364
chr1	86268650	86270370	365
chr1	86270920	86272945	366
chr1	86302546	86304805	367
chr1	86356994	86361289	368
chr1	86433588	86436115	369
chr1	86439708	86443961	370
chr1	86471697	86473327	371
chr1	86486470	86489340	372
chr1	86501792	86506151	373
chr1	86523990	86530548	374
chr1	86581366	86583384	375
chr1	86586232	86588237	376
chr1	86702929	86705274	377
chr1	87076178	87079405	378
chr1	87097498	87103049	379
chr1	87212857	87215682	380
chr1	87315848	87317849	381
chr1	87326306	87330612	382
chr1	87384946	87387935	383
chr1	87393029	87396245	384
chr1	87550224	87555075	385
chr1	87571616	87576071	386
chr1	87755070	87758168	387
chr1	87852509	87855996	388
chr1	87890015	87894195	389
chr1	87905821	87913208	390
chr1	88007179	88009552	391
chr1	88093271	88098943	392
chr1	88185930	88189258	393
chr1	88211258	88217976	394
chr1	88220014	88222389	395
chr1	88275068	88278734	396
chr1	88306039	88308430	397
chr1	88700701	88702780	398
chr1	89014941	89016670	399
chr1	89069279	89073008	400
chr1	89182419	89184533	401
chr1	89453575	89457565	402
chr1	89472616	89477022	403
chr1	89479533	89482836	404
chr1	89509253	89510973	405
chr1	89579393	89581645	406
chr1	90202754	90205037	407
chr1	90602379	90605153	408
chr1	90914419	90916703	409
chr1	90926843	90928847	410
chr1	90966346	90970342	411
chr1	91052247	91059630	412
chr1	91179213	91181499	413
chr1	91249453	91252503	414
chr1	91297391	91299893	415
chr1	91365761	91368083	416
chr1	91396834	91399590	417
chr1	91411333	91415050	418
chr1	91435810	91437670	419
chr1	91441554	91446235	420
chr1	91453152	91461044	421
chr1	91494367	91495999	422
chr1	91539633	91541760	423
chr1	92082503	92084860	424
chr1	92112672	92114621	425
chr1	92144170	92146598	426
chr1	92177891	92181682	427
chr1	92471999	92474938	428
chr1	92639706	92642599	429
chr1	92906532	92908449	430
chr1	92909264	92914667	431
chr1	92919828	92922047	432
chr1	92933363	92938609	433
chr1	92948608	92953533	434
chr1	93159299	93161690	435
chr1	93235410	93236918	436
chr1	93304503	93306768	437
chr1	93342044	93344827	438
chr1	93373491	93375488	439
chr1	93442018	93446993	440
chr1	93449564	93449691	441
chr1	93476364	93481081	442
chr1	93510047	93514378	443
chr1	93519900	93522580	444
chr1	93527318	93530706	445
chr1	93566554	93568742	446
chr1	93633249	93636972	447
chr1	93649370	93656790	448
chr1	93668006	93670114	449
chr1	93684973	93687876	450
chr1	93693025	93695025	451
chr1	93730312	93732769	452
chr1	93752950	93756531	453
chr1	93800805	93805679	454
chr1	93823581	93827119	455
chr1	93857268	93864086	456
chr1	93926358	93931700	457
chr1	93995900	93997440	458
chr1	95312735	95315105	459
chr1	95451924	95452077	460
chr1	97580082	97581700	461
chr1	97656973	97663139	462
chr1	97704714	97706472	463
chr1	97767035	97771783	464
chr1	98093663	98097068	465
chr1	100738609	100739244	466
chr1	102628187	102628350	467
chr1	105078573	105081054	468
chr1	105087767	105090036	469
chr1	105091266	105094115	470
chr1	105105404	105107489	471
chr1	105112790	105116498	472
chr1	105155384	105159491	473
chr1	105175429	105179939	474
chr1	105354370	105357676	475
chr1	105660367	105666688	476
chr1	105746060	105748657	477
chr1	105758774	105760907	478
chr1	105779641	105784122	479
chr1	105971175	105972829	480
chr1	105988798	105994817	481
chr1	106170645	106175491	482
chr1	106427658	106429514	483
chr1	106476301	106479298	484
chr1	106585551	106588498	485
chr1	106711901	106715337	486
chr1	106755910	106760923	487
chr1	106794330	106799686	488
chr1	106874759	106877151	489
chr1	118309289	118312100	490
chr1	118321061	118323741	491
chr1	118387517	118390958	492
chr1	118457409	118460401	493
chr1	118627196	118630897	494
chr1	119502454	119505827	495
chr1	119521641	119527178	496
chr1	119647312	119649774	497
chr1	119835550	119838092	498
chr1	119911914	119914343	499
chr1	120072236	120075558	500
chr1	120082424	120085673	501
chr1	120090019	120092494	502
chr1	120115845	120123036	503
chr1	120264090	120266252	504
chr1	121325926	121329599	505
chr1	121430243	121433080	506
chr1	121460808	121466140	507
chr1	121483382	121485231	508
chr1	121566500	121568452	509
chr1	122356974	122357473	510
chr1	125429117	125437006	511
chr1	125449493	125451299	512
chr1	125481169	125483355	513
chr1	125518522	125520681	514
chr1	125525212	125528449	515
chr1	125548834	125552750	516
chr1	125559154	125562605	517
chr1	125662019	125663893	518
chr1	125676420	125680170	519
chr1	125693038	125695254	520
chr1	125700309	125701982	521
chr1	126602775	126605556	522
chr1	126649498	126653509	523
chr1	126674782	126678873	524
chr1	126718723	126720887	525
chr1	126735732	126739024	526
chr1	126829785	126831305	527
chr1	127203834	127209014	528
chr1	127232524	127234352	529
chr1	127247432	127253186	530
chr1	127256045	127258897	531
chr1	127269012	127271861	532
chr1	127395599	127398582	533
chr1	127772701	127777578	534
chr1	127868240	127870103	535
chr1	128101617	128105446	536
chr1	128243403	128246468	537
chr1	128323544	128328666	538
chr1	128356708	128360773	539
chr1	128415230	128418043	540
chr1	130421215	130423577	541
chr1	130460740	130463876	542
chr1	130484562	130487307	543
chr1	130514356	130516256	544
chr1	130714290	130719209	545
chr1	130731415	130736540	546
chr1	130759084	130765290	547
chr1	130769687	130771749	548
chr1	130797511	130799556	549
chr1	130820578	130822311	550
chr1	130824849	130832849	551
chr1	131095159	131098635	552
chr1	131136894	131139716	553
chr1	131152263	131154941	554
chr1	131198294	131200648	555
chr1	131244443	131247197	556
chr1	131274474	131275827	557
chr1	131277453	131281449	558
chr1	131525302	131529258	559
chr1	131797045	131799412	560
chr1	131827010	131829028	561
chr1	131867052	131868456	562
chr1	131909642	131912545	563
chr1	132006306	132012857	564
chr1	132054420	132056381	565
chr1	132060873	132062976	566
chr1	132066461	132068644	567
chr1	132124387	132129026	568
chr1	132132996	132134630	569
chr1	132136240	132140529	570
chr1	132148712	132153214	571
chr1	132297444	132299790	572
chr1	132315937	132321619	573
chr1	132416670	132419131	574
chr1	132476084	132479234	575
chr1	133023532	133026665	576
chr1	133032944	133034656	577
chr1	133044182	133052432	578
chr1	133053973	133060129	579
chr1	133082176	133086645	580
chr1	133089821	133094702	581
chr1	133101943	133104765	582
chr1	133122743	133125599	583
chr1	133128878	133136796	584
chr1	133145519	133147138	585
chr1	133161361	133169103	586
chr1	133189634	133191637	587
chr1	133203708	133207039	588
chr1	133220416	133223678	589
chr1	133244192	133247981	590
chr1	133283729	133288513	591
chr1	133308399	133313128	592
chr1	133346842	133349093	593
chr1	133362681	133365333	594
chr1	133416703	133424732	595
chr1	133430458	133432573	596
chr1	133437167	133438831	597
chr1	133451080	133455139	598
chr1	133492434	133493943	599
chr1	133594226	133596409	600
chr1	133608510	133611196	601
chr1	133658904	133662220	602
chr1	133668881	133671607	603
chr1	133693577	133695380	604
chr1	134054248	134057477	605
chr1	134059753	134063218	606
chr1	134070119	134073298	607
chr1	134074513	134081776	608
chr1	134085370	134089455	609
chr1	134091154	134094550	610
chr1	134094735	134100488	611
chr1	134216730	134218136	612
chr1	134298411	134299962	613
chr1	134356950	134363151	614
chr1	134405203	134406977	615
chr1	134414053	134418125	616
chr1	134420970	134422339	617
chr1	134454106	134456929	618
chr1	134493552	134497538	619
chr1	134512701	134514355	620
chr1	134519851	134523711	621
chr1	134556283	134557119	622
chr1	134559367	134562403	623
chr1	134954491	134956504	624
chr1	134961194	134964525	625
chr1	135145969	135149591	626
chr1	135180342	135184760	627
chr1	135196423	135200566	628
chr1	135203711	135206800	629
chr1	135226212	135229030	630
chr1	135233630	135236182	631
chr1	135250908	135259431	632
chr1	135264596	135269166	633
chr1	135279322	135285035	634
chr1	135312126	135314619	635
chr1	135368071	135369363	636
chr1	135428991	135431131	637
chr1	135508130	135511308	638
chr1	135687017	135688783	639
chr1	135728231	135730124	640
chr1	135792518	135795575	641
chr1	135808664	135815645	642
chr1	135817569	135825191	643
chr1	135916134	135919614	644
chr1	136017397	136019323	645
chr1	136118776	136121401	646
chr1	136125678	136127818	647
chr1	136130703	136137938	648
chr1	136139746	136141138	649
chr1	136172231	136175904	650
chr1	136218506	136222226	651
chr1	136227663	136235131	652
chr1	136344766	136346746	653
chr1	136414465	136416223	654
chr1	136465701	136467487	655
chr1	136623875	136626734	656
chr1	136894869	136896922	657
chr1	136909867	136911265	658
chr1	136945229	136950393	659
chr1	136956989	136960833	660
chr1	137897996	137901612	661
chr1	138617218	138620492	662
chr1	138855705	138857171	663
chr1	138927930	138929646	664
chr1	138961546	138966720	665
chr1	139421267	139423630	666
chr1	139453874	139455973	667
chr1	140408646	140410533	668
chr1	143700131	143704023	669
chr1	143738315	143741233	670
chr1	143776077	143779451	671
chr1	144000817	144005381	672
chr1	149960491	149961613	673
chr1	150391150	150396073	674
chr1	151129465	151132909	675
chr1	151165743	151169683	676
chr1	151177269	151179059	677
chr1	151263237	151265614	678
chr1	151289146	151290733	679
chr1	151295585	151297984	680
chr1	151341436	151349431	681
chr1	151426128	151431280	682
chr1	151498607	151501887	683
chr1	151752200	151757469	684
chr1	152038662	152041883	685
chr1	152084195	152085820	686
chr1	152088320	152091601	687
chr1	152385651	152386966	688
chr1	152765705	152768951	689
chr1	152807326	152808730	690
chr1	152900103	152905505	691
chr1	153184668	153186761	692
chr1	153330950	153334109	693
chr1	153484480	153488525	694
chr1	153548259	153550362	695
chr1	153751090	153753867	696
chr1	153768021	153771517	697
chr1	153898846	153901921	698
chr1	154117105	154118803	699
chr1	155027331	155029440	700
chr1	155055682	155059447	701
chr1	155062730	155066222	702
chr1	155082552	155087978	703
chr1	155093075	155100300	704
chr1	155157746	155159794	705
chr1	155201050	155202926	706
chr1	155415213	155418559	707
chr1	155557527	155559458	708
chr1	155809409	155814018	709
chr1	155970325	155975052	710
chr1	156034148	156038910	711
chr1	156040553	156043875	712
chr1	156420250	156422315	713
chr1	156472637	156474772	714
chr1	156558043	156560267	715
chr1	156672525	156675150	716
chr1	156714832	156720517	717
chr1	156731937	156735064	718
chr1	156936416	156941925	719
chr1	156955835	156958411	720
chr1	156977243	156980353	721
chr1	156988991	156992689	722
chr1	157008109	157010505	723
chr1	157084517	157085241	724
chr1	157253471	157254954	725
chr1	157410446	157413540	726
chr1	157524360	157528499	727
chr1	157877226	157877377	728
chr1	159231193	159235252	729
chr1	159248359	159251635	730
chr1	160043553	160045357	731
chr1	160194861	160196867	732
chr1	160210217	160214238	733
chr1	160241527	160243812	734
chr1	160305322	160310847	735
chr1	160790893	160793826	736
chr1	160904704	160909786	737
chr1	161033326	161039035	738
chr1	161069322	161076847	739
chr1	161129043	161132398	740
chr1	161194672	161196765	741
chr1	161248170	161251965	742
chr1	161726778	161727914	743
chr1	161765198	161767880	744
chr1	161874294	161878044	745
chr1	161968428	161970587	746
chr1	162039992	162042000	747
chr1	162546600	162549688	748
chr1	162569573	162572214	749
chr1	162737815	162741578	750
chr1	162812029	162816474	751
chr1	162857933	162860003	752
chr1	162870367	162872783	753
chr1	162885520	162886886	754
chr1	163288561	163290100	755
chr1	163311710	163313491	756
chr1	163402299	163404341	757
chr1	163778888	163780485	758
chr1	163928916	163932221	759
chr1	163993589	163996171	760
chr1	164247582	164251648	761
chr1	164259572	164262020	762
chr1	164274989	164276391	763
chr1	164305983	164308535	764
chr1	164365504	164368247	765
chr1	164410338	164412135	766
chr1	164414772	164418184	767
chr1	164433592	164436653	768
chr1	164452874	164461117	769
chr1	164469390	164472706	770
chr1	164479707	164482838	771
chr1	164536965	164539043	772
chr1	164702476	164704923	773
chr1	164711842	164714638	774
chr1	164895692	164897963	775
chr1	164898079	164900732	776
chr1	164955864	164958115	777
chr1	165190462	165195884	778
chr1	165234956	165238111	779
chr1	165458338	165464085	780
chr1	165593814	165595848	781
chr1	165631019	165635812	782
chr1	165641032	165644067	783
chr1	165762762	165765672	784
chr1	165770965	165773091	785
chr1	165844206	165846124	786
chr1	165995410	166004206	787
chr1	166046954	166049905	788
chr1	166128832	166134175	789
chr1	166135109	166140554	790
chr1	166151053	166156173	791
chr1	166377904	166382117	792
chr1	166408639	166410689	793
chr1	167282703	167285944	794
chr1	167306737	167310292	795
chr1	167339405	167340950	796
chr1	167349005	167356402	797
chr1	167374571	167375730	798
chr1	167389119	167395552	799
chr1	168425971	168433245	800
chr1	168708056	168710324	801
chr1	169529940	169532764	802
chr1	169916374	169920228	803
chr1	169966889	169970814	804
chr1	170172481	170177153	805
chr1	170213828	170216010	806
chr1	170254883	170256192	807
chr1	170454146	170458972	808
chr1	170477314	170484095	809
chr1	170586886	170591156	810
chr1	170814951	170816799	811
chr1	170865854	170869421	812
chr1	170881737	170887027	813
chr1	171036559	171038895	814
chr1	171043773	171045801	815
chr1	171063528	171067473	816
chr1	171070259	171073666	817
chr1	171077391	171081291	818
chr1	171101728	171103624	819
chr1	171110536	171112535	820
chr1	171113073	171114914	821
chr1	171148643	171151519	822
chr1	171168291	171170677	823
chr1	171213055	171215584	824
chr1	171220761	171223916	825
chr1	171245321	171248393	826
chr1	171269352	171272657	827
chr1	171279530	171282470	828
chr1	171286425	171288709	829
chr1	171293348	171295655	830
chr1	171326966	171331575	831
chr1	171343624	171347488	832
chr1	171369649	171371123	833
chr1	171410615	171413197	834
chr1	171417711	171420264	835
chr1	171436540	171443703	836
chr1	171477530	171478968	837
chr1	171501557	171505120	838
chr1	172026435	172027919	839
chr1	172079970	172085971	840
chr1	172126006	172128883	841
chr1	172147188	172150725	842
chr1	172205544	172207209	843
chr1	172309516	172313728	844
chr1	172375687	172378030	845
chr1	172411300	172414277	846
chr1	172430969	172433453	847
chr1	172460949	172464401	848
chr1	172481005	172489025	849
chr1	172498998	172504048	850
chr1	172509854	172511348	851
chr1	172549213	172551358	852
chr1	172561610	172563984	853
chr1	172631859	172633792	854
chr1	175623518	175626563	855
chr1	175690946	175693998	856
chr1	175880157	175881786	857
chr1	176813007	176815497	858
chr1	176996032	176998865	859
chr1	177257551	177259338	860
chr1	177440586	177446737	861
chr1	177458290	177459702	862
chr1	177554893	177559128	863
chr1	177710428	177712780	864
chr1	177740169	177743207	865
chr1	177792901	177797427	866
chr1	177982659	177984869	867
chr1	178186526	178190174	868
chr1	178274567	178277527	869
chr1	178316112	178322982	870
chr1	178331577	178339071	871
chr1	178368163	178370067	872
chr1	178404929	178407443	873
chr1	179516270	179518604	874
chr1	179544130	179548645	875
chr1	179559014	179561265	876
chr1	179579681	179583478	877
chr1	179667031	179669496	878
chr1	179801044	179805060	879
chr1	179958512	179962834	880
chr1	180175777	180177440	881
chr1	180190380	180196756	882
chr1	180224884	180227191	883
chr1	180253492	180257655	884
chr1	180264692	180266345	885
chr1	180301504	180303480	886
chr1	180329985	180332917	887
chr1	180363756	180366047	888
chr1	180385901	180389067	889
chr1	180405907	180409231	890
chr1	180568299	180570424	891
chr1	180639713	180642999	892
chr1	180725046	180731537	893
chr1	180756060	180759289	894
chr1	180767233	180769350	895
chr1	180776603	180784079	896
chr1	180808567	180815582	897
chr1	180849992	180853827	898
chr1	180903425	180905775	899
chr1	180935899	180937672	900
chr1	180940293	180944241	901
chr1	181015844	181017747	902
chr1	181142479	181149419	903
chr1	181150507	181153541	904
chr1	181208891	181213660	905
chr1	181255621	181259075	906
chr1	181284897	181286997	907
chr1	181533677	181535731	908
chr1	181742694	181744181	909
chr1	181839312	181843996	910
chr1	181851824	181854113	911
chr1	181863690	181866641	912
chr1	182124454	182126378	913
chr1	182139245	182140827	914
chr1	182280757	182283682	915
chr1	182339379	182342422	916
chr1	182407957	182411516	917
chr1	182516579	182518140	918
chr1	182564112	182565988	919
chr1	182629493	182630263	920
chr1	182954376	182955659	921
chr1	182959224	182960873	922
chr1	183046818	183048999	923
chr1	183137327	183139446	924
chr1	183220450	183221925	925
chr1	183295240	183300042	926
chr1	183344016	183347262	927
chr1	183367863	183370360	928
chr1	183388260	183390197	929
chr1	183438404	183441077	930
chr1	184032597	184035903	931
chr1	184274637	184277992	932
chr1	184825737	184828806	933
chr1	184836257	184840795	934
chr1	184841700	184847538	935
chr1	184850893	184855188	936
chr1	184857382	184862652	937
chr1	184871144	184872930	938
chr1	184880650	184883786	939
chr1	185202686	185206093	940
chr1	185251626	185254758	941
chr1	185269944	185272565	942
chr1	185280066	185285712	943
chr1	185310302	185316203	944
chr1	185327760	185329955	945
chr1	185331271	185334736	946
chr1	185361536	185365531	947
chr1	185424052	185426227	948
chr1	185431180	185433902	949
chr1	185447498	185450879	950
chr1	185453963	185456344	951
chr1	185515046	185517225	952
chr1	185610494	185612344	953
chr1	186116322	186117687	954
chr1	186704044	186706071	955
chr1	186747786	186750463	956
chr1	186760606	186760814	957
chr1	187068858	187069492	958
chr1	187214817	187216754	959
chr1	187225611	187229539	960
chr1	187608413	187610470	961
chr1	187650952	187652951	962
chr1	187661640	187664942	963
chr1	187996782	187998760	964
chr1	187999398	188000975	965
chr1	189005664	189008493	966
chr1	189685639	189689253	967
chr1	189920754	189923178	968
chr1	190168086	190171295	969
chr1	190300433	190300666	970
chr1	190302778	190303934	971
chr1	190830656	190834235	972
chr1	190868024	190872878	973
chr1	190880042	190882530	974
chr1	190902482	190903219	975
chr1	190910624	190913652	976
chr1	190919770	190921216	977
chr1	190926784	190932489	978
chr1	190976998	190979633	979
chr1	191023238	191028664	980
chr1	191061832	191064401	981
chr1	191070484	191073955	982
chr1	191179450	191187184	983
chr1	191192704	191195236	984
chr1	191223492	191225833	985
chr1	191277015	191278997	986
chr1	191282474	191285301	987
chr1	191312197	191313489	988
chr1	191317233	191318500	989
chr1	191325505	191328902	990
chr1	191392534	191398647	991
chr1	191497094	191499731	992
chr1	191573052	191577560	993
chr1	191639212	191641300	994
chr1	191644387	191647491	995
chr1	191716618	191722352	996
chr1	191801602	191803908	997
