tracking_id	q13_FPKM	q14_FPKM	q15_FPKM	q16_FPKM	q13_FPKMr	q14_FPKMr	q15_FPKMr	q16_FPKMr
1190005I06Rik	0	0.507206	0	0.205785	0	0.507206	0	0.205785
1190007F08Rik	3.27473	2.5087	3.05535	2.80546	3.27473	2.5087	3.05535	2.80546
1190007I07Rik	5.7042	4.34283	4.28048	4.71703	5.7042	4.34283	4.28048	4.71703
1200009I06Rik	46.7559	33.9849	61.143	40.1408	46.7559	33.9849	61.143	40.1408
1200011I18Rik	5.56663	4.37296	4.16957	4.59025	5.56663	4.37296	4.16957	4.59025
1200011M11Rik	5.34807	4.17885	5.4532	5.05945	5.34807	4.17885	5.4532	5.05945
1200014J11Rik	4.45193	4.40705	3.5958	4.34111	4.45193	4.40705	3.5958	4.34111
1200016B10Rik	7.12079	4.64003	6.53537	4.65564	7.12079	4.64003	6.53537	4.65564
1300001I01Rik	25.2958	25.8695	18.9239	22.5536	25.2958	25.8695	18.9239	22.5536
1300002E11Rik	13.0179	10.4158	15.545	11.1301	13.0179	10.4158	15.545	11.1301
1300002K09Rik	2.10272	2.39176	1.96898	1.87715	2.10272	2.39176	1.96898	1.87715
1300010F03Rik	16.613	20.0833	16.3708	15.1139	16.613	20.0833	16.3708	15.1139
1300014I06Rik	18.0385	10.171	12.2688	11.405	18.0385	10.171	12.2688	11.405
1300015D01Rik	0.030157	0.0407694	0.103662	0.0661642	0.030157	0.0407694	0.103662	0.0661642
1300017J02Rik	0	0	0.0409787	0	0	0	0.0409787	0
1300018I17Rik	4.40852	3.9128	5.3368	4.03712	4.40852	3.9128	5.3368	4.03712
1300018J18Rik	3.64122	4.45819	4.88059	4.06977	3.64122	4.45819	4.88059	4.06977
1500001M20Rik	5.24949	5.07909	3.53816	3.61328	5.24949	5.07909	3.53816	3.61328
1500002O10Rik	0.144846	0	0.124473	0	0.144846	0	0.124473	0
1500002O20Rik	3.55504	4.60856	4.05941	4.48751	3.55504	4.60856	4.05941	4.48751
1500003O03Rik	90.0107	125.204	122.363	112.993	90.0107	125.204	122.363	112.993
1500004A13Rik	0.821027	1.44099	0.940733	1.24829	0.821027	1.44099	0.940733	1.24829
1500009C09Rik	0	0	0	0.0812537	0	0	0	0.0812537
1500009L16Rik	2.55015	2.36597	0.945342	2.35868	2.55015	2.36597	0.945342	2.35868
1500010J02Rik	2.09097	2.42976	2.46823	2.66544	2.09097	2.42976	2.46823	2.66544
1500011B03Rik	1.88002	2.04708	1.12972	1.66823	1.88002	2.04708	1.12972	1.66823
1500011H22Rik	0.89082	1.80645	0.546805	1.11683	0.89082	1.80645	0.546805	1.11683
1500011K16Rik	4.17194	5.52947	3.93664	5.11502	4.17194	5.52947	3.93664	5.11502
1500012F01Rik	10.6118	15.1012	7.99934	12.7644	10.6118	15.1012	7.99934	12.7644
1500012K07Rik	0	0	0	0	0	0	0	0
1500015A07Rik	1.131	1.24734	1.07423	1.0448	1.131	1.24734	1.07423	1.0448
1500015L24Rik	0	0	0	0	0	0	0	0
1500015O10Rik	0.0725294	0.294158	0	0.0795645	0.0725294	0.294158	0	0.0795645
1500016L03Rik	0	0	0	0	0	0	0	0
1500017E21Rik	0.160653	0.162891	0.0345143	0.0220295	0.160653	0.162891	0.0345143	0.0220295
1500031L02Rik	7.26311	7.4089	5.27695	6.66381	7.26311	7.4089	5.27695	6.66381
1500032L24Rik	136.832	118.071	145.155	118.072	136.832	118.071	145.155	118.072
1520402A15Rik	0.363955	0.218681	0.20851	0.576705	0.363955	0.218681	0.20851	0.576705
1600002D24Rik	0.029944	0.161925	0	0.0656968	0.029944	0.161925	0	0.0656968
1600002H07Rik	1.12068	1.13629	1.53213	1.06174	1.12068	1.13629	1.53213	1.06174
1600002K03Rik	2.67356	4.06619	0.95732	3.78832	2.67356	4.06619	0.95732	3.78832
1600010M07Rik	0	0	0.83166	0	0	0	0.83166	0
1600012F09Rik	3.1294	2.66222	2.3613	2.24397	3.1294	2.66222	2.3613	2.24397
1600012H06Rik	8.90694	8.11725	9.7878	7.76134	8.90694	8.11725	9.7878	7.76134
1600014C10Rik	4.47631	2.78868	4.27985	3.58174	4.47631	2.78868	4.27985	3.58174
1600014C23Rik	0	0	0	0	0	0	0	0
1600014K23Rik	0	0	0	0	0	0	0	0
1600015I10Rik	0	0	0.074429	0.0237529	0	0	0.074429	0.0237529
1600016N20Rik	1.82241	2.97096	1.4279	2.67536	1.82241	2.97096	1.4279	2.67536
1600019K03Rik	0	0	0	0	0	0	0	0
1600020E01Rik	2.82398	7.87002	6.81912	5.05959	2.82398	7.87002	6.81912	5.05959
1600021P15Rik	8.30453	8.60576	9.34822	7.9054	8.30453	8.60576	9.34822	7.9054
1600025M17Rik	0	0	0	0	0	0	0	0
1600027N09Rik	2.50524	4.0642	3.78906	2.8032	2.50524	4.0642	3.78906	2.8032
1600029D21Rik	4.93481	5.49169	1.08604	3.697	4.93481	5.49169	1.08604	3.697
1600029I14Rik	0.150371	0.101644	0.387667	0.494872	0.150371	0.101644	0.387667	0.494872
1600029O15Rik	0.0923581	0.166479	0.211648	0.101316	0.0923581	0.166479	0.211648	0.101316
1700001C02Rik	0	0	0	0	0	0	0	0
1700001C19Rik	0.244017	0.518395	0.599132	0.420649	0.244017	0.518395	0.599132	0.420649
1700001D01Rik	2.35094	3.17825	1.66376	3.18579	2.35094	3.17825	1.66376	3.18579
1700001F09Rik	0	0	0	0	0	0	0	0
1700001G11Rik	0	0.35664	0	0	0	0.35664	0	0
1700001G17Rik	0.0724228	0	0	0	0.0724228	0	0	0
1700001J03Rik	0.259635	0.117	0.446234	0	0.259635	0.117	0.446234	0
1700001J11Rik	0.0654181	0.235837	0	0.119606	0.0654181	0.235837	0	0.119606
1700001K19Rik	0.859379	0.536214	0.227233	0.507627	0.859379	0.536214	0.227233	0.507627
1700001K23Rik	0.882118	0.715523	0	0.774144	0.882118	0.715523	0	0.774144
1700001L05Rik	1.34338	2.62074	1.68051	1.59494	1.34338	2.62074	1.68051	1.59494
1700001L19Rik	0	0.0416458	0	0	0	0.0416458	0	0
1700001O22Rik	0.200617	0.354762	0.45263	0.144454	0.200617	0.354762	0.45263	0.144454
1700001P01Rik	0.355925	0	0	0.520597	0.355925	0	0	0.520597
1700003C15Rik	0	0	0	0	0	0	0	0
1700003D09Rik	2.04533	5.1916	2.58268	3.34269	2.04533	5.1916	2.58268	3.34269
1700003E16Rik	0.508372	0.325549	0.367891	0.410924	0.508372	0.325549	0.367891	0.410924
1700003F12Rik	0	0.127043	0	0.206178	0	0.127043	0	0.206178
1700003F17Rik	0	0	0	0	0	0	0	0
1700003G13Rik	0	0	0	0	0	0	0	0
1700003G18Rik	0	0	0	0	0	0	0	0
1700003H04Rik	0	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0	0	0
1700003M02Rik	0	0	0	0	0	0	0	0
1700003M07Rik	0.0555626	0.0751161	0.0477475	0.0914295	0.0555626	0.0751161	0.0477475	0.0914295
1700003P14Rik	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0	0	0
1700006F04Rik	0	0	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	0	0
1700007B14Rik	0	0	0	0	0	0	0	0
1700007F19Rik	0	0	0	0	0	0	0	0
1700007G11Rik	0.151064	0	0	0	0.151064	0	0	0
1700007I08Rik	0.152495	0.154619	0.39314	0.334572	0.152495	0.154619	0.39314	0.334572
1700007J10Rik	1.20126	1.32872	1.31385	1.37768	1.20126	1.32872	1.31385	1.37768
1700007K09Rik	0	0	0	0	0	0	0	0
1700007K13Rik	0	0	0	0	0	0	0	0
1700007L15Rik	0.640706	0.742434	0.94387	0.602445	0.640706	0.742434	0.94387	0.602445
1700007P06Rik	0	0	0.41355	0.0879841	0	0	0.41355	0.0879841
1700008A04Rik	0	0	0	0	0	0	0	0
1700008F21Rik	0	0	0	0	0	0	0	0
1700008I05Rik	0.0314343	0	0	0	0.0314343	0	0	0
1700008J07Rik	1.77273	2.72609	1.67574	1.99329	1.77273	2.72609	1.67574	1.99329
1700008K24Rik	0	0	0	0	0	0	0	0
1700008O03Rik	0.140308	0	0	0.0769585	0.140308	0	0	0.0769585
1700008P02Rik	0	0	0	0	0	0	0	0
1700008P20Rik	0	0	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	0	0	0	0
1700009J07Rik	0	0	0	0.0766312	0	0	0	0.0766312
1700009N14Rik	0	0	0	0	0	0	0	0
1700009P17Rik	0.77607	0.887761	0.102602	1.04781	0.77607	0.887761	0.102602	1.04781
1700010B08Rik	0	0	0	0	0	0	0	0
1700010D01Rik	0	0	0	0	0	0	0	0
1700010I02Rik	0	0	0	0	0	0	0	0
1700010I14Rik	0.0885403	0.438893	0.405798	0.323761	0.0885403	0.438893	0.405798	0.323761
1700010J16Rik	0	0	0	0	0	0	0	0
1700010K23Rik	0	0	0	0	0	0	0	0
1700010M22Rik	0.0910221	0	0	0	0.0910221	0	0	0
1700011A15Rik	0	0	0	0	0	0	0	0
1700011B04Rik	0	0	0	0	0	0	0	0
1700011E24Rik	0.0771886	0.730461	0	0.0846756	0.0771886	0.730461	0	0.0846756
1700011F03Rik	0	0	0	0	0	0	0	0
1700011F14Rik	0	0	0	0	0	0	0	0
1700011H14Rik	13.984	11.9547	20.5883	15.0584	13.984	11.9547	20.5883	15.0584
1700011I03Rik	0	0	0	0	0	0	0	0
1700011J10Rik	1.47022	3.76223	1.44392	1.67042	1.47022	3.76223	1.44392	1.67042
1700011L22Rik	0.0640436	0	0	0.140511	0.0640436	0	0	0.140511
1700011M02Rik	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0
1700012A16Rik	0.107317	0.217624	0.138335	0.0588632	0.107317	0.217624	0.138335	0.0588632
1700012B07Rik	0	0.0912048	0	0.074007	0	0.0912048	0	0.074007
1700012B09Rik	0	0	0	0	0	0	0	0
1700012B15Rik	4.5033	4.46969	4.01687	3.81451	4.5033	4.46969	4.01687	3.81451
1700012D01Rik	0.101318	0.547888	0	0.111145	0.101318	0.547888	0	0.111145
1700012D14Rik	0.70338	0.316967	0.402967	0.385802	0.70338	0.316967	0.402967	0.385802
1700012I11Rik	0	0.160439	0	0	0	0.160439	0	0
1700012L04Rik	0.155782	1.05301	1.07097	0.341785	0.155782	1.05301	1.07097	0.341785
1700012P22Rik	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	0	0	0
1700013G23Rik	0	0	0	0.168758	0	0	0	0.168758
1700013G24Rik	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0
1700013N18Rik	0.756039	0.766569	0.584732	0.704965	0.756039	0.766569	0.584732	0.704965
1700014N06Rik	0	0	0	0	0	0	0	0
1700015E13Rik	3.81034	5.67955	3.02254	3.96557	3.81034	5.67955	3.02254	3.96557
1700015F17Rik	0	0	0	0	0	0	0	0
1700015G11Rik	0	0	1.88791	0	0	0	1.88791	0
1700016C15Rik	0.638334	3.45187	2.6644	1.50054	0.638334	3.45187	2.6644	1.50054
1700016D06Rik	0	0	0	0	0	0	0	0
1700016G22Rik	0	0	0	0	0	0	0	0
1700016H13Rik	0	0.115176	0	0	0	0.115176	0	0
1700016K19Rik	0.069169	0	0	0.075878	0.069169	0	0	0.075878
1700016L04Rik	0	0	0	0	0	0	0	0
1700016L21Rik	0	0	0	0	0	0	0	0
1700016M24Rik	0	0	0	0	0	0	0	0
1700016P04Rik	0	0	0	0	0	0	0	0
1700017B05Rik	7.63179	5.39834	10.7335	10.6023	7.63179	5.39834	10.7335	10.6023
1700017D01Rik	0	0	0	0.0548531	0	0	0	0.0548531
1700017G19Rik	0.0220896	0.029863	0	0	0.0220896	0.029863	0	0
1700017J07Rik	0	0	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0	0	0
1700018A04Rik	0.195015	0.263642	0.335173	0.427862	0.195015	0.263642	0.335173	0.427862
1700018B08Rik	0	0	0	0	0	0	0	0
1700018B24Rik	0	0	0	0	0	0	0	0
1700018C11Rik	0	0	0	0.116916	0	0	0	0.116916
1700018F24Rik	0	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0	0
1700018L02Rik	3.36898	3.01498	3.42523	2.86291	3.36898	3.01498	3.42523	2.86291
1700018L24Rik	0.26101	0.235241	0	0.286327	0.26101	0.235241	0	0.286327
1700019A02Rik	0	0	0	0	0	0	0	0
1700019B03Rik	0	0	0	0	0	0	0	0
1700019B21Rik	0	0	0	0	0	0	0	0
1700019D03Rik	3.54571	5.64563	4.1981	3.28457	3.54571	5.64563	4.1981	3.28457
1700019E08Rik	0	0	0	0	0	0	0	0
1700019E19Rik	10.2594	12.2055	14.9527	11.3325	10.2594	12.2055	14.9527	11.3325
1700019G17Rik	25.5823	31.1808	23.7104	18.1725	25.5823	31.1808	23.7104	18.1725
1700019G24Rik	0	0	0	0	0	0	0	0
1700019L03Rik	0.974387	2.31659	2.54089	2.50638	0.974387	2.31659	2.54089	2.50638
1700019M22Rik	0	0	0	0	0	0	0	0
1700019N12Rik	0	0	0.29593	0.0944417	0	0	0.29593	0.0944417
1700019N19Rik	0	0	0	0	0	0	0	0
1700019O17Rik	0	0	0	0.0357374	0	0	0	0.0357374
1700020A23Rik	0.155779	0	0	0	0.155779	0	0	0
1700020D05Rik	0	0.493198	0.52251	0.600304	0	0.493198	0.52251	0.600304
1700020G17Rik	0	0	0	0	0	0	0	0
1700020I14Rik	30.192	30.5565	29.0544	30.1503	30.192	30.5565	29.0544	30.1503
1700020L24Rik	1.50065	0.276645	0.937878	0.29931	1.50065	0.276645	0.937878	0.29931
1700020M21Rik	0	0	0	0.124742	0	0	0	0.124742
1700020N01Rik	0.115613	0	0.198704	0.126827	0.115613	0	0.198704	0.126827
1700020N15Rik	0	0	0	0	0	0	0	0
1700020N18Rik	0	0	0	0	0	0	0	0
1700020O03Rik	4.66063	4.52359	5.4999	4.79223	4.66063	4.52359	5.4999	4.79223
1700021C14Rik	1.44768	1.2232	1.24406	0.992561	1.44768	1.2232	1.24406	0.992561
1700021F05Rik	9.79237	15.1709	12.4076	9.01716	9.79237	15.1709	12.4076	9.01716
1700021F07Rik	0	0	0	0	0	0	0	0
1700021K19Rik	5.09181	5.37865	6.6217	5.05473	5.09181	5.37865	6.6217	5.05473
1700021N21Rik	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0	0	0
1700022H16Rik	0	0	0	0	0	0	0	0
1700022I11Rik	0.210101	0.0757431	0.168514	0.23048	0.210101	0.0757431	0.168514	0.23048
1700022P22Rik	0	0.303774	0.772387	0.246496	0	0.303774	0.772387	0.246496
1700023A16Rik	0	0	0	0	0	0	0	0
1700023C21Rik	0	0	0	0	0	0	0	0
1700023E05Rik	0	0.0441	0.0560651	0.0357847	0	0.0441	0.0560651	0.0357847
1700023F02Rik	0	0	0	0	0	0	0	0
1700023F06Rik	0	0	0	0	0	0	0	0
1700023L04Rik	0	0	0	0.240459	0	0	0	0.240459
1700024B18Rik	0	0	0	0	0	0	0	0
1700024F13Rik	0	0.14471	0.183972	0.117424	0	0.14471	0.183972	0.117424
1700024G13Rik	0	0	0	0	0	0	0	0
1700024P03Rik	0	0.259069	0	0.140147	0	0.259069	0	0.140147
1700024P04Rik	0	0	0	0	0	0	0	0
1700024P16Rik	3.19768	10.5571	6.10328	4.26479	3.19768	10.5571	6.10328	4.26479
1700025B11Rik	0	0	0	0.15745	0	0	0	0.15745
1700025C18Rik	0	0	0	0	0	0	0	0
1700025E21Rik	0.0435495	0	0	0	0.0435495	0	0	0
1700025F22Rik	0	0	0	0	0	0	0	0
1700025F24Rik	0	0	0	0	0	0	0	0
1700025G04Rik	2.53416	3.22359	2.61683	2.13451	2.53416	3.22359	2.61683	2.13451
1700025K23Rik	0.567088	0.127775	0	0.103682	0.567088	0.127775	0	0.103682
1700025K24Rik	0	0	0	0	0	0	0	0
1700025M24Rik	0	0	0	0.147557	0	0	0	0.147557
1700025N23Rik	0.284259	0	0.244278	0.701619	0.284259	0	0.244278	0.701619
1700026D08Rik	0	0	0	0	0	0	0	0
1700026D11Rik	0.0771886	0	0	0	0.0771886	0	0	0
1700026F02Rik	0	0	0	0	0	0	0	0
1700026J04Rik	0.202807	0	0.0387294	0.123599	0.202807	0	0.0387294	0.123599
1700026L06Rik	0.106578	0	1.09906	0.116916	0.106578	0	1.09906	0.116916
1700027A15Rik	0	0	0	0	0	0	0	0
1700027A23Rik	0.131858	0	0.113312	0.072324	0.131858	0	0.113312	0.072324
1700027D21Rik	0	0.118694	0.0754489	0.385254	0	0.118694	0.0754489	0.385254
1700027F09Rik	1.32613	0.5976	1.06364	2.32761	1.32613	0.5976	1.06364	2.32761
1700027H10Rik	0	0	0	0	0	0	0	0
1700027I24Rik	0	0	0	0	0	0	0	0
1700027J07Rik	0	0	0	0.0634879	0	0	0	0.0634879
1700028B04Rik	0	0	0	0	0	0	0	0
1700028D13Rik	0	0	0	0	0	0	0	0
1700028E10Rik	0.385706	0.0716439	0.136628	0.100342	0.385706	0.0716439	0.136628	0.100342
1700028I16Rik	0	0	0	0.0637876	0	0	0	0.0637876
1700028J19Rik	0.251804	0.476581	0.778996	0.276228	0.251804	0.476581	0.778996	0.276228
1700028K03Rik	0.0341279	0.32295	0.175957	0.131027	0.0341279	0.32295	0.175957	0.131027
1700028M03Rik	0	0	0	0	0	0	0	0
1700028P14Rik	0	0	0	0.0819783	0	0	0	0.0819783
1700028P15Rik	0	0	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0	0	0
1700029F09Rik	2.37873	1.13499	1.04212	1.73964	2.37873	1.13499	1.04212	1.73964
1700029F12Rik	0	0	0	0	0	0	0	0
1700029G01Rik	2.23125	7.1591	4.45872	3.33611	2.23125	7.1591	4.45872	3.33611
1700029H14Rik	0.0443679	0	0.305052	0	0.0443679	0	0.305052	0
1700029I01Rik	1.04559	1.03939	0.855029	0.768996	1.04559	1.03939	0.855029	0.768996
1700029I15Rik	2.53102	3.4217	3.26255	3.12359	2.53102	3.4217	3.26255	3.12359
1700029J03Rik	0	0	0	0	0	0	0	0
