peak	chr	chromStart	chromEnd	Name	Start_b	End_b	gene	Strand	Distance	CV_amplitude	CV_phase	CV_mean	CV_pvalue	CV_qvalue	CV_fdr_BH	GF_amplitude	GF_phase	GF_mean	GF_pvalue	GF_qvalue	GF_fdr_BH
chr1_16687399_16689747	chr1	16687399	16689747	39	16686456	16688456	Ly96	+	0	17.41457016	11.73639819	78.90201221	0.005115841	0.000903842	0.048486591	33.11301541	1.225111384	80.14230097	0.740025748	0.54144548	0.894427172
chr1_20819361_20820264	chr1	20819361	20820264	40	20820213	20822213	Mcm3	-	0	6.153758138	12.47727717	26.55899102	0.121836394	0.00370693	0.198858175	5.588540911	3.426347347	21.24325604	0.877821446	0.54144548	0.894427172
chr1_21077956_21080251	chr1	21077956	21080251	44	21079225	21081225	Tram2	-	0	9.457224461	8.664521214	52.38110751	0.559231768	0.010921262	0.585870839	24.94432159	1.257929901	70.68135869	0.744333047	0.54144548	0.894427172
chr1_21216809_21220601	chr1	21216809	21220601	45	21216631	21218631	Tmem14a	+	0	19.73420297	10.74736323	98.26400556	0.23023425	0.005448632	0.29229172	34.31776401	2.483346717	122.75813	0.845191605	0.54144548	0.894427172
chr1_21228759_21230937	chr1	21228759	21230937	46	21238589	21240589	Gsta3	+	7653	21.39476829	12.75280771	61.5228692	0.014913151	0.001458741	0.078254133	23.13588545	2.217917861	73.44998697	0.830772322	0.54144548	0.894427172
chr1_21344192_21345819	chr1	21344192	21345819	48	21347677	21349677	Khdc1a	+	1859	3.546225395	0.21535664	37.87508966	0.355790556	0.007483151	0.401433463	11.34947305	3.087248123	37.6159161	0.421901902	0.54144548	0.894427172
chr1_23919965_23923044	chr1	23919965	23923044	51	23922289	23924289	Smap1	-	0	23.66825619	11.81904475	113.6597527	0.10963031	0.003506049	0.188081914	38.36340277	1.69381058	126.8541817	0.791812741	0.54144548	0.894427172
chr1_24004180_24006281	chr1	24004180	24006281	52	24005640	24007640	1110058L19Rik	-	0	21.39825992	10.24163935	60.96903326	0.00624358	0.000985624	0.052873773	18.37886556	1.858228325	67.77872136	0.805809345	0.54144548	0.894427172
chr1_24095942_24103381	chr1	24095942	24103381	53	24100341	24102341	Fam135a	-	0	54.2953664	11.90360946	223.0248189	0.036435706	0.002151614	0.11542328	104.775717	1.259058562	280.4244836	0.744479116	0.54144548	0.894427172
chr1_24677650_24680682	chr1	24677650	24680682	57	24676544	24678544	Lmbrd1	+	0	24.65364575	9.633440555	102.4564513	0.076939848	0.002955434	0.158544184	54.69689057	1.796563829	144.9201358	0.800773502	0.54144548	0.894427172
chr1_26686689_26688340	chr1	26686689	26688340	62	26687460	26689460	4931408C20Rik	-	0	9.261762065	6.12268627	73.26903733	0.023349903	0.001776157	0.095281926	9.397193114	13.43173977	71.13674963	0.44780704	0.54144548	0.894427172
chr1_30872165_30874653	chr1	30872165	30874653	65	30863256	30865256	Phf3	-	6910	27.77592703	9.897690771	92.10208466	0.017825398	0.001578627	0.084685414	34.76688058	1.61738132	96.05199936	0.784652713	0.54144548	0.894427172
chr1_30947038_30952217	chr1	30947038	30952217	66	30949710	30951710	Gm13363	-	0	91.58071801	11.06038232	294.4074375	0.05749381	0.002614582	0.140259219	74.57319676	3.573055965	283.4573051	0.880993335	0.54144548	0.894427172
chr1_33669130_33670951	chr1	33669130	33670951	73	33667824	33669824	1700001G17Rik	+	0	6.321770709	12.78011852	34.55170705	0.345795345	0.007322602	0.392820813	20.02516465	0.90544039	43.31896641	0.691335151	0.54144548	0.894427172
chr1_33813249_33814945	chr1	33813249	33814945	74	33814427	33816427	Zfp451	-	0	15.01131134	11.31486075	46.96595776	0.009319429	0.001162526	0.062363696	16.73018775	2.163241846	61.10881988	0.827415282	0.54144548	0.894427172
chr1_34432666_34435505	chr1	34432666	34435505	76	34433199	34435199	Mir5103	-	0	11.68606079	10.11717285	53.11024939	0.001805142	0.000574843	0.030837466	19.99119526	1.365502741	57.72603572	0.757663025	0.54144548	0.894427172
chr1_34438758_34440672	chr1	34438758	34440672	77	34437829	34439829	Imp4	+	0	18.43693472	11.9983409	59.94314474	0.072428275	0.002874334	0.154193589	27.5065761	1.543453007	60.0830108	0.777294657	0.54144548	0.894427172
chr1_34459035_34461015	chr1	34459035	34461015	78	34457746	34459746	Ptpn18	+	0	18.98324967	10.92706134	72.88099228	0.026952712	0.00189181	0.101486088	13.52977409	2.695685165	58.63841374	0.854775333	0.54144548	0.894427172
chr1_34840256_34844189	chr1	34840256	34844189	80	34843050	34845050	Fam168b	-	0	38.76361188	9.842289137	134.4929419	0.033657591	0.00208036	0.111600855	48.24856515	1.851554088	150.0041838	0.805276109	0.54144548	0.894427172
chr1_34848077_34854107	chr1	34848077	34854107	81	34847959	34849959	Plekhb2	+	0	61.60192449	10.69292442	229.3883757	0.091616907	0.003206473	0.172011158	87.96866155	1.871895881	266.2628458	0.806892552	0.54144548	0.894427172
chr1_36067626_36072329	chr1	36067626	36072329	83	36066400	36068400	Hs6st1	+	0	28.49225238	9.859305216	162.4063421	0.154775119	0.004236228	0.227252377	44.22731493	1.627045849	155.0669879	0.785582588	0.54144548	0.894427172
chr1_36240097_36245054	chr1	36240097	36245054	86	36244302	36246302	Uggt1	-	0	37.20220913	10.66020516	129.6853281	0.044605406	0.002352528	0.126201321	35.07157744	1.312543521	150.406294	0.751247721	0.54144548	0.894427172
chr1_36269676_36277263	chr1	36269676	36277263	87	36273425	36275425	Neurl3	-	0	83.29441259	10.748774	316.3468483	0.067620084	0.002788069	0.149565902	103.6936792	2.844334872	337.6847031	0.860605187	0.54144548	0.894427172
chr1_36307403_36308736	chr1	36307403	36308736	88	36305733	36307733	Arid5a	+	0	9.670650715	10.13881498	37.24911661	0.111262951	0.003534499	0.18960811	10.80337595	2.339412673	41.07224487	0.837740884	0.54144548	0.894427172
chr1_36367034_36369773	chr1	36367034	36369773	89	36369181	36371181	4632411B12Rik	-	0	27.41187727	9.003422532	104.4612459	0.188336509	0.004763225	0.255523123	37.63195245	1.090097813	100.9021562	0.721023734	0.54144548	0.894427172
chr1_36444390_36445332	chr1	36444390	36445332	90	36445239	36447239	Lman2l	-	0	8.216924172	11.74180187	26.87652029	0.008218097	0.001112745	0.059693176	11.18880191	1.73519901	28.00810158	0.795510754	0.54144548	0.894427172
chr1_36470724_36478654	chr1	36470724	36478654	91	36469597	36471597	Cnnm4	+	0	120.5148048	12.31547116	448.9661785	0.065313745	0.002749749	0.147510238	143.8740786	1.660780128	461.4652791	0.788772253	0.54144548	0.894427172
chr1_36510920_36513981	chr1	36510920	36513981	93	36509876	36511876	Cnnm3	+	0	10.34431503	13.4156081	54.40205988	0.227217308	0.0054008	0.289725786	18.06995867	0.882533317	61.09358604	0.687324188	0.54144548	0.894427172
chr1_36546335_36547278	chr1	36546335	36547278	94	36547201	36549201	Ankrd39	-	0	8.751823761	12.89871262	25.20578938	0.179424072	0.004623478	0.248026394	12.59790437	3.228281131	28.36386491	0.431701901	0.54144548	0.894427172
chr1_36556240_36558870	chr1	36556240	36558870	95	36558381	36560381	Sema4c	-	0	10.96591103	9.718659678	42.92418624	0.067465237	0.002786231	0.149467319	22.23861875	2.599073477	53.23582126	0.364016736	0.54144548	0.894427172
chr1_36690865_36692962	chr1	36690865	36692962	96	36689487	36691487	Cox5b	+	0	22.1202349	9.748197752	91.74514139	0.101305687	0.003369539	0.180758844	25.91702567	1.956251787	84.37080476	0.813325181	0.54144548	0.894427172
chr1_36707533_36711278	chr1	36707533	36711278	97	36709925	36711925	Actr1b	-	0	8.365139634	11.41384519	81.41560009	0.218561614	0.005256585	0.281989408	35.588338	1.031398898	99.91053415	0.712075492	0.54144548	0.894427172
chr1_36935618_36942807	chr1	36935618	36942807	100	36939527	36941527	Tmem131	-	0	56.79604649	10.88884699	247.4436865	0.158839857	0.004296012	0.230459448	106.8711414	1.69776767	313.0886785	0.792171624	0.54144548	0.894427172
chr1_37298442_37302649	chr1	37298442	37302649	104	37297893	37299893	Inpp4a	+	0	23.29054419	10.84022561	103.1202287	0.139920548	0.004002262	0.214701235	50.1943696	1.091487756	134.6717616	0.721230381	0.54144548	0.894427172
chr1_37428856_37431961	chr1	37428856	37431961	105	37428172	37430172	Unc50	+	0	33.12287658	12.79378919	122.8871213	0.13568625	0.003935229	0.211105275	49.9448524	1.696705625	138.4561978	0.792075415	0.54144548	0.894427172
chr1_37499599_37501970	chr1	37499599	37501970	106	37488605	37490605	4930594C11Rik	-	8995	24.53286293	14.55582901	93.76216569	0.017386823	0.001562097	0.083798638	37.92363774	0.788508942	93.40814282	0.670036914	0.54144548	0.894427172
chr1_37539141_37541550	chr1	37539141	37541550	110	37536259	37538259	Mgat4a	-	883	38.88671274	12.59394735	111.4315401	0.005520592	0.000938373	0.050339	37.33182013	1.502254164	120.0144578	0.772999091	0.54144548	0.894427172
chr1_37718521_37720644	chr1	37718521	37720644	116	37719811	37721811	2010300C02Rik	-	0	11.62841089	12.55676634	38.71280821	0.293627206	0.006479346	0.347584382	21.1895545	3.45648514	49.61034031	0.453198863	0.54144548	0.894427172
chr1_37865160_37866516	chr1	37865160	37866516	117	37865079	37867079	Tsga10	-	0	16.68728587	14.71932509	40.11674876	0.014750596	0.001453295	0.077961985	12.22147661	2.889698972	41.37634447	0.862253811	0.54144548	0.894427172
chr1_37871500_37873558	chr1	37871500	37873558	118	37870206	37872206	Lipt1	+	0	13.67286451	12.93253096	47.16715111	0.044108392	0.002340953	0.125580396	21.18939099	3.377756954	57.3110262	0.441988975	0.54144548	0.894427172
chr1_37888913_37891994	chr1	37888913	37891994	119	37888553	37890553	Mrpl30	+	0	23.11271233	13.92795027	93.52499246	0.194412763	0.004859213	0.260672349	36.22128105	1.093091336	110.7394147	0.721468495	0.54144548	0.894427172
chr1_37995666_37999790	chr1	37995666	37999790	120	37996010	37998010	Eif5b	+	0	49.89020613	10.68511283	173.608145	0.102697868	0.003394055	0.182074003	72.93393811	1.371753142	190.247154	0.758401964	0.54144548	0.894427172
chr1_38127287_38130746	chr1	38127287	38130746	121	38129662	38131662	Rev1	-	0	12.91362058	11.6685224	67.01721781	0.171287302	0.004497793	0.241284019	22.7414156	2.061381467	92.31579004	0.82076655	0.54144548	0.894427172
chr1_38982243_38989552	chr1	38982243	38989552	122	38985814	38987814	Pdcl3	+	0	36.48614295	12.86394142	197.4484885	0.078584575	0.002974512	0.159567633	101.8861788	1.055167772	253.8677918	0.715751519	0.54144548	0.894427172
chr1_39192791_39195510	chr1	39192791	39195510	125	39192272	39194272	Npas2	+	0	22.82276429	5.082058595	99.32199217	0.160439076	0.004320085	0.231750861	78.21847239	3.077634584	130.6040466	0.420390881	0.54144548	0.894427172
chr1_39367072_39369848	chr1	39367072	39369848	132	39365851	39367851	Rpl31	+	0	20.94329286	9.170983222	110.6928735	0.321272617	0.006927939	0.371649153	30.16876061	2.340683379	105.6841547	0.837810356	0.54144548	0.894427172
chr1_39476526_39479484	chr1	39476526	39479484	134	39478747	39480747	Tbc1d8	-	0	9.940231595	9.873466139	55.28180815	0.084544054	0.003084427	0.165464031	33.11637563	0.901315495	78.88804015	0.690618523	0.54144548	0.894427172
chr1_39534988_39537164	chr1	39534988	39537164	135	39533802	39535802	D1Bwg0212e	+	0	12.95349281	10.90706641	60.50211679	0.080955769	0.003019826	0.161998503	34.33840739	3.125070287	64.01776335	0.427804285	0.54144548	0.894427172
chr1_39575540_39577882	chr1	39575540	39577882	136	39577347	39579347	Rnf149	-	0	15.22488151	9.402409059	71.96133666	0.253396842	0.00582722	0.312601084	19.65126332	1.702733256	65.1734623	0.792620363	0.54144548	0.894427172
chr1_39899974_39902816	chr1	39899974	39902816	137	39898913	39900913	Map4k4	+	0	19.81777325	9.256810869	89.23614258	0.011091586	0.001264033	0.067809014	39.48265304	1.393813681	98.77595667	0.760980008	0.54144548	0.894427172
chr1_40679920_40685203	chr1	40679920	40685203	141	40679712	40681712	Slc9a2	+	0	28.699496	10.80630595	180.2175183	0.317999952	0.00687237	0.368668123	74.54448538	1.041533396	205.2976995	0.713651745	0.54144548	0.894427172
chr1_40789208_40791512	chr1	40789208	40791512	146	40790657	40792657	Mfsd9	-	0	19.33037958	12.81194506	82.99863872	0.071378325	0.002857486	0.153289768	35.03559202	1.410388819	99.23875054	0.762886644	0.54144548	0.894427172
chr1_42850500_42852899	chr1	42850500	42852899	148	42849233	42851233	Mrps9	+	0	9.111643181	12.62775096	59.31627626	0.255545941	0.005866152	0.314689614	24.33042873	1.072959443	66.09341318	0.71845603	0.54144548	0.894427172
chr1_43097345_43100177	chr1	43097345	43100177	151	43096710	43098710	AI597479	+	0	48.76211407	12.1764342	153.8103998	0.045825128	0.002373808	0.127342889	54.82714797	2.805791716	172.9642021	0.859157757	0.54144548	0.894427172
chr1_43162375_43164764	chr1	43162375	43164764	154	43163961	43165961	Fhl2	-	0	29.35697551	12.42738251	114.9491432	0.086467417	0.003115967	0.167155983	45.46479756	1.742035236	148.0007917	0.796109872	0.54144548	0.894427172
chr1_43443990_43448624	chr1	43443990	43448624	162	43443751	43445751	Nck2	+	0	63.13337945	11.69258766	245.7040632	0.10403829	0.00341593	0.183247472	59.48397994	1.714117207	202.2093295	0.793642421	0.54144548	0.894427172
chr1_43826708_43828703	chr1	43826708	43828703	167	43827708	43829708	Uxs1	-	0	14.48526688	11.67830226	54.65805463	0.070887103	0.002847739	0.152766921	22.59198729	1.502172954	64.29146538	0.772990481	0.54144548	0.894427172
chr1_43932568_43936355	chr1	43932568	43936355	168	43932007	43934007	Tpp2	+	0	42.18890057	11.08453629	165.5214762	0.044773717	0.002354902	0.126328668	51.5520119	2.622632156	181.1454872	0.851654128	0.54144548	0.894427172
chr1_44100660_44103059	chr1	44100660	44103059	170	44102388	44104388	1700029F09Rik	-	0	12.70520525	10.28948405	53.61577022	0.21836049	0.005253207	0.281808176	24.31475154	1.301859182	64.91398175	0.749919298	0.54144548	0.894427172
chr1_44118017_44120560	chr1	44118017	44120560	171	44117968	44119968	Bivm	+	0	7.076401651	8.882387827	55.33392839	0.151307616	0.004177543	0.22410418	19.24372134	1.857380775	75.9136704	0.805741787	0.54144548	0.894427172
chr1_44146964_44149013	chr1	44146964	44149013	172	44145744	44147744	Ercc5	+	0	6.187517987	4.824512674	41.46604706	0.313638035	0.006797499	0.364651687	25.92230896	3.425032787	56.35387356	0.448755477	0.54144548	0.894427172
chr1_45794657_45796610	chr1	45794657	45796610	174	45793501	45795501	Wdr75	+	0	14.71423222	10.53857036	54.18564046	0.048904363	0.002432928	0.130514393	20.49467752	1.343041924	62.1527463	0.754976193	0.54144548	0.894427172
chr1_45924994_45926509	chr1	45924994	45926509	177	45925594	45927594	Slc40a1	-	0	6.692966818	13.22513563	47.53611093	0.188273746	0.004763112	0.255517033	15.20700016	2.829005522	43.5591255	0.391885696	0.54144548	0.894427172
chr1_46851951_46854883	chr1	46851951	46854883	178	46853509	46855509	Slc39a10	-	0	12.40087221	10.88535983	83.76474898	0.322941568	0.006955111	0.373106749	35.47349921	1.041426547	103.7926747	0.713635196	0.54144548	0.894427172
chr1_51477115_51479727	chr1	51477115	51479727	181	51478399	51480399	Obfc2a	-	0	28.16589866	11.03526321	114.6990104	0.009160686	0.001157954	0.062118402	48.08012601	0.96676832	119.9280118	0.701704836	0.54144548	0.894427172
chr1_51915097_51915838	chr1	51915097	51915838	184	51915974	51917974	Myo1b	-	137	4.269688857	16.22741331	25.22597142	0.034434141	0.002100319	0.112671559	6.292462246	1.482750275	26.51877303	0.770914893	0.54144548	0.894427172
chr1_52118531_52121329	chr1	52118531	52121329	185	52117438	52119438	Stat1	+	0	23.36897337	11.89056931	90.03486144	0.16491795	0.004394681	0.235752557	27.90183908	1.799534147	100.6909897	0.801021771	0.54144548	0.894427172
chr1_52227354_52234703	chr1	52227354	52234703	186	52233232	52235232	Gls	-	0	45.1223231	11.17325251	196.4156278	0.042593775	0.002300593	0.123415281	59.09611267	1.619575637	222.9632921	0.784864475	0.54144548	0.894427172
chr1_52498999_52502577	chr1	52498999	52502577	190	52500448	52502448	Nab1	-	0	23.68505052	8.879355578	119.1271312	0.354164114	0.00745843	0.40010729	38.16456703	1.705285447	126.5925244	0.792850311	0.54144548	0.894427172
chr1_52630632_52631299	chr1	52630632	52631299	191	52628705	52630705	Tmem194b	+	0	5.931483509	11.92306971	21.67425179	0.088970016	0.003158541	0.16943988	7.534458134	2.379171287	16.91460228	0.839882536	0.54144548	0.894427172
chr1_52725904_52728505	chr1	52725904	52728505	194	52727318	52729318	Mfsd6	-	0	19.1028651	9.586518459	104.5006947	0.295654855	0.006510968	0.349280736	48.25240788	3.419073471	110.5194877	0.447908314	0.54144548	0.894427172
chr1_52816729_52818302	chr1	52816729	52818302	197	52817688	52819688	Inpp1	-	0	3.099199072	10.27959262	40.76215851	0.81519451	0.015347935	0.823339632	22.04532207	0.791460847	53.41145995	0.670600423	0.54144548	0.894427172
chr1_52844050_52846501	chr1	52844050	52846501	198	52843046	52845046	Hibch	+	0	7.866059696	7.075438578	61.6282095	0.349354343	0.007380414	0.39592217	22.71212066	1.620395409	71.26869303	0.784943491	0.54144548	0.894427172
chr1_52952154_52953294	chr1	52952154	52953294	199	52952840	52954840	1700019D03Rik	-	0	6.757423341	9.086258745	36.56668953	0.570584551	0.011110478	0.596021366	14.48694447	1.147801708	41.27945631	0.729405588	0.54144548	0.894427172
chr1_53296024_53298302	chr1	53296024	53298302	200	53295095	53297095	Ormdl1	+	0	11.78166731	11.40306765	71.85933659	0.076314611	0.002944043	0.157933097	27.49558598	1.51975815	81.64718175	0.774841679	0.54144548	0.894427172
chr1_53312868_53314873	chr1	53312868	53314873	201	53311663	53313663	Osgepl1	+	0	23.25192578	11.37892169	70.32772963	0.003118914	0.000736424	0.039505439	28.78768691	1.894418623	81.02635652	0.808652197	0.54144548	0.894427172
chr1_53351333_53353068	chr1	53351333	53353068	202	53352699	53354699	Asnsd1	-	0	9.313964812	14.27577124	42.28723789	0.200323069	0.004965916	0.266396444	17.0745976	1.649614548	49.76550831	0.787726081	0.54144548	0.894427172
chr1_53714981_53717511	chr1	53714981	53717511	203	53706784	53708784	Dnahc7a	-	6198	18.61924323	15.31464772	60.35320809	0.038288238	0.002205979	0.118339687	20.48654556	2.031799009	68.00445015	0.818734306	0.54144548	0.894427172
chr1_53779278_53785910	chr1	53779278	53785910	205	53785215	53787215	Stk17b	-	0	70.69475441	13.01461786	236.7795816	0.052911543	0.002527627	0.135594473	74.23836129	2.124635225	242.7697742	0.824957311	0.54144548	0.894427172
chr1_54438087_54439490	chr1	54438087	54439490	212	54438971	54440971	Gtf3c3	-	0	7.951413575	12.60529627	48.5174091	0.361353214	0.00757537	0.406380565	17.76327654	0.993424834	52.63283461	0.706049773	0.54144548	0.894427172
chr1_54556528_54558256	chr1	54556528	54558256	213	54557684	54559684	Pgap1	-	0	11.6708118	11.80449382	43.74693895	0.022896757	0.001762147	0.094530318	14.95496511	1.527128286	48.05380659	0.775609715	0.54144548	0.894427172
chr1_54925275_54927182	chr1	54925275	54927182	216	54926387	54928387	Ankrd44	-	0	14.92345302	10.13004731	58.24917007	0.181298151	0.004655303	0.249733636	15.23645722	1.767796818	50.92777924	0.798338438	0.54144548	0.894427172
chr1_55025139_55032044	chr1	55025139	55032044	217	55027478	55029478	Sf3b1	-	0	75.22035309	12.21421924	265.0376953	0.064992925	0.002741562	0.14707103	83.59213378	1.550622306	273.3292466	0.778027619	0.54144548	0.894427172
chr1_55051703_55054255	chr1	55051703	55054255	218	55050770	55052770	Coq10b	+	0	37.45247576	12.24030923	121.338664	0.065551066	0.002754263	0.147752379	37.40722431	3.664532407	120.4771669	0.882769042	0.54144548	0.894427172
chr1_55084886_55090563	chr1	55084886	55090563	219	55086148	55088148	Hspe1	+	0	86.32150405	12.79783367	270.1386463	0.053619785	0.002542208	0.136376692	44.8311917	3.174869412	197.2053183	0.8713659	0.54144548	0.894427172
chr1_55130304_55133745	chr1	55130304	55133745	220	55129245	55131245	Mob4	+	0	45.06103772	10.8050205	141.7686373	0.046605192	0.002384128	0.127896511	47.73272936	2.754746677	163.2365449	0.857172663	0.54144548	0.894427172
chr1_55236394_55239884	chr1	55236394	55239884	223	55235177	55237177	Mars2	+	0	11.5362056	12.08726832	76.5864839	0.108361878	0.003484417	0.186921481	32.44949353	1.44947592	99.65685763	0.767281965	0.54144548	0.894427172
chr1_56970450_56975028	chr1	56970450	56975028	227	56969469	56971469	9130024F11Rik	+	0	39.36200593	11.22585139	157.4429829	0.084718161	0.003087535	0.165630762	63.11375506	1.481565585	181.6438405	0.770787229	0.54144548	0.894427172
chr1_57376985_57378720	chr1	57376985	57378720	228	57375620	57377620	1700066M21Rik	+	0	10.58262739	9.321050157	51.97294693	0.077837241	0.002962695	0.158933699	15.44313277	3.10161671	62.54351958	0.869219716	0.54144548	0.894427172
chr1_57405400_57408041	chr1	57405400	57408041	229	57404548	57406548	9430016H08Rik	+	0	42.39043091	9.961164045	125.6650715	0.016260269	0.001522705	0.081685501	53.86406327	1.308554995	128.0188463	0.750753177	0.54144548	0.894427172
chr1_57969114_57970427	chr1	57969114	57970427	232	57970084	57972084	Kctd18	-	0	8.311770558	9.883291093	43.39508372	0.436873882	0.008835848	0.473998874	15.05599873	2.175077682	45.43390096	0.296011682	0.54144548	0.894427172
chr1_57995279_57997048	chr1	57995279	57997048	233	57983340	57985340	Sgol2	+	9940	8.015088186	10.30766186	45.8901255	0.450020398	0.009057425	0.485885352	18.17058176	2.812955218	42.48300219	0.389170268	0.54144548	0.894427172
chr1_58391499_58394726	chr1	58391499	58394726	238	58391136	58393136	Bzw1	+	0	45.57539145	10.33087262	206.1788018	0.376500118	0.00782067	0.419539643	76.60979468	1.743215684	207.1857598	0.796212995	0.54144548	0.894427172
chr1_58422358_58424642	chr1	58422358	58424642	239	58424088	58426088	Clk1	-	0	40.93234135	9.477138998	153.9095832	0.092472275	0.003222017	0.172845027	61.52275232	1.201736231	149.580019	0.736885936	0.54144548	0.894427172
