	peak	chr	chromStart	chromEnd	Name	Start_b	End_b	gene	Strand	Distance	CV_amplitude	CV_phase	CV_mean	CV_pvalue	CV_qvalue	CV_fdr_BH	GF_amplitude	GF_phase	GF_mean	GF_pvalue	GF_qvalue	GF_fdr_BH	rAMP
88	chr1_51915097_51915838	chr1	51915097	51915838	184	51915974	51917974	Myo1b	-	137	4.26968885717	16.227413307	25.2259714167	0.0344341414847	0.00210031887121	0.112671559385	6.2924622464	1.48275027499	26.5187730275	0.77091489346	0.541445479813	0.894427172188	0.16925765857101532
98	chr1_53312868_53314873	chr1	53312868	53314873	201	53311663	53313663	Osgepl1	+	0	23.2519257752	11.3789216883	70.327729632	0.00311891391722	0.000736423815811	0.0395054393086	28.7876869097	1.89441862344	81.026356515	0.808652196543	0.541445479813	0.894427172188	0.3306224429093483
103	chr1_54556528_54558256	chr1	54556528	54558256	213	54557684	54559684	Pgap1	-	0	11.670811799	11.8044938194	43.7469389491	0.0228967572965	0.00176214664933	0.0945303180228	14.9549651138	1.52712828589	48.0538065934	0.775609715431	0.541445479813	0.894427172188	0.26678007831768774
108	chr1_55130304_55133745	chr1	55130304	55133745	220	55129245	55131245	Mob4	+	0	45.061037718	10.805020499	141.768637269	0.0466051919878	0.00238412831937	0.127896510953	47.7327293566	2.75474667736	163.236544946	0.857172662515	0.541445479813	0.894427172188	0.3178491278892565
112	chr1_57405400_57408041	chr1	57405400	57408041	229	57404548	57406548	9430016H08Rik	+	0	42.3904309099	9.96116404503	125.665071512	0.0162602686693	0.00152270547287	0.081685501408	53.8640632728	1.30855499513	128.018846281	0.750753177152	0.541445479813	0.894427172188	0.3373286657928019
120	chr1_58652169_58653778	chr1	58652169	58653778	245	58650641	58652641	Gm20257	+	0	23.4992852235	12.6298348921	70.3278202424	0.0461130904606	0.00237877282991	0.12760921584	29.9155572205	1.82684992685	85.846021398	0.803277636247	0.541445479813	0.894427172188	0.3341392516148609
121	chr1_58688571_58694242	chr1	58688571	58694242	247	58695989	58697989	Als2cr12	-	1748	39.774173079	11.0957896635	187.837339349	0.0368147460549	0.00216197450622	0.115979074561	62.2326366307	2.47319751214	223.219686016	0.844692959683	0.541445479813	0.894427172188	0.21174795819003783
131	chr1_59683808_59686821	chr1	59683808	59686821	270	59683006	59685006	Nop58	+	0	20.5945805064	15.1405114558	95.7019992571	0.0320342098329	0.00204130184884	0.109505592525	43.2528110162	1.24570781767	110.010345573	0.74274255433	0.541445479813	0.894427172188	0.21519488272207768
166	chr1_74235570_74242292	chr1	74235570	74242292	342	74234550	74236550	Arpc2	+	0	63.846058545	11.3191449027	235.689232741	0.0189405994142	0.00161910428603	0.0868568136076	92.4307980178	1.47497137353	266.415888001	0.77007437434	0.541445479813	0.894427172188	0.27089085828184917
174	chr1_74586706_74589188	chr1	74586706	74589188	358	74586361	74588361	Bcs1l	+	0	15.9601774984	11.7512859147	58.0667112892	0.0254689383569	0.00184288082414	0.0988613010444	23.9229563552	2.47684052663	75.8280005569	0.844872396378	0.541445479813	0.894427172188	0.27485933237910926
184	chr1_75167246_75169938	chr1	75167246	75169938	376	75166646	75168646	Zfand2b	+	0	13.0481966955	9.00360114464	63.1138417277	0.0440984374734	0.0023409534425	0.125580395638	22.7271958114	1.74120786505	72.0265061697	0.796037536512	0.541445479813	0.894427172188	0.20674065051839943
185	chr1_75179168_75182324	chr1	75179168	75182324	377	75180283	75182283	Abcb6	-	0	17.6936421021	10.2591359601	61.4008680843	0.0185099245257	0.00160372205458	0.0860316341418	26.6715715746	0.787744581248	71.5470791677	0.669890775359	0.541445479813	0.894427172188	0.2881659926665468
188	chr1_75213297_75214650	chr1	75213297	75214650	380	75210778	75212778	Glb1l	-	520	20.2750337488	12.9209005909	52.8394637526	0.0368360970597	0.00216249951324	0.116007238551	18.0661823816	3.54668311411	59.5372527415	0.880453194776	0.541445479813	0.894427172188	0.38371005890085996
191	chr1_75313050_75317751	chr1	75313050	75317751	383	75317637	75319637	Dnpep	-	0	34.7604469028	10.7926531004	130.628136197	0.0492757656494	0.00244126249893	0.130961472752	55.161496384	1.40966427679	154.589513679	0.762803838733	0.541445479813	0.894427172188	0.26610229552979187
195	chr1_78486651_78490377	chr1	78486651	78490377	390	78488846	78490846	Farsb	-	0	35.1757987355	10.62560903	136.332863522	0.0118255295633	0.00130383636791	0.069944273114	46.6882071394	1.53292406481	140.205901756	0.77621047477	0.541445479813	0.894427172188	0.25801408278807036
211	chr1_86045155_86048200	chr1	86045155	86048200	418	86043863	86045863	2810459M11Rik	+	0	26.3776168737	11.2802856219	87.8426208014	0.0245685480095	0.00181362928583	0.0972921029186	49.4768634968	3.21073187378	98.7617582129	0.429049557459	0.541445479813	0.894427172188	0.3002826718175467
220	chr1_87097972_87103771	chr1	87097972	87103771	437	87101606	87103606	Alpi	-	0	38.1736383138	10.8780306448	124.466484669	0.0118934356754	0.0013070612329	0.0701172709253	56.6980623109	1.29957356548	177.815508764	0.749633601237	0.541445479813	0.894427172188	0.3066981317526327
223	chr1_87393019_87398408	chr1	87393019	87398408	444	87394729	87396729	Kcnj13	-	0	19.9681050714	13.4992054024	85.7827600366	0.000534046113038	0.000338403899382	0.0181536696965	43.810455092	3.30175613125	127.79965347	0.442649586321	0.541445479813	0.894427172188	0.23277526933011278
226	chr1_87755006_87757805	chr1	87755006	87757805	448	87754011	87756011	Atg16l1	+	0	24.3085357002	12.7966348888	92.2601235775	0.0132136686289	0.00137858279532	0.0739540435591	38.10407646	1.32197365471	120.528248227	0.752410554423	0.541445479813	0.894427172188	0.26347824778036893
231	chr1_88206118_88207022	chr1	88206118	88207022	458	88205748	88207748	Dnajb3	-	0	8.94554376445	12.6519601079	31.1384061402	0.0133900757337	0.00138639177959	0.0743729563476	11.8787151842	2.68571057605	34.731038797	0.854359506387	0.541445479813	0.894427172188	0.2872832901007484
232	chr1_88211331_88217231	chr1	88211331	88217231	459	88209959	88211959	Ugt1a1	+	0	73.5132253927	12.3480527205	483.128138523	0.0306216416137	0.00199497941596	0.107020626638	73.5595693479	1.16807546952	471.069457484	0.732256640089	0.541445479813	0.894427172188	0.15216092694878355
247	chr1_91412053_91414709	chr1	91412053	91414709	491	91413222	91415222	Hes6	-	0	22.4384577546	10.7669534116	88.5214490062	0.0464071690691	0.00238242170021	0.127804959406	47.9612993413	3.44537369741	93.043625497	0.451634462784	0.541445479813	0.894427172188	0.25348046158878873
252	chr1_92640339_92642322	chr1	92640339	92642322	504	92641985	92643985	Myeov2	-	0	19.2269642972	10.2152635122	55.6839806925	0.00139828677653	0.000509477857653	0.0273309284035	24.201939871	1.24760719449	65.3098592998	0.742990778225	0.541445479813	0.894427172188	0.34528717340406756
276	chr1_105660760_105665986	chr1	105660760	105665986	552	105661861	105663861	2310035C23Rik	+	0	38.6115395033	10.6792108235	156.692293381	0.0362300176433	0.00214540824846	0.11509037803	59.0634673907	1.62390249067	187.734368987	0.785280942502	0.541445479813	0.894427172188	0.2464163276327533
277	chr1_105779688_105784135	chr1	105779688	105784135	556	105778723	105780723	Tnfrsf11a	+	0	41.4102754945	11.4663629886	145.844208999	0.00808110111993	0.00110782844005	0.0594294321603	57.3439144637	0.931809929171	156.107730222	0.695858759162	0.541445479813	0.894427172188	0.28393500008480926
284	chr1_118321050_118323203	chr1	118321050	118323203	576	118319843	118321843	Mki67ip	+	0	17.8824310342	11.1836652216	66.6725559916	0.0184088515288	0.00160251605641	0.0859669383965	31.2135799617	1.03851352387	78.169302207	0.713183441888	0.541445479813	0.894427172188	0.26821277163054896
285	chr1_118387415_118390882	chr1	118387415	118390882	577	118387058	118389058	Clasp1	+	0	38.5655576376	13.2098371536	126.769682737	0.0394888654763	0.00223145970994	0.119706606777	50.1205149075	1.0920780619	131.939736311	0.721318071682	0.541445479813	0.894427172188	0.3042175132488831
287	chr1_118627066_118631444	chr1	118627066	118631444	580	118625945	118627945	Tfcp2l1	+	0	13.7034137925	12.7217592162	87.0510950176	0.0423402584772	0.00229762185454	0.123255873561	36.6971543289	0.951600583323	98.1717118284	0.699189203044	0.541445479813	0.894427172188	0.15741805188928917
288	chr1_119503063_119505891	chr1	119503063	119505891	582	119504782	119506782	Ralb	-	0	25.1434225182	10.6610032915	82.2602423748	0.0184631966091	0.00160251605641	0.0859669383965	33.0617760238	1.77926385999	98.8881815887	0.799315790067	0.541445479813	0.894427172188	0.30565704394158894
298	chr1_121566856_121568459	chr1	121566856	121568459	599	121567980	121569980	Ddx18	-	0	7.5413736261	13.3579339101	35.3752235969	0.00720639282405	0.00105452614698	0.0565700318274	8.5748290816	2.62899298735	37.1977478083	0.851932965662	0.541445479813	0.894427172188	0.21318235927025675
304	chr1_127868407_127870216	chr1	127868407	127870216	634	127866773	127868773	Rab3gap1	+	0	16.8507709484	11.5952538424	52.3556644458	0.000444131973245	0.000309255198155	0.016589988264	20.432213685	1.40975299806	59.9161109325	0.762813981006	0.541445479813	0.894427172188	0.3218519166315686
307	chr1_128326359_128327982	chr1	128326359	128327982	637	128328318	128330318	Lct	-	337	11.9254660732	9.97495145032	36.3279878648	0.000139631160276	0.000200356824378	0.0107481374116	13.3257424078	1.89512878016	49.5827146544	0.808707171168	0.541445479813	0.894427172188	0.32827213325390864
311	chr1_130460685_130465135	chr1	130460685	130465135	642	130462740	130464740	Cd55	-	0	31.2380908278	12.5846180759	112.111655081	0.0331643376765	0.00206865118287	0.110972746944	87.7189722759	0.761059362787	166.806790889	0.664730292696	0.541445479813	0.894427172188	0.2786337495885746
312	chr1_130680991_130683645	chr1	130680991	130683645	645	130681571	130683571	C4bp-ps1	-	0	28.9784045332	13.3745678807	62.5599358206	0.00386891383586	0.000802547530581	0.0430526445248	8.52521087775	1.97176391165	54.2959622276	0.814462194596	0.541445479813	0.894427172188	0.4632102663324323
314	chr1_130731866_130736302	chr1	130731866	130736302	647	130729976	130731976	AA986860	+	0	66.7605229248	13.1565609732	196.560256893	0.00811881660658	0.00110806326856	0.0594420295304	83.9315158669	1.99754101418	228.596453331	0.816321202074	0.541445479813	0.894427172188	0.3396440561285078
324	chr1_131867099_131868301	chr1	131867099	131868301	664	131865277	131867277	Rab7l1	+	0	9.81475689488	12.4533167927	31.9087767571	0.0323116699676	0.00204540695827	0.10972581103	8.7204435908	1.30227101247	38.0809775336	0.749970719135	0.541445479813	0.894427172188	0.3075880021848887
328	chr1_132137559_132140470	chr1	132137559	132140470	673	132139685	132141685	Cdk18	-	0	30.2065583347	10.378601295	112.377873255	0.0182209247649	0.00159497618438	0.0855624621284	44.7598678544	1.26812029191	119.109446652	0.745646958966	0.541445479813	0.894427172188	0.26879453632440076
331	chr1_132476350_132478484	chr1	132476350	132478484	678	132475367	132477367	Rbbp5	+	0	28.6362616055	12.4380158793	94.9724789819	0.026073002467	0.00186367720793	0.0999769225927	37.3516522282	3.02226002772	116.804103179	0.866747459726	0.541445479813	0.894427172188	0.30152168199123813
332	chr1_133023813_133026598	chr1	133023813	133026598	679	133025348	133027348	Mdm4	-	0	21.6661882875	13.1801962967	104.544882356	0.0415186445122	0.00227652147436	0.122123944133	30.251675747	3.62885234783	120.378132185	0.882094240841	0.541445479813	0.894427172188	0.2072429352756026
335	chr1_133253510_133256507	chr1	133253510	133256507	694	133244097	133246097	Plekha6	+	7414	25.6117449837	14.9814135111	69.3453005733	0.0317272634164	0.00203043917312	0.108922864527	31.0615003259	1.05401693608	78.579765757	0.715575201175	0.541445479813	0.894427172188	0.3693364189348007
340	chr1_133608691_133610516	chr1	133608691	133610516	705	133610280	133612280	Snrpe	-	0	23.9047965203	10.389788054	67.78523534	0.0240617599663	0.00179800906225	0.0964541563702	20.8551968431	2.63121781898	75.1794249392	0.852030171541	0.541445479813	0.894427172188	0.35265491667023546
349	chr1_134413965_134417345	chr1	134413965	134417345	723	134413467	134415467	Adipor1	+	0	40.3157100916	10.5627217453	137.329238551	0.0356537395463	0.00213606207585	0.114589002807	50.8832434322	2.09036747908	155.832531895	0.82271269423	0.541445479813	0.894427172188	0.2935697489987025
354	chr1_134962289_134963704	chr1	134962289	134963704	731	134960577	134962577	Ube2t	+	0	13.3960970287	11.3636972663	42.6691699484	0.0337346147092	0.00208077528914	0.111623144357	14.386659758	2.45734695229	44.7499841533	0.843906334586	0.541445479813	0.894427172188	0.31395260430188715
379	chr1_150391617_150394954	chr1	150391617	150394954	782	150390838	150392838	Tpr	+	0	33.7566221935	10.6546721314	126.058398145	0.0223120614796	0.00174263887576	0.0934838239411	59.8838100784	1.01343691195	142.444953742	0.709248983658	0.541445479813	0.894427172188	0.26778558739633584
382	chr1_151344425_151347550	chr1	151344425	151347550	792	151342498	151344498	Ivns1abp	+	0	39.2552567217	12.4207428816	159.693547151	0.0377467682874	0.00219050493712	0.117509588895	56.9361901954	1.89947796124	177.673902277	0.80904317746	0.541445479813	0.894427172188	0.2458161736778366
389	chr1_152900163_152905560	chr1	152900163	152905560	801	152902646	152904646	Smg7	-	0	73.8926480899	9.88719119066	231.050689898	0.0435226015586	0.00232436881958	0.124690713908	103.846001381	1.52310876025	275.94389504	0.77519141243	0.541445479813	0.894427172188	0.31981141507312
391	chr1_153484763_153488630	chr1	153484763	153488630	803	153487660	153489660	Dhx9	-	0	31.9591106581	12.0269775947	112.713584428	0.0114439355538	0.00128188217917	0.0687665411447	35.1029283116	1.66040940513	118.000487447	0.788737668023	0.541445479813	0.894427172188	0.28354266985906273
395	chr1_155158623_155159821	chr1	155158623	155159821	814	155156703	155158703	Stx6	+	0	16.2521176792	9.26009662007	45.180875225	0.000742848105684	0.000383007540125	0.0205464310175	22.6161884638	0.712428348379	54.0199854956	0.655027406475	0.541445479813	0.894427172188	0.3597123251434313
397	chr1_155557820_155559187	chr1	155557820	155559187	817	155556120	155558120	Acbd6	+	0	13.9129665639	10.0826942931	37.58425555	4.42874996009e-06	3.39004548276e-05	0.00181858914931	17.8395579218	3.24242939214	44.0042854599	0.433829743043	0.541445479813	0.894427172188	0.3701807142459151
406	chr1_157411018_157412694	chr1	157411018	157412694	839	157410352	157412352	2810025M15Rik	+	0	15.969519194	12.6306011887	41.375350776	0.0324942178454	0.00205202359744	0.110080760491	15.881553688	1.25770142859	48.2825270443	0.744303462072	0.541445479813	0.894427172188	0.38596698020656317
413	chr1_161032972_161038377	chr1	161032972	161038377	850	161033166	161035166	Gas5	+	0	63.5860410087	11.3861164756	234.197721661	0.022117030342	0.00173638902865	0.0931485510311	90.4568695044	1.18996924554	244.188457363	0.735282272809	0.541445479813	0.894427172188	0.2715058052560412
414	chr1_161069637_161072940	chr1	161069637	161072940	851	161068892	161070892	Cenpl	+	0	41.7592384397	12.8216805804	121.759353299	0.0118402797961	0.00130383636791	0.069944273114	55.6322285393	0.889028266652	139.948924298	0.688469206063	0.541445479813	0.894427172188	0.3429653435917433
415	chr1_161074831_161076387	chr1	161074831	161076387	852	161070632	161072632	Dars2	-	2200	16.541222694	13.9918679042	52.3612239885	0.0113438847781	0.00127714272651	0.068512293312	19.2977124054	1.57190107089	53.5476437357	0.780178210635	0.541445479813	0.894427172188	0.3159059592960034
417	chr1_161249562_161251851	chr1	161249562	161251851	854	161251166	161253166	Prdx6	-	0	21.2340329788	11.646055506	99.1919786329	0.00735457372342	0.00106321638649	0.0570362195336	25.3692211583	2.65876253177	90.1428789799	0.853219875072	0.541445479813	0.894427172188	0.2140700616265063
430	chr1_164249065_164252214	chr1	164249065	164252214	877	164247055	164249055	Slc19a2	+	11	20.0160440735	13.6450682576	66.5197138359	0.0331012131942	0.00206807060639	0.110941601931	28.3769576691	0.948257682651	79.7711820212	0.698630488237	0.541445479813	0.894427172188	0.3009039413921463
433	chr1_164454788_164460993	chr1	164454788	164460993	884	164458355	164460355	Atp1b1	-	0	142.532728113	11.2372798088	476.413234445	0.0396541105452	0.00223302787762	0.119790731098	109.119679731	2.67925784648	397.35694619	0.854088783427	0.541445479813	0.894427172188	0.29917877549947625
435	chr1_165235162_165238257	chr1	165235162	165238257	897	165236958	165238958	Tiprl	-	0	27.717050963	10.5215750172	92.0015677441	0.0453407655078	0.00236463067929	0.126850560482	36.8178015885	1.88424683876	116.228780944	0.807861381859	0.541445479813	0.894427172188	0.3012671592737883
436	chr1_165459003_165464017	chr1	165459003	165464017	898	165459208	165461208	Brp44	+	0	61.6200110858	10.7933536587	207.785158209	0.01649684109	0.00152956316377	0.0820533820846	76.6726281625	1.46786552742	222.843458283	0.769301917509	0.541445479813	0.894427172188	0.29655636435697547
448	chr1_168426216_168433344	chr1	168426216	168433344	920	168432258	168434258	Pbx1	-	0	70.931870072	13.532515957	243.593434016	0.0181157992249	0.00159055308995	0.0853251853253	72.763959928	1.5882157966	247.806675354	0.781802230194	0.541445479813	0.894427172188	0.29118958135522227
450	chr1_169967469_169970535	chr1	169967469	169970535	923	169967409	169969409	3110045C21Rik	+	0	28.6658231959	12.8027822869	83.9514403351	0.011844376563	0.00130383636791	0.069944273114	41.0701774316	1.22518735807	109.181349823	0.740035854827	0.541445479813	0.894427172188	0.3414571933665187
455	chr1_170866622_170869173	chr1	170866622	170869173	935	170867771	170869771	Atf6	-	0	25.5714654476	11.0212386754	92.5439327565	0.0108941073104	0.00125394661116	0.0672679382171	38.4144492705	1.50381323289	109.531781884	0.773164272991	0.541445479813	0.894427172188	0.27631703868565
456	chr1_170882734_170887032	chr1	170882734	170887032	936	170885540	170887540	Dusp12	-	0	32.7915175831	13.3372154358	105.688131604	0.00601701428164	0.00097106977662	0.0520930166856	48.7142640526	1.81978658805	141.594580232	0.802698998199	0.541445479813	0.894427172188	0.3102667923581585
457	chr1_170981778_170982761	chr1	170981778	170982761	937	170976071	170978071	Fcgr2b	-	3708	6.73363102228	12.5261239383	27.5012407062	0.0349220307007	0.0021152159212	0.113470711302	7.63467299259	2.75879619457	36.0921297404	0.857333040223	0.541445479813	0.894427172188	0.24484826318261127
479	chr1_172481144_172484987	chr1	172481144	172484987	967	172480213	172482213	Igsf9	+	0	20.8555714724	11.2328534819	99.5007921192	0.036169986469	0.00214540824846	0.11509037803	53.2404618341	1.01900064597	147.003510394	0.710129010852	0.541445479813	0.894427172188	0.2096020647495493
485	chr1_175624245_175626607	chr1	175624245	175626607	974	175625635	175627635	Fh1	-	0	13.4357564501	10.5985992138	67.2289179634	0.00951983683782	0.00116848203272	0.0626831927972	17.8727703102	2.52206478209	80.6527949776	0.847058376215	0.541445479813	0.894427172188	0.1998508507516742
490	chr1_177724800_177730013	chr1	177724800	177730013	985	177727814	177729814	1700016C15Rik	+	0	17.8517682848	12.1893825652	71.6744840292	0.00109503252576	0.000460478157764	0.0247023405869	40.0319721729	1.04263252805	119.615850771	0.713821900972	0.541445479813	0.894427172188	0.24906727305532098
507	chr1_180810177_180815415	chr1	180810177	180815415	1020	180813603	180815603	H3f3a	-	0	62.2068725112	12.7126828705	208.454177863	0.0288918552201	0.00194996676572	0.104605924012	65.6498734984	1.31222635124	211.897729767	0.751208454045	0.541445479813	0.894427172188	0.29841988848064016
509	chr1_180903693_180905916	chr1	180903693	180905916	1022	180902274	180904274	Pycr2	+	0	13.751972456	15.1665152866	47.0784637717	0.0477265602443	0.00240964179112	0.129265180581	20.5869813417	0.824217544592	48.9782695197	0.676761773971	0.541445479813	0.894427172188	0.2921075021200382
528	chr1_184841326_184847206	chr1	184841326	184847206	1060	184845847	184847847	Mosc2	-	0	46.9842076509	12.4206541031	168.080104808	0.0270101683381	0.00189424114297	0.101616524212	58.2310552083	1.6540070804	209.990903776	0.788138764857	0.541445479813	0.894427172188	0.27953461657208417
534	chr1_185332212_185333013	chr1	185332212	185333013	1069	185330159	185332159	Bpnt1	+	54	14.0090821248	13.0763622795	36.2655732037	0.0126931109781	0.00135322187063	0.0725935573152	16.2364829675	0.874591695715	39.4861571981	0.685915701877	0.541445479813	0.894427172188	0.38629148493289833
565	chr1_193297606_193302998	chr1	193297606	193302998	1126	193299994	193301994	Lamb3	+	0	28.9099892047	10.580427728	108.161251573	0.00691569434571	0.00103228647762	0.0553769852567	55.6762800288	1.2917819854	162.420154219	0.748655625709	0.541445479813	0.894427172188	0.2672860084758553
573	chr10_4430953_4434096	chr10	4430953	4434096	1145	4430605	4432605	1700052N19Rik	+	0	26.4066987115	12.7332240521	109.486641821	0.00204909766156	0.000613397253652	0.0329056821031	35.5096449346	1.29936324431	108.106465842	0.749607284568	0.541445479813	0.894427172188	0.24118648880173327
582	chr10_7831079_7835283	chr10	7831079	7835283	1159	7830470	7832470	Zc3h12d	+	0	23.7927845809	10.7714982871	122.665159484	0.026520947478	0.00187943616423	0.100822311455	36.8676684131	1.08227515822	135.630051209	0.719856257652	0.541445479813	0.894427172188	0.193965300994888
591	chr10_12861514_12863169	chr10	12861514	12863169	1179	12861735	12863735	Utrn	-	0	8.72955721158	14.5055724022	26.8839784894	0.00654687505962	0.00100501255518	0.0539138762905	9.1434360851	2.47551272901	36.3388220387	0.844807054181	0.541445479813	0.894427172188	0.3247122525046637
608	chr10_18843355_18847977	chr10	18843355	18847977	1222	18843071	18845071	Perp	+	0	74.5151339721	12.2959696951	236.578448197	0.0299300066744	0.00197948519103	0.106189439284	76.4100385359	2.05088147799	225.131437676	0.820050610318	0.541445479813	0.894427172188	0.31497008514508007
610	chr10_19591780_19596017	chr10	19591780	19596017	1238	19589958	19591958	Ifngr1	+	0	79.3588569491	12.2790609411	284.504902944	0.0469824539299	0.00239460223284	0.128458383809	102.822344594	2.0638051961	313.093561001	0.820930976928	0.541445479813	0.894427172188	0.2789366936313237
612	chr10_19933088_19935896	chr10	19933088	19935896	1240	19932526	19934526	Map3k5	+	0	30.519737878	10.2707500765	95.1822493422	0.0446279742855	0.00235273436279	0.126212382847	34.7182246341	0.761453307443	88.5749611924	0.664807308298	0.541445479813	0.894427172188	0.32064526830286594
618	chr10_21295236_21297888	chr10	21295236	21297888	1253	21293979	21295979	Hbs1l	+	0	27.680386569	12.459436676	97.3626843895	0.0376020277485	0.00218826896073	0.117389639991	34.4108319134	1.45035493421	102.493078046	0.767379208138	0.541445479813	0.894427172188	0.2843018014814017
623	chr10_23795813_23798990	chr10	23795813	23798990	1267	23794986	23796986	1110021L09Rik	+	0	26.2439078463	13.3761571103	103.889289421	0.0292798099407	0.00196059635342	0.105176148008	44.123383047	1.45367563028	123.227408747	0.767745939277	0.541445479813	0.894427172188	0.25261418181377127
626	chr10_24148970_24151687	chr10	24148970	24151687	1273	24147317	24149317	Stx7	+	0	21.4171084284	10.4758178594	80.1826458444	0.00598174828129	0.000970244682555	0.0520487545327	26.6092336701	1.32833591283	88.4636485625	0.753190014785	0.541445479813	0.894427172188	0.2671040373245027
636	chr10_29312185_29314564	chr10	29312185	29314564	1300	29311166	29313166	Echdc1	+	0	28.2916737933	10.8897896239	105.444713342	0.0440520249872	0.00234040486435	0.125550967176	43.2202666245	1.37646501531	110.046668279	0.7589565199	0.541445479813	0.894427172188	0.26830812941317045
649	chr10_34482505_34485455	chr10	34482505	34485455	1317	34481400	34483400	Frk	+	0	36.8312537796	12.2328509956	134.083193889	0.0470152427326	0.00239522468931	0.128491775473	38.500182525	2.42428465149	137.404873533	0.842234197236	0.541445479813	0.894427172188	0.27468956184091603
656	chr10_39956448_39960389	chr10	39956448	39960389	1332	39960153	39962153	G630090E17Rik	-	0	32.266045146	9.70204166819	112.06206527	0.00566645177444	0.000950019819082	0.0509637921791	35.7550156114	1.53006066088	125.566471748	0.775914022373	0.541445479813	0.894427172188	0.28793013111313687
670	chr10_41819246_41823307	chr10	41819246	41823307	1354	41809868	41811868	Cep57l1	-	7379	21.5409593196	11.0266382203	65.4519815588	4.30036382775e-05	0.000110613616148	0.00593386499135	25.120720975	2.18295795586	94.3748413494	0.828642320745	0.541445479813	0.894427172188	0.3291108810853691
673	chr10_42500570_42504453	chr10	42500570	42504453	1366	42500054	42502054	Snx3	+	0	41.8624074534	10.6414090428	158.875274855	0.0361893543318	0.00214540824846	0.11509037803	61.7565567359	1.55851109234	165.883653135	0.778829239271	0.541445479813	0.894427172188	0.26349227399673353
