tracking_id	q9_FPKM	q10_FPKM	q11_FPKM	q12_FPKM	q9_FPKM_rep	q10_FPKM_rep	q11_FPKM_rep	q12_FPKM_rep
0610040B10Rik	2.20432	2.55506	2.35924	1.62225	2.20432	2.55506	2.35924	1.62225
0610040F04Rik	0	0.055738	0.357452	0.230177	0	0.055738	0.357452	0.230177
0610040J01Rik	37.1929	63.8731	48.7112	39.4882	37.1929	63.8731	48.7112	39.4882
0610043K17Rik	0	0.414015	0	0	0	0.414015	0	0
0910001L09Rik	46.2773	54.7415	46.6908	40.756	46.2773	54.7415	46.6908	40.756
100043387	0.48467	0	0.291788	0.16051	0.48467	0	0.291788	0.16051
1100001G20Rik	1.11169	0.736331	1.18983	0.654512	1.11169	0.736331	1.18983	0.654512
1110001A16Rik	6.00201	6.83152	5.76545	5.08665	6.00201	6.83152	5.76545	5.08665
1110001J03Rik	47.9221	41.0698	40.5232	28.7527	47.9221	41.0698	40.5232	28.7527
1110002B05Rik	70.3233	69.2056	58.2935	78.2689	70.3233	69.2056	58.2935	78.2689
1110002L01Rik	0.91406	0.853105	0.911601	1.24754	0.91406	0.853105	0.911601	1.24754
1110002N22Rik	3.17265	2.04888	2.22839	2.45163	3.17265	2.04888	2.22839	2.45163
1110003E01Rik	33.8658	36.6394	28.2836	31.883	33.8658	36.6394	28.2836	31.883
1110004E09Rik	8.06416	3.47186	5.96974	5.7765	8.06416	3.47186	5.96974	5.7765
1110004F10Rik	31.8095	31.8177	22.8825	30.3748	31.8095	31.8177	22.8825	30.3748
1110005A03Rik	12.5602	7.97833	10.1649	12.2743	12.5602	7.97833	10.1649	12.2743
1110006O24Rik	0.916001	0.910073	1.10293	1.0786	0.916001	0.910073	1.10293	1.0786
1110007C09Rik	44.6173	58.1545	61.9563	44.7242	44.6173	58.1545	61.9563	44.7242
1110008F13Rik	21.338	12.619	12.8054	13.3704	21.338	12.619	12.8054	13.3704
1110008J03Rik	1.5701	1.37275	2.11738	2.49589	1.5701	1.37275	2.11738	2.49589
1110008L16Rik	2.38468	1.2285	1.15798	1.06599	2.38468	1.2285	1.15798	1.06599
1110008P14Rik	34.8262	27.7941	29.3303	24.5376	34.8262	27.7941	29.3303	24.5376
1110012J17Rik	0.0610747	0.0606705	0.186288	0.0647154	0.0610747	0.0606705	0.186288	0.0647154
1110012L19Rik	8.76724	8.71051	6.95669	10.0565	8.76724	8.71051	6.95669	10.0565
1110014N23Rik	15.1974	16.9249	15.178	18.5088	15.1974	16.9249	15.178	18.5088
1110015O18Rik	0	0	0	0	0	0	0	0
1110017D15Rik	0	0	0	0	0	0	0	0
1110017F19Rik	37.697	30.4721	33.3933	28.2681	37.697	30.4721	33.3933	28.2681
1110018G07Rik	11.2462	9.21892	7.82998	11.1625	11.2462	9.21892	7.82998	11.1625
1110018J18Rik	4.14277	2.33609	4.31411	3.1642	4.14277	2.33609	4.31411	3.1642
1110019D14Rik	1.06168	1.18666	1.11854	1.758	1.06168	1.18666	1.11854	1.758
1110020A21Rik	1.46514	2.24323	1.38357	0.819633	1.46514	2.24323	1.38357	0.819633
1110020G09Rik	2.27866	2.46078	1.48138	2.20161	2.27866	2.46078	1.48138	2.20161
1110021J02Rik	5.57498	5.01552	4.70124	3.77422	5.57498	5.01552	4.70124	3.77422
1110021L09Rik	16.0919	11.8775	10.4331	14.5852	16.0919	11.8775	10.4331	14.5852
1110028C15Rik	1.33712	1.367	1.16348	1.18085	1.33712	1.367	1.16348	1.18085
1110028F11Rik	0.137183	0.272591	0.220238	0.333164	0.137183	0.272591	0.220238	0.333164
1110028F18Rik	0.453239	0.450306	0.242548	0.333558	0.453239	0.450306	0.242548	0.333558
1110031I02Rik	9.26062	12.1581	10.0221	8.54344	9.26062	12.1581	10.0221	8.54344
1110032A03Rik	15.2296	16.8603	13.4912	11.7205	15.2296	16.8603	13.4912	11.7205
1110032A04Rik	0.221487	0.385106	0.577861	0.78245	0.221487	0.385106	0.577861	0.78245
1110032F04Rik	0	0	0.0870125	0	0	0	0.0870125	0
1110034A24Rik	0.880661	0.944959	1.41384	0.746629	0.880661	0.944959	1.41384	0.746629
1110034B05Rik	3.82486	1.77959	2.22374	2.7914	3.82486	1.77959	2.22374	2.7914
1110034G24Rik	3.86301	3.16467	3.15529	2.99258	3.86301	3.16467	3.15529	2.99258
1110035M17Rik	0	0	0	0	0	0	0	0
1110036E04Rik	0	0	0	0.132697	0	0	0	0.132697
1110037F02Rik	3.24942	3.30232	2.60835	3.42826	3.24942	3.30232	2.60835	3.42826
1110038B12Rik	85.7857	98.0239	67.1382	93.445	85.7857	98.0239	67.1382	93.445
1110038D17Rik	92.9296	104.42	81.8214	67.3458	92.9296	104.42	81.8214	67.3458
1110038F14Rik	38.8561	26.7633	25.4345	24.0462	38.8561	26.7633	25.4345	24.0462
1110046J04Rik	6.01028	10.8978	4.70574	3.84883	6.01028	10.8978	4.70574	3.84883
1110049F12Rik	26.388	19.631	22.3186	27.567	26.388	19.631	22.3186	27.567
1110050K14Rik	1.65584	2.89855	3.82925	3.48171	1.65584	2.89855	3.82925	3.48171
1110051M20Rik	0.290072	0.432292	0.31046	0.426953	0.290072	0.432292	0.31046	0.426953
1110054M08Rik	19.0631	17.493	15.9398	18.5888	19.0631	17.493	15.9398	18.5888
1110054O05Rik	3.44511	2.91363	2.51403	3.1682	3.44511	2.91363	2.51403	3.1682
1110057K04Rik	17.9716	12.5666	11.311	18.2043	17.9716	12.5666	11.311	18.2043
1110058L19Rik	12.6597	13.5026	11.3576	12.8243	12.6597	13.5026	11.3576	12.8243
1110059E24Rik	67.9835	50.8145	37.1693	64.6233	67.9835	50.8145	37.1693	64.6233
1110059G10Rik	4.15595	4.39893	3.09619	3.91014	4.15595	4.39893	3.09619	3.91014
1110059M19Rik	0	0	0	0	0	0	0	0
1110065P20Rik	12.191	10.4256	11.8917	8.72203	12.191	10.4256	11.8917	8.72203
1110067D22Rik	7.62259	9.13757	12.7792	10.2852	7.62259	9.13757	12.7792	10.2852
1190002F15Rik	2.05512	1.81495	2.01627	1.20996	2.05512	1.81495	2.01627	1.20996
1190002H23Rik	3.27104	6.86083	6.02939	6.63343	3.27104	6.86083	6.02939	6.63343
1190002N15Rik	1.25889	2.27408	1.39637	1.53626	1.25889	2.27408	1.39637	1.53626
1190003J15Rik	34.4023	26.1801	34.2252	21.3318	34.4023	26.1801	34.2252	21.3318
1190003K10Rik	0	0	0	0	0	0	0	0
1190005F20Rik	23.9446	25.1748	22.2982	23.4855	23.9446	25.1748	22.2982	23.4855
1190005I06Rik	0	0.807303	0.391352	0	0	0.807303	0.391352	0
1190007F08Rik	7.12807	4.49751	6.3519	5.62482	7.12807	4.49751	6.3519	5.62482
1190007I07Rik	11.0874	9.8068	9.01441	9.733	11.0874	9.8068	9.01441	9.733
1200009I06Rik	146.929	157.855	132.577	126.749	146.929	157.855	132.577	126.749
1200011I18Rik	3.61269	3.21576	2.59815	3.46477	3.61269	3.21576	2.59815	3.46477
1200011M11Rik	4.37741	4.03843	3.01183	4.86993	4.37741	4.03843	3.01183	4.86993
1200014J11Rik	2.98883	2.70336	2.29732	2.41542	2.98883	2.70336	2.29732	2.41542
1200016B10Rik	6.65877	6.12381	5.24574	5.53079	6.65877	6.12381	5.24574	5.53079
1300001I01Rik	13.5641	9.13174	8.11968	9.95321	13.5641	9.13174	8.11968	9.95321
1300002E11Rik	19.0025	21.0151	13.056	24.017	19.0025	21.0151	13.056	24.017
1300002K09Rik	1.15944	1.42741	1.37582	2.00336	1.15944	1.42741	1.37582	2.00336
1300010F03Rik	12.9691	14.5838	11.1027	9.46564	12.9691	14.5838	11.1027	9.46564
1300014I06Rik	34.3184	29.5978	21.9309	23.8099	34.3184	29.5978	21.9309	23.8099
1300015D01Rik	0	0	0.126223	0.0231447	0	0	0.126223	0.0231447
1300017J02Rik	0	0	0	0	0	0	0	0
1300018I17Rik	6.16219	7.51225	7.64698	7.26583	6.16219	7.51225	7.64698	7.26583
1300018J18Rik	3.58118	3.75567	3.41765	5.41164	3.58118	3.75567	3.41765	5.41164
1500001M20Rik	4.82336	5.23587	5.23407	2.44536	4.82336	5.23587	5.23407	2.44536
1500002O10Rik	0.251178	0	0.50406	0.110912	0.251178	0	0.50406	0.110912
1500002O20Rik	7.2766	6.4309	5.53539	7.13606	7.2766	6.4309	5.53539	7.13606
1500003O03Rik	88.5777	128.084	95.8501	104.47	88.5777	128.084	95.8501	104.47
1500004A13Rik	0.225323	0.0994956	0.562706	0.552749	0.225323	0.0994956	0.562706	0.552749
1500009C09Rik	0	0	0	0	0	0	0	0
1500009L16Rik	12.0636	9.7436	7.03627	9.88724	12.0636	9.7436	7.03627	9.88724
1500010J02Rik	1.38567	1.07906	1.56929	1.45793	1.38567	1.07906	1.56929	1.45793
1500011B03Rik	3.6944	9.90868	4.21813	4.17135	3.6944	9.90868	4.21813	4.17135
1500011H22Rik	2.7595	2.19332	1.50626	2.33952	2.7595	2.19332	1.50626	2.33952
1500011K16Rik	21.6957	16.6243	13.3177	16.5303	21.6957	16.6243	13.3177	16.5303
1500012F01Rik	26.6126	22.915	25.1169	20.3688	26.6126	22.915	25.1169	20.3688
1500012K07Rik	0.423929	0	0	0	0.423929	0	0	0
1500015A07Rik	1.70611	1.18141	1.53552	1.59803	1.70611	1.18141	1.53552	1.59803
1500015L24Rik	0	0	0	0	0	0	0	0
1500015O10Rik	0	0	0.10096	0	0	0	0.10096	0
1500016L03Rik	0	0	0	0	0	0	0	0
1500017E21Rik	0.104689	0.208024	0.336142	0.0616363	0.104689	0.208024	0.336142	0.0616363
1500031L02Rik	17.7754	19.7113	11.645	13.9763	17.7754	19.7113	11.645	13.9763
1500032L24Rik	511.518	538.817	420.604	436.332	511.518	538.817	420.604	436.332
1520402A15Rik	0.0702159	0	0.225453	0.12402	0.0702159	0	0.225453	0.12402
1600002D24Rik	0	0	0.0417524	0	0	0	0.0417524	0
1600002H07Rik	1.23901	0.703425	1.63394	0.586184	1.23901	0.703425	1.63394	0.586184
1600002K03Rik	18.3234	10.9229	12.2312	11.4125	18.3234	10.9229	12.2312	11.4125
1600010M07Rik	0.418749	0.416039	0	0.924525	0.418749	0.416039	0	0.924525
1600012F09Rik	2.36137	1.47619	1.8955	2.4603	2.36137	1.47619	1.8955	2.4603
1600012H06Rik	11.2329	9.55784	8.71137	12.4921	11.2329	9.55784	8.71137	12.4921
1600014C10Rik	4.40046	9.0057	7.6976	4.83923	4.40046	9.0057	7.6976	4.83923
1600014C23Rik	0	0	0	0	0	0	0	0
1600014K23Rik	0	0	0	0	0	0	0	0
1600015I10Rik	0	0.0373807	0	0	0	0.0373807	0	0
1600016N20Rik	8.38063	9.80665	8.25956	10.5261	8.38063	9.80665	8.25956	10.5261
1600019K03Rik	0	0	0	0	0	0	0	0
1600020E01Rik	13.1449	9.40192	13.1916	11.7612	13.1449	9.40192	13.1916	11.7612
1600021P15Rik	10.586	12.5617	12.6146	13.8257	10.586	12.5617	12.6146	13.8257
1600025M17Rik	0	0	0	0	0	0	0	0
1600027N09Rik	5.1309	3.36966	3.00172	3.60964	5.1309	3.36966	3.00172	3.60964
1600029D21Rik	225.641	92.7464	41.8303	215.888	225.641	92.7464	41.8303	215.888
1600029I14Rik	0.130366	0.129523	0.104647	0	0.130366	0.129523	0.104647	0
1600029O15Rik	0.160426	0	0.128776	0.0472255	0.160426	0	0.128776	0.0472255
1700001C02Rik	0	0	0	0	0	0	0	0
1700001C19Rik	0.121081	0.120298	0.145786	0	0.121081	0.120298	0.145786	0
1700001D01Rik	0	0.237636	0	0	0	0.237636	0	0
1700001F09Rik	0	0	0	0	0	0	0	0
1700001G11Rik	0	0.151409	0.12233	0	0	0.151409	0.12233	0
1700001G17Rik	0	0	0	0	0	0	0	0
1700001J03Rik	0.599976	0.298047	0.361207	0.132464	0.599976	0.298047	0.361207	0.132464
1700001J11Rik	0	0	0	0	0	0	0	0
1700001K19Rik	0.114664	0.341766	0.276127	0.202527	0.114664	0.341766	0.276127	0.202527
1700001K23Rik	0	0	0.244568	0	0	0	0.244568	0
1700001L05Rik	0.59127	1.71827	0.711931	0.83547	0.59127	1.71827	0.711931	0.83547
1700001L19Rik	0	0.0531621	0	0.0472549	0	0.0531621	0	0.0472549
1700001O22Rik	0.277908	0.453124	0.546701	0.201703	0.277908	0.453124	0.546701	0.201703
1700001P01Rik	0	0	0	0	0	0	0	0
1700003C15Rik	0	0	0	0	0	0	0	0
1700003D09Rik	0.434837	0.144008	0.639924	0.64003	0.434837	0.144008	0.639924	0.64003
1700003E16Rik	0.418348	0.323276	0.261188	0.0410507	0.418348	0.323276	0.261188	0.0410507
1700003F12Rik	0	0	0	0	0	0	0	0
1700003F17Rik	0.466644	0	0	0.412107	0.466644	0	0	0.412107
1700003G13Rik	0	0	0	0	0	0	0	0
1700003G18Rik	0.207348	0	0	0	0.207348	0	0	0
1700003H04Rik	0	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0	0	0
1700003M02Rik	0	0	0	0	0	0	0	0
1700003M07Rik	0	0	0.0387396	0	0	0	0.0387396	0
1700003P14Rik	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0	0	0
1700006F04Rik	0	0	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	0	0
1700007B14Rik	0	0	0	0	0	0	0	0
1700007F19Rik	0	0	0	0	0	0	0	0
1700007G11Rik	0	0	0.105127	0	0	0	0.105127	0
1700007I08Rik	0	0	0	0	0	0	0	0
1700007J10Rik	0.758037	0.753132	1.14091	1.08785	0.758037	0.753132	1.14091	1.08785
1700007K09Rik	0	0	0	0	0	0	0	0
1700007K13Rik	0	0.142536	0	0	0	0.142536	0	0
1700007L15Rik	1.90322	1.10303	1.52774	1.12053	1.90322	1.10303	1.52774	1.12053
1700007P06Rik	0	0	0	0	0	0	0	0
1700008A04Rik	0	0	0	0	0	0	0	0
1700008F21Rik	0	0	0	0	0	0	0	0
1700008I05Rik	0	0	0	0	0	0	0	0
1700008J07Rik	1.27061	1.10937	1.45264	1.73418	1.27061	1.10937	1.45264	1.73418
1700008K24Rik	0	0	0	0	0	0	0	0
1700008O03Rik	0.121666	0	0	0.107447	0.121666	0	0	0.107447
1700008P02Rik	0	0	0	0	0	0	0	0
1700008P20Rik	0	0	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	0	0	0	0
1700009J07Rik	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0	0	0
1700009P17Rik	0.828598	1.95519	0.91455	0.914701	0.828598	1.95519	0.91455	0.914701
1700010B08Rik	0	0	0	0	0	0	0	0
1700010D01Rik	0	0	0	0	0	0	0	0
1700010I02Rik	0.747593	0.742755	0	0	0.747593	0.742755	0	0
1700010I14Rik	0.205068	0.407483	0.246917	0.498031	0.205068	0.407483	0.246917	0.498031
1700010J16Rik	0	0	0	0	0	0	0	0
1700010K23Rik	0	0	0	0	0	0	0	0
1700010M22Rik	0	0	0	0	0	0	0	0
1700011A15Rik	0.123064	0	0	0	0.123064	0	0	0
1700011B04Rik	0	0	0	0.171494	0	0	0	0.171494
1700011E24Rik	0	0.132962	0.107426	0	0	0.132962	0.107426	0
1700011F03Rik	0	0	0	0	0	0	0	0
1700011F14Rik	0	0	0	0	0	0	0	0
1700011H14Rik	0.0892285	0.620558	22.2754	9.29845	0.0892285	0.620558	22.2754	9.29845
1700011I03Rik	0	0	0	0	0	0	0	0
1700011J10Rik	2.00478	1.62966	2.92594	2.81668	2.00478	1.62966	2.92594	2.81668
1700011L22Rik	0	0.110377	0.089178	0.294336	0	0.110377	0.089178	0.294336
1700011M02Rik	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0
1700012A16Rik	0	0.0463079	0.0748282	0.0411623	0	0.0463079	0.0748282	0.0411623
1700012B07Rik	0	0	0	0	0	0	0	0
1700012B09Rik	0	0	0	0	0	0	0	0
1700012B15Rik	6.13251	6.28937	5.31964	4.36759	6.13251	6.28937	5.31964	4.36759
1700012D01Rik	0.175494	0.174359	0.281743	0	0.175494	0.174359	0.281743	0
1700012D14Rik	0	0	0	0	0	0	0	0
1700012I11Rik	0	0	0	0	0	0	0	0
1700012L04Rik	0.26925	0.802523	0.648392	0.951132	0.26925	0.802523	0.648392	0.951132
1700012P22Rik	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	0	0	0
1700013G23Rik	0.531815	0	0.213448	0	0.531815	0	0.213448	0
1700013G24Rik	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0
1700013N18Rik	0	0.0652184	0	0	0	0.0652184	0	0
1700014N06Rik	0	0	0	0	0	0	0	0
1700015E13Rik	0.338508	0	0	0.44842	0.338508	0	0	0.44842
1700015F17Rik	0	0	0	0	0	0	0	0
1700015G11Rik	0	0	0	0	0	0	0	0
1700016C15Rik	23.7025	38.4635	16.9968	12.5594	23.7025	38.4635	16.9968	12.5594
1700016D06Rik	0	0	0	0	0	0	0	0
1700016G22Rik	0.443687	0	0.178077	0.391833	0.443687	0	0.178077	0.391833
1700016H13Rik	0	0.146709	0	0	0	0.146709	0	0
1700016K19Rik	0.239924	0	0.19259	0	0.239924	0	0.19259	0
1700016L04Rik	0	0	0	0	0	0	0	0
1700016L21Rik	0	0	0	0	0	0	0	0
1700016M24Rik	0	0	0	0	0	0	0	0
1700016P04Rik	0	0	0	0	0	0	0	0
1700017B05Rik	7.81164	8.35533	8.01636	8.48332	7.81164	8.35533	8.01636	8.48332
1700017D01Rik	0	0	0	0	0	0	0	0
1700017G19Rik	0.0383826	0	0	0.0338969	0.0383826	0	0	0.0338969
1700017J07Rik	0	0	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0	0	0
1700018A04Rik	0	0	0.135595	0.149179	0	0	0.135595	0.149179
1700018B08Rik	0	0	0	0	0	0	0	0
1700018B24Rik	0	0	0	0	0	0	0	0
1700018C11Rik	0	0	0.29631	0	0	0	0.29631	0
1700018F24Rik	0	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0	0
1700018L02Rik	3.62411	4.58266	3.30582	4.21893	3.62411	4.58266	3.30582	4.21893
1700018L24Rik	0	0	0	0	0	0	0	0
1700019A02Rik	0	0	0	0	0	0	0	0
1700019B03Rik	0	0	0	0	0	0	0	0
1700019B21Rik	0	0	0	0	0	0	0	0
1700019D03Rik	0.956214	1.4929	2.08339	1.56829	0.956214	1.4929	2.08339	1.56829
1700019E08Rik	0	0	0	0	0	0	0	0
1700019E19Rik	21.6197	26.4329	25.4676	23.9983	21.6197	26.4329	25.4676	23.9983
1700019G17Rik	62.371	72.8383	45.578	39.9556	62.371	72.8383	45.578	39.9556
1700019G24Rik	0	0.276187	0	0	0	0.276187	0	0
1700019L03Rik	6.18568	4.81216	3.88795	3.0406	6.18568	4.81216	3.88795	3.0406
1700019M22Rik	0	0	0	0	0	0	0	0
1700019N12Rik	0	0	0.598866	0.131772	0	0	0.598866	0.131772
1700019N19Rik	0	0	0	0	0	0	0	0
1700019O17Rik	0	0	0	0	0	0	0	0
1700020A23Rik	0	0	0	0	0	0	0	0
1700020D05Rik	0	0	0.169353	0	0	0	0.169353	0
1700020G17Rik	0	0	0	0	0	0	0	0
1700020I14Rik	19.3679	20.1342	17.9261	22.7305	19.3679	20.1342	17.9261	22.7305
1700020L24Rik	2.1295	0.47016	2.18421	1.56719	2.1295	0.47016	2.18421	1.56719
1700020M21Rik	0	0	0	0	0	0	0	0
1700020N01Rik	0	0	0.402565	0.177158	0	0	0.402565	0.177158
1700020N15Rik	0	0	0	0	0	0	0	0
1700020N18Rik	0	0	0	0	0	0	0	0
1700020O03Rik	3.02349	3.34789	2.51963	2.73129	3.02349	3.34789	2.51963	2.73129
1700021C14Rik	2.81209	1.55216	2.00649	1.37969	2.81209	1.55216	2.00649	1.37969
1700021F05Rik	17.8493	16.8718	18.0094	13.574	17.8493	16.8718	18.0094	13.574
1700021F07Rik	0	0	0	0	0	0	0	0
1700021K19Rik	4.30813	4.01273	5.10624	4.3248	4.30813	4.01273	5.10624	4.3248
1700021N21Rik	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0	0	0
1700022H16Rik	0	0	0	0	0	0	0	0
1700022I11Rik	0	0	0	0	0	0	0	0
1700022P22Rik	0	0	0.310897	0	0	0	0.310897	0
1700023A16Rik	0	0	0	0	0	0	0	0
1700023C21Rik	0	0	0	0	0	0	0	0
1700023E05Rik	0.169973	0	0	0	0.169973	0	0	0
1700023F02Rik	0	0	0	0	0	0	0	0
1700023F06Rik	0	0	0	0.0822185	0	0	0	0.0822185
1700023L04Rik	0	0	0	0	0	0	0	0
1700024B18Rik	0	0	0	0	0	0	0	0
1700024F13Rik	0.185366	0	0.297592	0	0.185366	0	0.297592	0
1700024G13Rik	0	0	0	0	0	0	0	0
1700024P03Rik	0	0	0	0	0	0	0	0
1700024P04Rik	0	0	0	0	0	0	0	0
1700024P16Rik	2.77871	2.20858	3.3575	3.90051	2.77871	2.20858	3.3575	3.90051
1700025B11Rik	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	0
1700025E21Rik	0	0	0	0	0	0	0	0
1700025F22Rik	0	0	0	0	0	0	0	0
1700025F24Rik	0	0	0	0	0	0	0	0
1700025G04Rik	2.88968	3.68234	2.7518	3.44753	2.88968	3.68234	2.7518	3.44753
1700025K23Rik	0	0.162695	0	0.144617	0	0.162695	0	0.144617
1700025K24Rik	0	0	0	0	0	0	0	0
1700025M24Rik	0	0	0	0	0	0	0	0
1700025N23Rik	0.862684	0.979545	0.395708	0.653025	0.862684	0.979545	0.395708	0.653025
1700026D08Rik	0	0	0	0	0	0	0	0
1700026D11Rik	0	0	0	0	0	0	0	0
1700026F02Rik	0	0	0	0	0	0	0	0
1700026J04Rik	0	0.272307	0.0314298	0.207471	0	0.272307	0.0314298	0.207471
1700026L06Rik	0.184568	0.366746	0.148155	0.162997	0.184568	0.366746	0.148155	0.162997
1700027A15Rik	0	0	0	0	0	0	0	0
1700027A23Rik	0	0	0	0	0	0	0	0
1700027D21Rik	0.457271	0.454312	0.672939	1.14419	0.457271	0.454312	0.672939	1.14419
1700027F09Rik	0.306426	0	0	0	0.306426	0	0	0
1700027H10Rik	0	0	0	0	0	0	0	0
1700027I24Rik	0	0	0	0	0	0	0	0
1700027J07Rik	0	0	0	0.0886827	0	0	0	0.0886827
1700028B04Rik	0	0	0	0	0	0	0	0
1700028D13Rik	0	0	0	0	0	0	0	0
1700028E10Rik	0.112703	0.0457357	0.0904684	0.0406536	0.112703	0.0457357	0.0904684	0.0406536
1700028I16Rik	0.100892	0	0.161974	0	0.100892	0	0.161974	0
1700028J19Rik	0.43704	0.434211	0.140327	0.30877	0.43704	0.434211	0.140327	0.30877
1700028K03Rik	0.0296549	0.144326	0.0714122	0.0261888	0.0296549	0.144326	0.0714122	0.0261888
1700028M03Rik	0	0	0	0	0	0	0	0
1700028P14Rik	0	0	0	0	0	0	0	0
1700028P15Rik	0	0	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0	0	0
1700029F09Rik	3.23861	2.49368	2.92463	2.6456	3.23861	2.49368	2.92463	2.6456
1700029F12Rik	0	0	0	0	0	0	0	0
1700029G01Rik	4.35374	6.58365	6.20111	3.98281	4.35374	6.58365	6.20111	3.98281
1700029H14Rik	0	0	0.0618309	0	0	0	0.0618309	0
1700029I01Rik	0.234283	0.253855	0.173546	0.190932	0.234283	0.253855	0.173546	0.190932
1700029I15Rik	10.3242	10.7973	10.4683	6.23838	10.3242	10.7973	10.4683	6.23838
1700029J03Rik	0	0	0	0	0	0	0	0
1700029J07Rik	0.135288	0.0336031	0.271493	0.0597384	0.135288	0.0336031	0.271493	0.0597384
1700029J11Rik	0.3875	0.577488	0.933153	0.342213	0.3875	0.577488	0.933153	0.342213
1700029M20Rik	0	0	0	0	0	0	0	0
1700029N11Rik	0	0	0	0	0	0	0	0
1700029P11Rik	0	0	0	0	0	0	0	0
1700030A11Rik	1.50928	0.749757	0.305722	0.666446	1.50928	0.749757	0.305722	0.666446
1700030C10Rik	1.97648	1.73927	1.54122	0.598454	1.97648	1.73927	1.54122	0.598454
1700030F04Rik	0	0	0	0	0	0	0	0
1700030F18Rik	0	0	0	0	0	0	0	0
1700030J22Rik	0.774888	0.523514	0.298566	0.383223	0.774888	0.523514	0.298566	0.383223
1700030K09Rik	0.540261	0.345063	0.309768	0.511201	0.540261	0.345063	0.309768	0.511201
1700030L20Rik	0.330289	0.875071	0.176752	0.0972295	0.330289	0.875071	0.176752	0.0972295
1700030M09Rik	0	0	0	0	0	0	0	0
1700030N03Rik	0	0	0	0	0	0	0	0
