peak,chr,chromStart,chromEnd,Name,Start_b,End_b,Name_b,Strand,Distance,CV_amplitude,CV_phase,CV_mean,CV_pvalue,CV_qvalue,CV_fdr_BH,GF_amplitude,GF_phase,GF_mean,GF_pvalue,GF_qvalue,GF_fdr_BH
chr1_21216809_21220601,chr1,21216809,21220601,45,21216631,21218631,Tmem14a,+,0,19.7342029712,10.7473632338,98.2640055568,0.230234250187,0.00544863156877,0.292291719977,34.3177640089,2.48334671663,122.758130018,0.845191605167,0.541445479813,0.894427172188
chr1_21228759_21230937,chr1,21228759,21230937,46,21238589,21240589,Gsta3,+,7653,21.3947682898,12.7528077124,61.5228691977,0.0149131507961,0.00145874108523,0.078254133248,23.1358854486,2.21791786133,73.449986972,0.830772321855,0.541445479813,0.894427172188
chr1_21344192_21345819,chr1,21344192,21345819,48,21347677,21349677,Khdc1a,+,1859,3.54622539459,0.21535664035,37.8750896578,0.355790556013,0.00748315087585,0.401433463199,11.3494730541,3.08724812285,37.615916103,0.421901902434,0.541445479813,0.894427172188
chr1_23919965_23923044,chr1,23919965,23923044,51,23922289,23924289,Smap1,-,0,23.6682561865,11.8190447469,113.65975272,0.109630310285,0.00350604886482,0.188081913796,38.3634027699,1.69381058024,126.854181698,0.79181274132,0.541445479813,0.894427172188
chr1_24004180_24006281,chr1,24004180,24006281,52,24005640,24007640,1110058L19Rik,-,0,21.3982599157,10.2416393489,60.9690332577,0.00624357993261,0.000985623905187,0.0528737725906,18.378865563,1.85822832541,67.7787213605,0.805809345499,0.541445479813,0.894427172188
chr1_24095942_24103381,chr1,24095942,24103381,53,24100341,24102341,Fam135a,-,0,54.2953663963,11.9036094571,223.024818878,0.0364357061289,0.00215161390765,0.115423280479,104.775716987,1.25905856197,280.424483595,0.744479116337,0.541445479813,0.894427172188
chr1_24106462_24109514,chr1,24106462,24109514,54,24100341,24102341,Fam135a,-,4122,9.42091596535,11.929020053,64.2238080644,0.0503493419561,0.00246490960854,0.132230021424,24.5572741337,1.79892519995,85.8618582521,0.800970921116,0.541445479813,0.894427172188
chr1_24677650_24680682,chr1,24677650,24680682,57,24676544,24678544,Lmbrd1,+,0,24.6536457457,9.63344055529,102.456451335,0.0769398476989,0.00295543385372,0.158544183705,54.6968905654,1.79656382896,144.920135806,0.800773502022,0.541445479813,0.894427172188
chr1_24683714_24684463,chr1,24683714,24684463,58,24676544,24678544,Lmbrd1,+,5171,4.92113337271,10.1733383367,30.5847110085,0.000999811449835,0.00044338126609,0.0237851782113,2.61031827828,6.45534817645,35.285951437,0.880411057435,0.541445479813,0.894427172188
chr1_26686689_26688340,chr1,26686689,26688340,62,26687460,26689460,4931408C20Rik,-,0,9.2617620645,6.12268627026,73.26903733,0.0233499028397,0.00177615742068,0.0952819255416,9.39719311408,13.4317397734,71.1367496326,0.447807039606,0.541445479813,0.894427172188
chr1_30872165_30874653,chr1,30872165,30874653,65,30863256,30865256,Phf3,-,6910,27.7759270256,9.89769077104,92.1020846625,0.0178253977089,0.00157862706643,0.0846854140578,34.7668805832,1.61738132028,96.0519993597,0.784652712638,0.541445479813,0.894427172188
chr1_30947038_30952217,chr1,30947038,30952217,66,30949710,30951710,Gm13363,-,0,91.5807180098,11.0603823158,294.407437513,0.0574938098937,0.00261458246517,0.140259218507,74.5731967631,3.57305596545,283.457305089,0.880993335299,0.541445479813,0.894427172188
chr1_33669130_33670951,chr1,33669130,33670951,73,33667824,33669824,1700001G17Rik,+,0,6.32177070924,12.7801185224,34.5517070549,0.345795345079,0.00732260182261,0.39282081279,20.0251646504,0.905440389727,43.3189664143,0.691335151057,0.541445479813,0.894427172188
chr1_33813249_33814945,chr1,33813249,33814945,74,33814427,33816427,Zfp451,-,0,15.0113113388,11.314860747,46.9659577637,0.00931942868209,0.00116252626891,0.0623636959795,16.7301877484,2.16324184649,61.1088198827,0.827415282349,0.541445479813,0.894427172188
chr1_34432666_34435505,chr1,34432666,34435505,76,34433199,34435199,Mir5103,-,0,11.6860607857,10.1171728505,53.1102493892,0.00180514212986,0.000574843485722,0.0308374660754,19.9911952631,1.36550274094,57.7260357201,0.75766302509,0.541445479813,0.894427172188
chr1_34438758_34440672,chr1,34438758,34440672,77,34437829,34439829,Imp4,+,0,18.4369347224,11.9983409047,59.9431447368,0.0724282748088,0.00287433409476,0.15419358893,27.5065761039,1.54345300703,60.0830108021,0.777294656968,0.541445479813,0.894427172188
chr1_34459035_34461015,chr1,34459035,34461015,78,34457746,34459746,Ptpn18,+,0,18.9832496732,10.9270613415,72.8809922779,0.0269527120686,0.00189180966562,0.101486087663,13.5297740869,2.69568516463,58.6384137361,0.854775333091,0.541445479813,0.894427172188
chr1_34840256_34844189,chr1,34840256,34844189,80,34843050,34845050,Fam168b,-,0,38.7636118817,9.84228913746,134.492941891,0.0336575910237,0.00208035979889,0.111600855391,48.2485651495,1.85155408805,150.004183778,0.805276109067,0.541445479813,0.894427172188
chr1_34848077_34854107,chr1,34848077,34854107,81,34847959,34849959,Plekhb2,+,0,61.6019244922,10.6929244177,229.388375709,0.0916169069389,0.00320647271284,0.17201115775,87.9686615533,1.87189588103,266.262845764,0.806892551707,0.541445479813,0.894427172188
chr1_34854891_34860611,chr1,34854891,34860611,82,34847959,34849959,Plekhb2,+,4933,30.5814201254,11.2701679809,127.318123621,0.0210269183947,0.00169377710359,0.0908626352536,39.6149173921,1.88404508327,149.758761084,0.807845631762,0.541445479813,0.894427172188
chr1_36067626_36072329,chr1,36067626,36072329,83,36066400,36068400,Hs6st1,+,0,28.492252384,9.85930521647,162.406342088,0.15477511861,0.00423622836992,0.227252377194,44.2273149314,1.62704584895,155.066987926,0.785582587775,0.541445479813,0.894427172188
chr1_36240097_36245054,chr1,36240097,36245054,86,36244302,36246302,Uggt1,-,0,37.202209128,10.6602051583,129.685328133,0.0446054057429,0.00235252816011,0.126201321109,35.0715774432,1.3125435206,150.406293979,0.751247721115,0.541445479813,0.894427172188
chr1_36269676_36277263,chr1,36269676,36277263,87,36273425,36275425,Neurl3,-,0,83.2944125917,10.7487739967,316.346848301,0.0676200843282,0.00278806903716,0.149565901823,103.693679161,2.84433487171,337.684703129,0.860605187353,0.541445479813,0.894427172188
chr1_36307403_36308736,chr1,36307403,36308736,88,36305733,36307733,Arid5a,+,0,9.67065071501,10.1388149817,37.2491166103,0.111262950832,0.0035344987972,0.189608109789,10.8033759534,2.33941267298,41.0722448699,0.837740883736,0.541445479813,0.894427172188
chr1_36367034_36369773,chr1,36367034,36369773,89,36369181,36371181,4632411B12Rik,-,0,27.411877274,9.00342253223,104.461245942,0.188336508653,0.00476322543924,0.25552312332,37.6319524524,1.09009781337,100.902156205,0.721023733576,0.541445479813,0.894427172188
chr1_36444390_36445332,chr1,36444390,36445332,90,36445239,36447239,Lman2l,-,0,8.21692417236,11.7418018655,26.8765202868,0.00821809658608,0.00111274490093,0.0596931755953,11.1888019058,1.73519901014,28.0081015807,0.795510753871,0.541445479813,0.894427172188
chr1_36470724_36478654,chr1,36470724,36478654,91,36469597,36471597,Cnnm4,+,0,120.514804829,12.3154711598,448.966178484,0.0653137451234,0.00274974925837,0.147510238138,143.874078576,1.66078012835,461.465279073,0.788772252944,0.541445479813,0.894427172188
chr1_36510920_36513981,chr1,36510920,36513981,93,36509876,36511876,Cnnm3,+,0,10.344315034,13.4156081039,54.4020598765,0.227217307551,0.00540079980041,0.289725785821,18.0699586682,0.882533317439,61.0935860406,0.687324188,0.541445479813,0.894427172188
chr1_36546335_36547278,chr1,36546335,36547278,94,36547201,36549201,Ankrd39,-,0,8.7518237611,12.8987126243,25.2057893798,0.179424072217,0.00462347834672,0.248026393633,12.5979043713,3.22828113142,28.36386491,0.431701900765,0.541445479813,0.894427172188
chr1_36556240_36558870,chr1,36556240,36558870,95,36558381,36560381,Sema4c,-,0,10.9659110278,9.71865967797,42.9241862394,0.0674652369768,0.0027862313554,0.149467319426,22.2386187497,2.59907347654,53.2358212636,0.364016735771,0.541445479813,0.894427172188
chr1_36690865_36692962,chr1,36690865,36692962,96,36689487,36691487,Cox5b,+,0,22.120234899,9.74819775223,91.7451413917,0.101305686621,0.00336953897741,0.180758843905,25.9170256732,1.95625178725,84.3708047585,0.813325180959,0.541445479813,0.894427172188
chr1_36707533_36711278,chr1,36707533,36711278,97,36709925,36711925,Actr1b,-,0,8.36513963392,11.413845194,81.4156000896,0.218561614153,0.00525658541284,0.28198940819,35.5883379986,1.03139889768,99.9105341451,0.712075492489,0.541445479813,0.894427172188
chr1_36935618_36942807,chr1,36935618,36942807,100,36939527,36941527,Tmem131,-,0,56.7960464891,10.8888469918,247.443686482,0.158839857117,0.00429601162199,0.230459448429,106.871141385,1.69776766993,313.088678477,0.792171623537,0.541445479813,0.894427172188
chr1_37298442_37302649,chr1,37298442,37302649,104,37297893,37299893,Inpp4a,+,0,23.2905441893,10.8402256077,103.120228662,0.139920548347,0.00400226159377,0.214701234663,50.1943696034,1.09148775552,134.671761577,0.721230380926,0.541445479813,0.894427172188
chr1_37428856_37431961,chr1,37428856,37431961,105,37428172,37430172,Unc50,+,0,33.1228765813,12.7937891913,122.887121336,0.135686249837,0.00393522905058,0.211105275366,49.9448524031,1.69670562525,138.456197791,0.792075414691,0.541445479813,0.894427172188
chr1_37499599_37501970,chr1,37499599,37501970,106,37488605,37490605,4930594C11Rik,-,8995,24.5328629317,14.5558290112,93.7621656919,0.0173868228951,0.00156209661328,0.0837986382641,37.9236377401,0.788508942161,93.4081428162,0.67003691433,0.541445479813,0.894427172188
chr1_37539141_37541550,chr1,37539141,37541550,110,37536259,37538259,Mgat4a,-,883,38.8867127355,12.593947352,111.431540057,0.00552059200595,0.000938373016069,0.0503389996891,37.3318201321,1.50225416418,120.014457797,0.772999090863,0.541445479813,0.894427172188
chr1_37718521_37720644,chr1,37718521,37720644,116,37719811,37721811,2010300C02Rik,-,0,11.628410892,12.5567663406,38.7128082063,0.293627205967,0.00647934617824,0.347584382401,21.1895544982,3.45648513954,49.6103403073,0.453198862792,0.541445479813,0.894427172188
chr1_37865160_37866516,chr1,37865160,37866516,117,37865079,37867079,Tsga10,-,0,16.687285871,14.7193250878,40.1167487609,0.0147505962252,0.00145329513227,0.0779619852219,12.2214766145,2.88969897181,41.3763444731,0.862253811314,0.541445479813,0.894427172188
chr1_37871500_37873558,chr1,37871500,37873558,118,37870206,37872206,Lipt1,+,0,13.6728645068,12.9325309639,47.1671511075,0.0441083921892,0.0023409534425,0.125580395638,21.1893909894,3.37775695429,57.3110262043,0.441988974571,0.541445479813,0.894427172188
chr1_37888913_37891994,chr1,37888913,37891994,119,37888553,37890553,Mrpl30,+,0,23.1127123251,13.9279502677,93.5249924597,0.19441276307,0.00485921254376,0.260672349419,36.2212810466,1.09309133613,110.739414706,0.721468494752,0.541445479813,0.894427172188
chr1_37995666_37999790,chr1,37995666,37999790,120,37996010,37998010,Eif5b,+,0,49.8902061277,10.6851128284,173.608145032,0.102697868391,0.0033940549596,0.182074003227,72.9339381118,1.3717531417,190.247153969,0.758401964285,0.541445479813,0.894427172188
chr1_38127287_38130746,chr1,38127287,38130746,121,38129662,38131662,Rev1,-,0,12.9136205792,11.6685224022,67.0172178057,0.1712873021,0.00449779323729,0.241284018718,22.7414156013,2.06138146737,92.3157900374,0.820766549807,0.541445479813,0.894427172188
chr1_38982243_38989552,chr1,38982243,38989552,122,38985814,38987814,Pdcl3,+,0,36.4861429541,12.8639414231,197.448488547,0.0785845750943,0.00297451204713,0.159567632969,101.886178776,1.0551677721,253.867791848,0.715751519285,0.541445479813,0.894427172188
chr1_39185841_39188914,chr1,39185841,39188914,124,39192272,39194272,Npas2,+,3359,11.9975299195,12.6239324347,71.8193779325,0.160563576566,0.00432243179862,0.23187675822,36.0672649946,3.41073352513,81.0417090677,0.446719917969,0.541445479813,0.894427172188
chr1_39192791_39195510,chr1,39192791,39195510,125,39192272,39194272,Npas2,+,0,22.8227642947,5.08205859525,99.3219921681,0.160439075568,0.00432008493378,0.231750860708,78.2184723928,3.07763458406,130.604046604,0.420390881281,0.541445479813,0.894427172188
chr1_39196936_39197943,chr1,39196936,39197943,126,39192272,39194272,Npas2,+,2665,5.16707437196,14.6471098147,32.226739337,0.631542495191,0.0121657915416,0.65263361813,8.64093033961,1.68755964844,33.4513895899,0.791243498726,0.541445479813,0.894427172188
chr1_39202705_39208957,chr1,39202705,39208957,127,39192272,39194272,Npas2,+,8434,20.6445532119,11.2403257202,169.989184221,0.340936287695,0.00724621966019,0.388723293376,92.6354432613,1.56055949582,220.669334609,0.779036552824,0.541445479813,0.894427172188
chr1_39367072_39369848,chr1,39367072,39369848,132,39365851,39367851,Rpl31,+,0,20.9432928576,9.17098322168,110.692873508,0.321272617126,0.00692793934794,0.371649153066,30.1687606101,2.3406833789,105.68415471,0.837810356184,0.541445479813,0.894427172188
chr1_39466654_39469374,chr1,39466654,39469374,133,39478747,39480747,Tbc1d8,-,9374,1.57616159679,17.4511227311,32.8655801454,0.595995061198,0.0115437782635,0.619265729585,13.0808521248,1.37693405623,46.7793669424,0.759011605864,0.541445479813,0.894427172188
chr1_39476526_39479484,chr1,39476526,39479484,134,39478747,39480747,Tbc1d8,-,0,9.94023159536,9.87346613867,55.2818081533,0.0845440543897,0.00308442723521,0.165464030802,33.116375632,0.901315495201,78.8880401536,0.690618522772,0.541445479813,0.894427172188
chr1_39534988_39537164,chr1,39534988,39537164,135,39533802,39535802,D1Bwg0212e,+,0,12.9534928119,10.9070664117,60.5021167902,0.0809557689037,0.00301982607258,0.161998502862,34.338407389,3.12507028653,64.0177633533,0.427804284643,0.541445479813,0.894427172188
chr1_39575540_39577882,chr1,39575540,39577882,136,39577347,39579347,Rnf149,-,0,15.2248815057,9.40240905892,71.9613366573,0.2533968418,0.00582721992633,0.312601084043,19.6512633227,1.70273325626,65.1734623011,0.792620363332,0.541445479813,0.894427172188
chr1_39899974_39902816,chr1,39899974,39902816,137,39898913,39900913,Map4k4,+,0,19.8177732481,9.25681086858,89.2361425826,0.0110915860263,0.00126403283775,0.0678090136193,39.4826530437,1.39381368053,98.7759566684,0.760980008047,0.541445479813,0.894427172188
chr1_40679920_40685203,chr1,40679920,40685203,141,40679712,40681712,Slc9a2,+,0,28.699496003,10.8063059513,180.217518337,0.317999951595,0.00687236974128,0.368668122746,74.5444853756,1.04153339554,205.297699516,0.713651745493,0.541445479813,0.894427172188
chr1_40789208_40791512,chr1,40789208,40791512,146,40790657,40792657,Mfsd9,-,0,19.3303795752,12.8119450641,82.9986387248,0.0713783254014,0.00285748589755,0.153289767763,35.0355920233,1.41038881886,99.2387505365,0.762886644078,0.541445479813,0.894427172188
chr1_42850500_42852899,chr1,42850500,42852899,148,42849233,42851233,Mrps9,+,0,9.11164318148,12.6277509598,59.3162762583,0.25554594126,0.00586615237119,0.314689614186,24.330428725,1.07295944321,66.0934131844,0.71845602972,0.541445479813,0.894427172188
chr1_43090800_43093716,chr1,43090800,43093716,150,43096710,43098710,AI597479,+,2995,21.0971982058,10.8525349044,95.0776911966,0.253667478935,0.00583228487916,0.312872793326,40.5871176438,1.09860340308,101.269786967,0.722284563633,0.541445479813,0.894427172188
chr1_43097345_43100177,chr1,43097345,43100177,151,43096710,43098710,AI597479,+,0,48.7621140691,12.1764341992,153.810399805,0.0458251280097,0.00237380821936,0.127342889416,54.8271479683,2.80579171554,172.964202088,0.859157757124,0.541445479813,0.894427172188
chr1_43151109_43155579,chr1,43151109,43155579,153,43163961,43165961,Fhl2,-,8383,63.1417742971,14.0185588771,165.044582077,0.00676486047759,0.00102068238546,0.0547544839894,61.6834420467,1.38928041468,185.131108018,0.760454032139,0.541445479813,0.894427172188
chr1_43162375_43164764,chr1,43162375,43164764,154,43163961,43165961,Fhl2,-,0,29.3569755106,12.4273825101,114.94914324,0.0864674173682,0.00311596703846,0.167155982849,45.4647975591,1.74203523585,148.000791748,0.796109872392,0.541445479813,0.894427172188
chr1_43443990_43448624,chr1,43443990,43448624,162,43443751,43445751,Nck2,+,0,63.1333794519,11.6925876572,245.704063245,0.104038290027,0.00341592968262,0.18324747226,59.4839799447,1.71411720683,202.209329486,0.793642421483,0.541445479813,0.894427172188
chr1_43826708_43828703,chr1,43826708,43828703,167,43827708,43829708,Uxs1,-,0,14.485266882,11.6783022587,54.6580546321,0.0708871026335,0.00284773948126,0.152766921477,22.5919872879,1.50217295394,64.2914653755,0.772990480969,0.541445479813,0.894427172188
chr1_43932568_43936355,chr1,43932568,43936355,168,43932007,43934007,Tpp2,+,0,42.1889005735,11.0845362903,165.521476173,0.0447737174451,0.00235490203749,0.126328667708,51.552011901,2.62263215639,181.145487208,0.851654127589,0.541445479813,0.894427172188
chr1_43940614_43942619,chr1,43940614,43942619,169,43932007,43934007,Tpp2,+,6608,11.2396435215,11.7223504119,39.1075233308,1.75218715135e-05,6.91408919638e-05,0.00370906161992,10.249384869,2.44780691212,37.2048797699,0.843428220611,0.541445479813,0.894427172188
chr1_44100660_44103059,chr1,44100660,44103059,170,44102388,44104388,1700029F09Rik,-,0,12.7052052544,10.2894840536,53.6157702154,0.218360489946,0.00525320704286,0.281808175607,24.3147515384,1.30185918191,64.913981748,0.749919298276,0.541445479813,0.894427172188
chr1_44118017_44120560,chr1,44118017,44120560,171,44117968,44119968,Bivm,+,0,7.07640165131,8.88238782703,55.3339283941,0.151307616073,0.00417754259373,0.224104180028,19.2437213423,1.85738077496,75.9136703977,0.805741786917,0.541445479813,0.894427172188
chr1_44146964_44149013,chr1,44146964,44149013,172,44145744,44147744,Ercc5,+,0,6.18751798686,4.82451267371,41.4660470617,0.313638035325,0.00679749905725,0.364651686558,25.9223089616,3.42503278664,56.3538735551,0.448755477296,0.541445479813,0.894427172188
chr1_45794657_45796610,chr1,45794657,45796610,174,45793501,45795501,Wdr75,+,0,14.7142322153,10.5385703558,54.1856404557,0.0489043625565,0.00243292845906,0.130514393367,20.4946775191,1.34304192355,62.1527462968,0.754976193244,0.541445479813,0.894427172188
chr1_45924994_45926509,chr1,45924994,45926509,177,45925594,45927594,Slc40a1,-,0,6.69296681802,13.2251356302,47.5361109334,0.188273746096,0.00476311190891,0.255517032988,15.2070001633,2.82900552188,43.5591254975,0.391885695628,0.541445479813,0.894427172188
chr1_46851951_46854883,chr1,46851951,46854883,178,46853509,46855509,Slc39a10,-,0,12.4008722124,10.8853598339,83.764748983,0.32294156834,0.00695511050733,0.373106749311,35.4734992101,1.04142654732,103.792674749,0.713635196151,0.541445479813,0.894427172188
chr1_51477115_51479727,chr1,51477115,51479727,181,51478399,51480399,Obfc2a,-,0,28.1658986588,11.0352632118,114.699010437,0.00916068572381,0.0011579537264,0.0621184020373,48.0801260085,0.966768319736,119.928011809,0.701704836139,0.541445479813,0.894427172188
chr1_51915097_51915838,chr1,51915097,51915838,184,51915974,51917974,Myo1b,-,137,4.26968885717,16.227413307,25.2259714167,0.0344341414847,0.00210031887121,0.112671559385,6.2924622464,1.48275027499,26.5187730275,0.77091489346,0.541445479813,0.894427172188
chr1_52118531_52121329,chr1,52118531,52121329,185,52117438,52119438,Stat1,+,0,23.3689733659,11.8905693135,90.0348614407,0.164917949728,0.0043946808464,0.23575255679,27.9018390803,1.79953414676,100.690989709,0.801021771133,0.541445479813,0.894427172188
chr1_52227354_52234703,chr1,52227354,52234703,186,52233232,52235232,Gls,-,0,45.1223231035,11.173252505,196.415627791,0.0425937749977,0.00230059337782,0.123415280861,59.0961126714,1.61957563739,222.963292131,0.78486447498,0.541445479813,0.894427172188
chr1_52498999_52502577,chr1,52498999,52502577,190,52500448,52502448,Nab1,-,0,23.6850505169,8.87935557787,119.127131248,0.354164113826,0.0074584295917,0.400107290457,38.1645670349,1.70528544697,126.592524389,0.792850311309,0.541445479813,0.894427172188
chr1_52630632_52631299,chr1,52630632,52631299,191,52628705,52630705,Tmem194b,+,0,5.93148350887,11.9230697075,21.674251788,0.0889700162552,0.00315854134113,0.169439880374,7.53445813423,2.37917128697,16.9146022776,0.839882535745,0.541445479813,0.894427172188
