peak,chr,chromStart,chromEnd,CV_amplitude,CV_phase,CV_mean,CV_pvalue,CV_qvalue,CV_fdr_BH,GF_amplitude,GF_phase,GF_mean,GF_pvalue,GF_qvalue,GF_fdr_BH
chr1_7396573_7399084,chr1,7396573,7399084,24.7264464102,11.6718923061,70.3596217876,0.208021673061,0.00768369965311,0.232564815806,21.5267318916,0.327764957999,166.556837626,0.116175459027,0.00306567600694,0.274925145572
chr1_9236766_9239286,chr1,9236766,9239286,6.78211600815,9.53870150734,33.6803442659,0.20551582404,0.00759974731747,0.230023805569,25.7112218379,0.566992134653,102.17925697,0.0498219263513,0.00303100579363,0.271815973754
chr1_9544502_9549581,chr1,9544502,9549581,67.6748051686,12.0306577482,153.391602165,0.0131423332184,0.000925118654165,0.028000840626,71.7991783555,1.02083621479,363.596290909,0.0555378323713,0.00303100579363,0.271815973754
chr1_9699210_9701658,chr1,9699210,9701658,17.9042191516,11.0034074965,56.3247951467,0.0333892014072,0.00167174954964,0.0505993393337,37.7070249963,0.335579754742,144.583285873,0.114461971058,0.00306567600694,0.274925145572
chr1_9742202_9749359,chr1,9742202,9749359,110.92220438,9.98784255992,210.941212057,0.00639091527295,0.000657826095217,0.0199106174855,141.005094619,0.359672758007,717.171823863,0.109173105771,0.00305881125824,0.274309525384
chr1_9797348_9800531,chr1,9797348,9800531,24.5630747035,11.3875762091,61.8638448294,2.14567048604e-05,5.44010102794e-05,0.00164657150936,50.2146315421,1.30335540068,241.768445354,0.10066637206,0.00304455700197,0.273031225437
chr1_9847962_9849652,chr1,9847962,9849652,9.5654042863,9.9364317535,22.3673651161,1.24063375829e-05,4.01199167214e-05,0.00121432141595,16.9488095438,1.05068323929,67.3769008372,0.0624408905773,0.00303100579363,0.271815973754
chr1_9942270_9945022,chr1,9942270,9945022,60.1143721166,10.0346467577,118.666889708,0.0202903609092,0.00119301646771,0.036109383187,35.3463606932,1.82472539939,354.921217745,0.170757357821,0.00317200424112,0.284460499338
chr1_9966836_9968882,chr1,9966836,9968882,15.4712994658,10.8953351662,35.9389239283,2.79602285879e-05,6.25268699742e-05,0.00189251931426,28.3992956962,0.56309359464,97.899492819,0.0507248558312,0.00303100579363,0.271815973754
chr1_10036444_10041820,chr1,10036444,10041820,165.745985246,10.5048029364,274.571292078,0.00336329785555,0.000506820692757,0.0153400921925,154.778649428,1.38760148807,861.913339001,0.119170675268,0.00306567600694,0.274925145572
chr1_10229923_10234443,chr1,10229923,10234443,146.499085463,11.3185158379,258.92608505,0.0085176259629,0.000744807982519,0.0225433240608,131.912462739,0.683674843014,647.277340119,0.0149079785935,0.0028555817609,0.256084214225
chr1_12657471_12657698,chr1,12657471,12657698,3.71008435314,13.5550143876,15.4766465425,0.156943502968,0.00597733278751,0.180917703906,0.410287701151,3.56247637005,4.02460030875,0.880778198653,0.00989539127479,0.887403587512
chr1_13371129_13375229,chr1,13371129,13375229,180.171684157,11.4275247905,329.047553736,0.0177624579592,0.00110136976498,0.0333354852597,133.302741346,0.193512313881,776.766269408,0.161823653046,0.00313312700015,0.280974047701
chr1_13426024_13427408,chr1,13426024,13427408,8.17070527903,8.05368837207,22.3616294241,0.00160000225292,0.000388156206789,0.0117484390087,19.5777017591,0.439167939413,63.1748816648,0.0856762442265,0.00304455700197,0.273031225437
chr1_13586938_13590760,chr1,13586938,13590760,114.498593907,10.8644784283,197.944405904,0.00650593019697,0.000662136416276,0.0200410792511,40.5727964541,0.429370914947,466.997046005,0.0878852601348,0.00304455700197,0.273031225437
chr1_13658677_13661489,chr1,13658677,13661489,89.4197275754,11.1891992786,135.490684555,0.000906580361617,0.00031943784884,0.00966852009202,56.7585075971,1.99972962656,390.193574029,0.260604379764,0.0038452163687,0.344833135506
chr1_13667604_13670153,chr1,13667604,13670153,27.0334922559,9.54176604239,48.4912861769,0.00220725740299,0.000436379848213,0.0132080382632,56.3368215416,3.08139749634,244.785916123,0.420982840208,0.0050629829429,0.454040583367
chr1_15804909_15806977,chr1,15804909,15806977,63.3036326361,10.5413776364,107.951255836,0.00641845342848,0.000658139678477,0.019920108803,47.7287089598,0.645745214238,243.316322574,0.0238935382336,0.0029624061684,0.265664064058
chr1_16101964_16107932,chr1,16101964,16107932,172.19250673,11.1052825111,312.520746136,0.00177126244123,0.000403595508107,0.0122157449199,136.300128097,1.35917788536,826.651884289,0.112940057967,0.00306527538972,0.274889218831
chr1_16171572_16173345,chr1,16171572,16173345,8.59305436328,10.1532094884,32.9761909495,0.115368500477,0.00457367823521,0.138432875353,20.9809694929,0.217573762805,79.6549765956,0.149196867929,0.00310870823513,0.278784210122
chr1_16517762_16520614,chr1,16517762,16520614,51.6009687392,12.3267549779,94.4905041968,0.00174755512211,0.000402085266508,0.0121700339895,40.3186638831,0.695666536638,198.236100699,0.0120662954501,0.00281942335592,0.25284158365
chr1_16617217_16620001,chr1,16617217,16620001,49.5408333856,10.9705753414,99.9184657635,0.0120692596775,0.000885715163114,0.0268082034783,55.9712759256,1.18558860858,270.35638885,0.0838948545571,0.00303912674631,0.272544248397
chr1_16655381_16658059,chr1,16655381,16658059,48.9028720695,10.8548903969,93.9802582456,0.0176205339383,0.00109533920261,0.0331529564403,69.0195840195,1.22280851825,283.646396433,0.0922842356543,0.00304455700197,0.273031225437
chr1_16664566_16667690,chr1,16664566,16667690,58.693674223,10.1765298422,116.878215108,0.00193163023712,0.000416846921447,0.0126168293768,49.2036567639,0.559461973213,292.150992737,0.0515658556863,0.00303100579363,0.271815973754
chr1_16687514_16689878,chr1,16687514,16689878,39.9842787279,9.46048522077,74.9508702492,0.0040032051787,0.000542188773647,0.0164105883843,51.5117493632,0.459299542206,209.212214054,0.0811331753019,0.00303569292063,0.272236308151
chr1_19176063_19176521,chr1,19176063,19176521,15.9205626898,16.5063618721,49.1683561318,0.0254664635516,0.00138282505636,0.0418543760225,1.94854193578,8.46790938068,11.9167114237,0.7761242579,0.00888136653231,0.796467396177
chr1_20818399_20820890,chr1,20818399,20820890,29.5726981587,10.9596270137,56.4501765006,0.0156058442855,0.00101990739989,0.0308698397,18.4219181744,0.929395779006,120.370144262,0.0343449454223,0.0029998021339,0.269017677172
chr1_20890091_20891906,chr1,20890091,20891906,15.1040644526,10.0474455815,39.2988307206,0.00128181581845,0.000362179757237,0.0109622021075,11.8772108799,19.9987091889,79.758172124,0.260924731508,0.00384713716027,0.345005389163
chr1_21071874_21073250,chr1,21071874,21073250,7.32798622061,14.3248787606,20.4935371029,0.00626991877185,0.000653531721619,0.0197806384065,14.9149452704,0.662517638835,56.59996068,0.027665490736,0.0029998021339,0.269017677172
chr1_21077871_21080257,chr1,21077871,21080257,30.5781684506,11.7656412249,75.1930574162,0.00301468202743,0.000486245354233,0.0147173323202,75.5362058387,0.366176578339,209.608332282,0.107743833041,0.00305801867314,0.274238447563
chr1_21165693_21167342,chr1,21165693,21167342,7.9943689244,10.6419142749,23.0559630441,3.66762005211e-07,6.96322552192e-06,0.000210758011639,11.5413984867,0.535954207888,65.3283321149,0.0570070408226,0.00303100579363,0.271815973754
chr1_21217864_21220149,chr1,21217864,21220149,47.4936367147,10.3918707308,87.5543164696,0.00850551743827,0.000744575673738,0.022536292702,38.3032729928,20.37595888,285.217522599,0.192251993999,0.00345325169846,0.309682342083
chr1_21227482_21231013,chr1,21227482,21231013,8.84809832437,10.0271829447,50.5396484128,0.0188091908618,0.00114138187183,0.0345465435625,15.8113454645,1.71035001124,138.404275625,0.157704852054,0.00313285091391,0.280949288709
chr1_21267610_21272862,chr1,21267610,21272862,7.31015815574,6.83484808391,64.7799539164,0.496010488633,0.01701620226,0.515034439526,48.6414036664,0.971853721196,178.576643616,0.0441926385738,0.003003690903,0.26936641605
chr1_22555824_22556067,chr1,22555824,22556067,5.27295949083,18.9191383823,20.1419552114,0.00423636475955,0.000557295558185,0.0168678299114,1.64629169394,12.208089331,4.40585623417,0.265659524714,0.0038774489238,0.347723701855
chr1_23255677_23258272,chr1,23255677,23258272,55.7730934653,11.6742445059,97.3476089589,0.0084705473614,0.00074331172807,0.0224980364837,35.1364897726,0.150111543457,237.423251956,0.170441775812,0.00317162228153,0.284426245785
chr1_23919346_23922990,chr1,23919346,23922990,112.16075047,11.3773117954,192.363125614,0.00126254735151,0.000360193825421,0.0109020933203,53.7394600819,1.60498588542,466.167052537,0.18805782974,0.00342248000118,0.306922783233
chr1_24004419_24006332,chr1,24004419,24006332,26.0199882759,10.7286601452,59.9122186407,0.000464491598845,0.000242388879136,0.00733645607907,51.0270336079,0.197349289829,211.950949772,0.161060003109,0.00313285091391,0.280949288709
chr1_24096255_24101740,chr1,24096255,24101740,128.929735719,11.1396799223,240.156660991,0.0055231380648,0.00061983221615,0.0187606454817,152.146349965,0.286168222652,696.717697746,0.13487764204,0.00308361724832,0.276534088717
chr1_24106623_24109835,chr1,24106623,24109835,13.0706182682,9.90537297479,42.4756180093,0.0017011343291,0.000397026466743,0.012016917797,34.414589444,0.9606891263,129.107995905,0.0416042281093,0.0029998021339,0.269017677172
chr1_24611284_24616566,chr1,24611284,24616566,2172.48243675,22.2464964851,2840.48792587,0.001768428426,0.000403553724712,0.0122144802495,587.841119388,19.1284696889,3368.15804496,0.399022603949,0.00488107143726,0.437727037168
chr1_24677538_24680512,chr1,24677538,24680512,83.6706773031,10.689740476,143.647233595,0.00486532283481,0.000589386602336,0.0178391390605,43.9224050367,1.20419053797,445.306641851,0.737218460782,0.00850079978202,0.762338750819
chr1_24683821_24684582,chr1,24683821,24684582,12.969160164,19.7856139427,48.5329666784,0.000234007629564,0.000176572567133,0.00534437424752,5.29553708648,0.334573127112,37.8423315952,0.119856723479,0.00306567600694,0.274925145572
chr1_24698639_24701226,chr1,24698639,24701226,5.69491711297,19.0173890041,30.4083113075,0.140381621143,0.00542177637477,0.164102513225,16.7526479775,20.1047794071,58.6824753435,0.250701707428,0.00379297053263,0.340147808663
chr1_26686670_26688547,chr1,26686670,26688547,3.1096622394,18.6914620456,90.3810177113,0.1592846824,0.00605450535635,0.18325350893,5.68543522457,7.4714306877,54.5858676102,0.847366546908,0.00959053175281,0.860064250847
chr1_30871290_30874885,chr1,30871290,30874885,104.972533477,10.8513968673,184.053184127,0.000970412080911,0.000326290513469,0.00987593172432,81.4473113607,1.78694693496,399.955615603,0.163258876564,0.00314295358049,0.281855280429
chr1_30944881_30951696,chr1,30944881,30951696,321.103860407,10.4467503844,483.511361073,0.00126226026033,0.000360193825421,0.0109020933203,68.1121601968,1.78187440754,1136.83964387,0.799537045741,0.00911253817018,0.817198515855
chr1_31018402_31020508,chr1,31018402,31020508,7.93511246834,14.8365807768,37.8540307977,0.0183875818251,0.00112525121466,0.0340583121787,4.45670536699,20.3583126474,90.8345270321,0.786977614362,0.00898744307184,0.805980178352
chr1_33528207_33528368,chr1,33528207,33528368,2.47581048227,1.26477309207,10.4478844155,0.0370051765201,0.00180578654219,0.0546562767324,2.69010970127,11.4764938078,4.70521183653,0.105945929467,0.00304853084097,0.273387593254
chr1_33668876_33671071,chr1,33668876,33671071,33.8198410871,10.9257523106,59.5770302773,0.00639075111666,0.000657826095217,0.0199106174855,43.2939607348,0.314727472818,150.821986798,0.124114270203,0.00307879183773,0.27610135326
chr1_33719567_33721026,chr1,33719567,33721026,20.6028713148,12.5334085655,40.908046562,0.00897899014987,0.000761108597038,0.0230366995939,31.2087113094,19.8404964781,119.917652423,0.292915185078,0.00406320548822,0.364382067057
chr1_33756202_33758489,chr1,33756202,33758489,25.2828870616,13.4926005414,51.9223543863,0.0112151272101,0.000850609637976,0.0257456541393,23.096406236,18.7629539523,96.2342864498,0.433021214882,0.00515872783877,0.462626839505
chr1_33813132_33815008,chr1,33813132,33815008,46.3566795349,11.4775164301,91.4082041313,0.0196749142921,0.00117228077784,0.035481769913,43.5920620875,1.63279822455,233.648778083,0.194175958971,0.00346478972444,0.310717054643
chr1_34119532_34124780,chr1,34119532,34124780,82.2766685763,10.4045430703,155.535865924,0.00482496672519,0.000587456201816,0.0177807110556,36.1670864282,2.27041360807,519.70958805,0.833864022344,0.00945548812472,0.847953744379
chr1_34432626_34435493,chr1,34432626,34435493,21.4851177022,10.3225955791,53.5795785127,0.0513654373754,0.00232129007808,0.0702591751129,66.4885057736,0.795977163444,160.799560029,0.0117091620619,0.00281942335592,0.25284158365
chr1_34438447_34440962,chr1,34438447,34440962,31.0659089596,11.5689969552,73.7623770983,0.0183885060365,0.00112525121466,0.0340583121787,54.7286445664,1.79992118123,199.795177119,0.230440172777,0.00367280578145,0.329371617168
chr1_34458767_34461044,chr1,34458767,34461044,49.4453690518,11.3615805164,98.2649485419,0.0602459197821,0.00264770755726,0.0801389497459,50.514495633,0.375068568929,206.738652959,0.100105511996,0.00304455700197,0.273031225437
chr1_34801442_34802920,chr1,34801442,34802920,6.07100250571,13.3199650739,23.823198627,0.0105085144254,0.000822234721168,0.0248868221184,12.946130424,19.8843137507,54.8932355784,0.284151662315,0.00400312907896,0.358994506362
chr1_34827667_34829568,chr1,34827667,34829568,1.22946669617,5.56812518448,26.4207292264,0.76893755563,0.0256991958021,0.777845179784,20.1890387801,20.0150822701,56.575456421,0.257560622484,0.00383434482718,0.343858192254
chr1_34839960_34844242,chr1,34839960,34844242,108.262741249,10.9004569822,192.385901567,0.0190979244241,0.0011505480257,0.0348239782595,79.5796595424,1.73035903825,518.564345869,0.215453927277,0.00358346992898,0.321360114261
chr1_34848182_34853914,chr1,34848182,34853914,116.136945585,11.2511339858,246.212551331,0.0252559487554,0.00137556187179,0.0416345390614,146.737030076,0.757024721754,722.962124954,0.00247685927964,0.00271635542397,0.243598608812
chr1_34856727_34859938,chr1,34856727,34859938,12.4055502046,10.2387754414,59.2730636606,0.0288957949831,0.00150582561469,0.045577270394,41.795915615,0.247890644881,143.253743497,0.142878776278,0.00310870823513,0.278784210122
chr1_36067574_36072876,chr1,36067574,36072876,111.712389083,11.3301309906,238.64933492,0.0208243921684,0.0012138577462,0.036740192343,116.29392117,0.214489959979,476.354051266,0.153879303138,0.00312409557191,0.280164123
chr1_36086724_36091455,chr1,36086724,36091455,36.6036130312,12.1053559107,110.103952439,0.000176373589837,0.000154880299248,0.00468780794316,55.9436338961,0.210188301033,186.020422259,0.154755240351,0.00312966751489,0.280663806343
chr1_36241124_36245121,chr1,36241124,36245121,58.6297985605,10.7297353465,142.090238042,0.0429088664044,0.00201759784541,0.0610672322544,47.6075980603,19.8800028033,383.190138346,0.285017205178,0.00400762019451,0.35939726275
chr1_36269751_36276855,chr1,36269751,36276855,157.663396826,10.4237525298,316.039123946,0.0222877779086,0.00126703430607,0.0383497030487,85.7291555864,1.69059012334,859.295367847,0.153683735122,0.00312181167284,0.279959306417
chr1_36307321_36309486,chr1,36307321,36309486,25.8809330147,11.6595837575,67.9469329163,0.00662108316677,0.000666453686224,0.0201717513408,39.1539692247,0.486574886118,167.490816452,0.0684198094031,0.00303100579363,0.271815973754
chr1_36367117_36369992,chr1,36367117,36369992,82.5587985766,10.5113443657,147.516089652,0.00276904168778,0.000470967806589,0.0142549222555,54.6801215203,0.334300125743,374.613744815,0.114742613427,0.00306567600694,0.274925145572
chr1_36444082_36445592,chr1,36444082,36445592,20.2961276555,11.2746616989,49.3376617571,4.93463989223e-05,8.2508866017e-05,0.00249732031364,34.90362936,1.7885117063,114.011145044,0.163570009312,0.00314388344403,0.281938669172
chr1_36470697_36479107,chr1,36470697,36479107,340.151027296,10.7098148399,604.907446716,0.00845957599748,0.000742635377258,0.0224775651731,304.809616789,0.220924942737,1682.21497124,0.14849932822,0.00310870823513,0.278784210122
chr1_36489848_36494669,chr1,36489848,36494669,35.9645323318,12.687784495,101.902460592,0.0210524569646,0.00122279192494,0.03701060578,105.864449616,1.06341681717,279.923235406,0.0653833182315,0.00303100579363,0.271815973754
chr1_36511176_36514068,chr1,36511176,36514068,39.2651258124,11.7697244671,82.3068892178,0.0105926579746,0.000825123423589,0.0249742553311,36.8960303622,0.270133451333,152.360506978,0.13823256035,0.00308832534551,0.276956303688
chr1_36546028_36547533,chr1,36546028,36547533,17.5519019633,12.7068850902,42.4749048441,8.943087799e-05,0.000110462312449,0.00334339556567,15.9915526343,20.1441806499,83.5990547014,0.242363655484,0.00374456254986,0.335806654647
chr1_36555921_36558696,chr1,36555921,36558696,34.4573460598,12.2018940169,79.2969261124,0.0386626636779,0.0018660934882,0.0564816049498,48.4148121655,0.40420890469,164.362688858,0.0935528861489,0.00304455700197,0.273031225437
chr1_36690738_36692994,chr1,36690738,36692994,75.6571134534,11.094171983,131.395391845,0.00194412521906,0.000417869819567,0.0126477897375,47.6245824916,0.211599699794,316.294673133,0.154467878913,0.00312759755222,0.28047817525
chr1_36707314_36710674,chr1,36707314,36710674,40.0072251905,11.3178738733,108.649938352,0.056393781127,0.0025051626657,0.075824501245,64.7486137795,0.763015769756,274.556924068,0.00389692463815,0.00271635542397,0.243598608812
chr1_36904065_36906353,chr1,36904065,36906353,4.00682579408,18.384934841,25.016012481,0.384981407118,0.0134750597744,0.407853629878,16.7960116267,19.7553307038,61.9841057973,0.309727741639,0.00418738474511,0.375518273297
chr1_36917654_36921453,chr1,36917654,36921453,9.40750727468,10.5579086509,50.8209155008,0.0286392135854,0.00149642724297,0.0452928070903,35.0120451736,0.404335758643,130.873495191,0.0993452258207,0.00304455700197,0.273031225437
chr1_36925241_36928928,chr1,36925241,36928928,1.98718851711,10.8719509441,40.8645126865,0.599681110704,0.0203192824487,0.61500974704,34.4509414932,0.646802379196,121.069418298,0.0313141235303,0.0029998021339,0.269017677172
chr1_36934892_36940976,chr1,36934892,36940976,178.82267602,10.8487798892,333.60736731,0.0125076016177,0.000902197108638,0.0273070674107,173.607753669,1.734142186,934.465104358,0.216273041227,0.00358669623762,0.321649444695
chr1_36970264_36972179,chr1,36970264,36972179,7.49082588071,13.1726834683,32.9667166368,0.00619997016569,0.000650014416297,0.0196741790833,9.57567006086,0.741746839524,61.8386147391,0.00114452259538,0.00266018832929,0.238561629481
chr1_37028360_37030232,chr1,37028360,37030232,17.469913105,12.1387902843,41.4924561639,0.00130554081031,0.000364130596441,0.0110212487362,18.9783070928,20.6714112656,87.1440917187,0.753220904728,0.00865486976781,0.776155512008
chr1_37298571_37302826,chr1,37298571,37302826,56.8368668842,11.7685631784,136.499685251,0.00562828443517,0.000624031207003,0.0188877375829,99.9435540096,0.950754658169,371.404899449,0.0393003211554,0.0029998021339,0.269017677172
chr1_37428319_37432490,chr1,37428319,37432490,85.4668139828,10.5000445116,174.006436534,0.00597279861017,0.0006388837464,0.019337283797,83.1773037731,1.23907398747,504.972680119,0.0959445761649,0.00304455700197,0.273031225437
chr1_37499851_37505924,chr1,37499851,37505924,24.0316268995,12.2092082699,84.3276199361,0.0282940071258,0.00148366078205,0.044906400832,81.9471440653,20.3373021299,238.461578081,0.200727958994,0.00350195683876,0.314050144732
chr1_37511209_37513429,chr1,37511209,37513429,9.50720527403,9.09732219613,41.2600822369,0.0199294583464,0.00118122889854,0.0357526053356,44.5312674532,0.367949963842,106.564487158,0.107354002865,0.00305435142491,0.273909574339
chr1_37515762_37519160,chr1,37515762,37519160,20.4383130148,10.8308538898,65.2490905241,0.0018605783658,0.000413072283581,0.0125025812932,39.9528216328,1.14556212764,163.257230387,0.0748534926007,0.00303432710421,0.272113823818
chr1_37522202_37524062,chr1,37522202,37524062,12.6069980735,10.9598428729,39.7653806671,0.00187365156757,0.000413598441299,0.0125185066649,40.3453800343,0.15332770916,104.963452224,0.169804400561,0.00316770094946,0.28407458671
chr1_37536919_37542093,chr1,37536919,37542093,126.191568351,11.737132564,237.443167216,0.00664444323914,0.000667456419259,0.0202021013589,96.4464616816,0.722954825297,538.179838725,0.00559879874101,0.00274264608383,0.245956315065
chr1_37565822_37569682,chr1,37565822,37569682,13.012765891,13.2268681156,65.8312076275,0.250578760588,0.00909357759996,0.275238009687,41.5284046776,20.3956860091,133.583048893,0.18790975216,0.00342197970664,0.306877917582
chr1_37582865_37584941,chr1,37582865,37584941,2.72243297017,17.6213591179,36.3626505259,0.527929897665,0.0180324024582,0.545792072254,18.7610186836,19.7912614601,61.1662080657,0.302670782339,0.00412623900752,0.370034816868
chr1_37613319_37617564,chr1,37613319,37617564,21.2700284085,11.9762026065,79.1297770093,0.00479776791688,0.000586449689892,0.0177502466607,41.4892447646,19.9412924904,140.771563634,0.272644263883,0.00392345465159,0.351849425311
chr1_37663138_37667614,chr1,37663138,37667614,63.5433056574,11.1954343097,135.159764569,0.00776610223536,0.000713627842415,0.0215995855146,88.2028815369,20.2651834092,359.922504852,0.216419012578,0.00358711843035,0.321687306295
chr1_37676838_37679663,chr1,37676838,37679663,12.9537042989,17.3633027823,41.1233165348,0.00633692526454,0.000656124679588,0.0198591202342,19.4914851822,19.9253193375,69.920145641,0.275882711117,0.003945349962,0.353812963332
chr1_37693358_37695504,chr1,37693358,37695504,8.94971335228,13.6589277226,29.0944914963,0.162439762235,0.00616130065167,0.186485913801,13.9525713242,19.8899370928,58.0269100418,0.283021531988,0.00399234787511,0.358027664454
chr1_37718459_37721183,chr1,37718459,37721183,30.8825446793,12.6840339843,78.6003562899,0.1347900101,0.00523467329309,0.158439408771,42.905780004,20.2709866425,165.261419371,0.215162454179,0.00358170726553,0.321202041292
chr1_37863743_37866792,chr1,37863743,37866792,17.7763672587,13.6876689698,64.0499427561,0.0326695400765,0.00164579773495,0.0498138480632,49.7835324342,0.995121605389,201.185230868,0.049584233132,0.00303100579363,0.271815973754
chr1_37871499_37873799,chr1,37871499,37873799,10.5229845332,9.97435271582,40.4861360543,0.260282234763,0.00940974691597,0.284807600127,27.3728291533,19.3843356758,123.698200866,0.366988513019,0.00461887440798,0.414213607738
chr1_37888718_37892302,chr1,37888718,37892302,38.331490743,10.429810867,97.3338030196,0.00281744146629,0.00047418420795,0.0143522740293,125.970859408,0.95105799525,381.348499607,0.0393706774451,0.0029998021339,0.269017677172
chr1_37995751_38000330,chr1,37995751,38000330,153.386972493,10.883298911,262.382393288,0.0106543812517,0.000826947996528,0.0250294802213,132.562861584,1.83444487691,765.852803025,0.237817200072,0.00371513586168,0.333167714161
chr1_38127839_38130698,chr1,38127839,38130698,52.6509349943,11.9879715524,106.61469106,0.00513515373596,0.00060026330018,0.0181683472994,22.5515786046,20.21897722,251.140356535,0.226384686533,0.00364363397879,0.326755534428
chr1_38985793_38989498,chr1,38985793,38989498,70.9707035312,11.3365513783,148.290187719,0.0268619416555,0.00143095502744,0.043311140129,139.105102124,1.79832916802,495.394701492,0.165521003396,0.00315215037182,0.28268003464
chr1_39104871_39106998,chr1,39104871,39106998,3.54915191279,15.1565278673,27.457716852,0.127542661527,0.00498678024473,0.15093635637,44.5440239185,0.462186259528,93.397364035,0.0804813237369,0.00303460222973,0.272138496655
chr1_39186007_39188292,chr1,39186007,39188292,4.00017938405,14.9195288876,37.4756036978,0.247864678874,0.00900452147071,0.272542521416,29.3330849264,1.07335606028,69.9984396774,0.0676788853162,0.00303100579363,0.271815973754
chr1_39192079_39198350,chr1,39192079,39198350,39.4392388402,10.4835315283,195.795992078,0.174995395955,0.00658369963303,0.199270789021,295.106277224,0.707969483395,643.625218401,0.00915055600442,0.00280957396799,0.251958305573
chr1_39202887_39207854,chr1,39202887,39207854,24.973404827,9.75101474231,79.2635493667,4.31378813442e-05,7.79906725057e-05,0.00236056681088,49.1988197774,0.95435546428,271.260715418,0.0401354583916,0.0029998021339,0.269017677172
chr1_39234033_39236074,chr1,39234033,39236074,11.0951357697,9.73058347494,34.7480218218,0.000754740783793,0.000299566997438,0.00906708314042,18.9180796238,1.25766382845,99.3051647248,0.100123334926,0.00304455700197,0.273031225437
chr1_39239620_39242221,chr1,39239620,39242221,4.49215364629,9.61136668933,39.0325814158,0.175020372633,0.00658416723377,0.199284942032,9.53269981949,1.68460998156,84.2229905204,0.152465325741,0.0031170506481,0.279532344985
chr1_39258480_39261024,chr1,39258480,39261024,9.94763430915,15.8007143338,35.7678449958,0.191397251072,0.00713232917528,0.215876322059,26.6762919939,0.558348035221,85.1612543819,0.0518237966396,0.00303100579363,0.271815973754
chr1_39366978_39371486,chr1,39366978,39371486,92.5881003693,11.1496224613,186.871001702,0.00826152541551,0.000735070549608,0.0222485982915,64.3726280927,0.632823164167,467.666867041,0.0345586734075,0.0029998021339,0.269017677172
chr1_39477035_39479484,chr1,39477035,39479484,36.4081183933,11.5155026041,68.2568873712,0.0167849761859,0.00106430715508,0.032213700256,50.326221654,0.993838761779,185.0241731,0.0492870809372,0.00302994625649,0.27172095608
chr1_39534968_39537493,chr1,39534968,39537493,41.4391289092,11.5309055059,90.0658299754,0.00763034749399,0.000708941620611,0.0214577462496,61.9397577333,0.61341405473,227.865424883,0.0390617004307,0.0029998021339,0.269017677172
chr1_39575290_39578310,chr1,39575290,39578310,50.6670041986,11.1813519084,119.176928912,0.0198864017056,0.00117986509242,0.0357113266112,68.9096675567,0.374091174804,250.25975632,0.106003655948,0.00304853084097,0.273387593254
chr1_39755943_39756808,chr1,39755943,39756808,17.4919462823,16.1067775705,44.5750300715,0.0713601807081,0.00304334559186,0.0921138434555,0.42505159137,19.3199109225,9.42152154954,0.854123733566,0.00965490755941,0.865837374936
