gene_id	q1_FPKM	q2_FPKM	q3_FPKM	q4_FPKM	q1_FPKMr	q2_FPKMr	q3_FPKMr	q4_FPKMr
0610037P05Rik	26.5773	25.7536	30.717	25.8616	26.5773	25.7536	30.717	25.8616
0610038B21Rik	0.0180343	0.0149022	0.0384646	0.0864093	0.0180343	0.0149022	0.0384646	0.0864093
0610038L08Rik	0.602359	0.514913	0.398719	0.338379	0.602359	0.514913	0.398719	0.338379
0610039K10Rik	0.222697	0.36806	0.305471	0.182929	0.222697	0.36806	0.305471	0.182929
0610040B10Rik	2.30526	1.07705	2.45925	2.20985	2.30526	1.07705	2.45925	2.20985
0610040F04Rik	0.0410375	0.178614	0.35566	0.350687	0.0410375	0.178614	0.35566	0.350687
0610040J01Rik	34.3189	41.7523	40.0706	29.7936	34.3189	41.7523	40.0706	29.7936
0610043K17Rik	0.0573034	0.0473589	0.12224	0.109843	0.0573034	0.0473589	0.12224	0.109843
0910001L09Rik	67.5356	73.6648	78.7667	57.5499	67.5356	73.6648	78.7667	57.5499
100043387	0.789058	0.31907	0.411783	0.723957	0.789058	0.31907	0.411783	0.723957
1100001G20Rik	7.78313	4.84611	4.09761	5.1355	7.78313	4.84611	4.09761	5.1355
1110001A16Rik	9.07109	8.63884	9.51043	6.88424	9.07109	8.63884	9.51043	6.88424
1110001J03Rik	50.104	51.1517	54.1961	48.8912	50.104	51.1517	54.1961	48.8912
1110002B05Rik	92.8915	89.7688	73.7657	92.1282	92.8915	89.7688	73.7657	92.1282
1110002L01Rik	1.03797	0.67342	1.08227	1.33352	1.03797	0.67342	1.08227	1.33352
1110002N22Rik	1.42729	1.85079	2.36516	1.8307	1.42729	1.85079	2.36516	1.8307
1110003E01Rik	38.1115	36.1041	35.2296	29.0612	38.1115	36.1041	35.2296	29.0612
1110004E09Rik	6.66926	6.00282	6.84809	7.03268	6.66926	6.00282	6.84809	7.03268
1110004F10Rik	22.6905	21.872	23.2436	21.2866	22.6905	21.872	23.2436	21.2866
1110005A03Rik	10.7892	11.2211	10.5652	11.1579	10.7892	11.2211	10.5652	11.1579
1110006O24Rik	1.30531	1.04392	0.85326	1.89664	1.30531	1.04392	0.85326	1.89664
1110007C09Rik	83.8852	100.14	129.491	91.9261	83.8852	100.14	129.491	91.9261
1110008F13Rik	15.3003	17.0213	16.2303	13.64	15.3003	17.0213	16.2303	13.64
1110008J03Rik	2.80535	2.83275	2.78658	2.82464	2.80535	2.83275	2.78658	2.82464
1110008L16Rik	1.23388	1.35714	1.08923	0.947445	1.23388	1.35714	1.08923	0.947445
1110008P14Rik	37.981	33.9868	39.4482	26.4602	37.981	33.9868	39.4482	26.4602
1110012J17Rik	0.210377	0.190658	0.217102	0.266618	0.210377	0.190658	0.217102	0.266618
1110012L19Rik	18.3371	16.3044	14.7413	15.73	18.3371	16.3044	14.7413	15.73
1110014N23Rik	11.7385	10.1775	10.4786	10.9476	11.7385	10.1775	10.4786	10.9476
1110015O18Rik	0	0	0	0	0	0	0	0
1110017D15Rik	0.0839705	0.138357	0.358301	0.241473	0.0839705	0.138357	0.358301	0.241473
1110017F19Rik	39.7342	35.2295	37.4775	40.6189	39.7342	35.2295	37.4775	40.6189
1110018G07Rik	7.79977	7.05424	6.94818	8.57777	7.79977	7.05424	6.94818	8.57777
1110018J18Rik	5.53928	4.98665	5.2145	6.4354	5.53928	4.98665	5.2145	6.4354
1110019D14Rik	1.58088	1.04809	1.23502	1.47969	1.58088	1.04809	1.23502	1.47969
1110020A21Rik	2.73279	2.02679	3.0842	2.7742	2.73279	2.02679	3.0842	2.7742
1110020G09Rik	3.07631	2.64599	2.66244	2.48173	3.07631	2.64599	2.66244	2.48173
1110021J02Rik	2.66163	3.17097	2.65205	2.74651	2.66163	3.17097	2.65205	2.74651
1110021L09Rik	18.848	14.3041	11.3269	18.1822	18.848	14.3041	11.3269	18.1822
1110028C15Rik	1.24898	1.12139	1.2625	1.30112	1.24898	1.12139	1.2625	1.30112
1110028F11Rik	0.0285498	0.0864986	0.0304453	0.0547154	0.0285498	0.0864986	0.0304453	0.0547154
1110028F18Rik	0.0209169	0.0518531	0.0223067	0.140311	0.0209169	0.0518531	0.0223067	0.140311
1110031I02Rik	21.2847	21.4606	21.7716	17.8749	21.2847	21.4606	21.7716	17.8749
1110032A03Rik	15.6352	13.0068	13.5865	14.477	15.6352	13.0068	13.5865	14.477
1110032A04Rik	0.153478	0.274136	0.376482	0.45597	0.153478	0.274136	0.376482	0.45597
1110032F04Rik	0.0501268	0.0248517	0.0641459	0.0864609	0.0501268	0.0248517	0.0641459	0.0864609
1110034A24Rik	1.07518	1.25186	0.917252	1.32494	1.07518	1.25186	0.917252	1.32494
1110034B05Rik	2.95801	2.59415	2.55773	2.6814	2.95801	2.59415	2.55773	2.6814
1110034G24Rik	3.24782	3.31979	2.76285	3.13031	3.24782	3.31979	2.76285	3.13031
1110035M17Rik	0.142349	0.117653	0.0759195	0.0682202	0.142349	0.117653	0.0759195	0.0682202
1110036E04Rik	0.0414473	0.137009	0.0884098	0.119166	0.0414473	0.137009	0.0884098	0.119166
1110037F02Rik	3.31788	3.14287	3.18904	3.26179	3.31788	3.14287	3.18904	3.26179
1110038B12Rik	133.637	121.428	132.005	94.1702	133.637	121.428	132.005	94.1702
1110038D17Rik	84.6975	72.1943	73.8396	75.4122	84.6975	72.1943	73.8396	75.4122
1110038F14Rik	11.5783	9.41273	10.6043	13.0733	11.5783	9.41273	10.6043	13.0733
1110046J04Rik	1.78223	2.08947	2.69662	1.6286	1.78223	2.08947	2.69662	1.6286
1110049F12Rik	31.7762	27.333	25.2917	25.9221	31.7762	27.333	25.2917	25.9221
1110050K14Rik	3.18264	2.79248	2.77582	3.50042	3.18264	2.79248	2.77582	3.50042
1110051M20Rik	0.522814	0.664623	0.557533	0.706526	0.522814	0.664623	0.557533	0.706526
1110054M08Rik	17.2882	11.8101	12.3961	16.6732	17.2882	11.8101	12.3961	16.6732
1110054O05Rik	2.87667	2.38349	2.34286	2.86255	2.87667	2.38349	2.34286	2.86255
1110057K04Rik	13.5885	12.9833	13.1254	13.9788	13.5885	12.9833	13.1254	13.9788
1110058L19Rik	12.3537	16.564	16.4565	10.2187	12.3537	16.564	16.4565	10.2187
1110059E24Rik	34.1035	24.8568	23.1892	28.8634	34.1035	24.8568	23.1892	28.8634
1110059G10Rik	4.0566	4.35499	3.52986	3.56204	4.0566	4.35499	3.52986	3.56204
1110059M19Rik	0	0	0	0	0	0	0	0
1110065P20Rik	12.7625	15.4398	14.5248	10.9265	12.7625	15.4398	14.5248	10.9265
1110067D22Rik	12.0587	11.4602	19.126	15.5043	12.0587	11.4602	19.126	15.5043
1190002F15Rik	1.19201	2.1259	1.73985	0.841838	1.19201	2.1259	1.73985	0.841838
1190002H23Rik	2.94518	4.48045	5.74665	4.10543	2.94518	4.48045	5.74665	4.10543
1190002N15Rik	3.5525	2.74632	3.36135	3.8243	3.5525	2.74632	3.36135	3.8243
1190003J15Rik	15.0673	18.3659	17.4141	16.131	15.0673	18.3659	17.4141	16.131
1190003K10Rik	0	0	0	0	0	0	0	0
1190005F20Rik	16.3346	13.8248	17.5944	18.4513	16.3346	13.8248	17.5944	18.4513
1190005I06Rik	0.179199	0.518325	0.191124	0.343483	0.179199	0.518325	0.191124	0.343483
1190007F08Rik	5.20995	4.73083	4.85319	4.95933	5.20995	4.73083	4.85319	4.95933
1190007I07Rik	3.5739	6.29481	4.95919	4.17437	3.5739	6.29481	4.95919	4.17437
1200009I06Rik	76.7206	71.3502	52.968	76.8721	76.7206	71.3502	52.968	76.8721
1200011I18Rik	4.40859	3.96534	3.45689	3.63709	4.40859	3.96534	3.45689	3.63709
1200011M11Rik	3.82658	4.12019	3.6515	4.55133	3.82658	4.12019	3.6515	4.55133
1200014J11Rik	3.10158	3.15167	2.74365	3.03579	3.10158	3.15167	2.74365	3.03579
1200016B10Rik	4.46006	4.0203	3.98664	4.26719	4.46006	4.0203	3.98664	4.26719
1300001I01Rik	5.5776	6.50207	5.02897	4.54531	5.5776	6.50207	5.02897	4.54531
1300002E11Rik	17.3638	13.8221	14.463	16.0232	17.3638	13.8221	14.463	16.0232
1300002K09Rik	3.00888	2.24335	1.761	1.8238	3.00888	2.24335	1.761	1.8238
1300010F03Rik	10.9883	10.5242	8.67463	10.0179	10.9883	10.5242	8.67463	10.0179
1300014I06Rik	17.6881	16.6904	17.7067	22.5542	17.6881	16.6904	17.7067	22.5542
1300015D01Rik	0.116404	0	0.0077582	0.0209142	0.116404	0	0.0077582	0.0209142
1300017J02Rik	0.011491	0	0	0	0.011491	0	0	0
1300018I17Rik	10.5374	8.66875	9.26553	9.06989	10.5374	8.66875	9.26553	9.06989
1300018J18Rik	6.40327	6.23211	6.01669	5.42122	6.40327	6.23211	6.01669	5.42122
1500001M20Rik	5.01727	5.37142	3.84829	3.00801	5.01727	5.37142	3.84829	3.00801
1500002O10Rik	0	0.0286642	0.0369933	0	0	0.0286642	0.0369933	0
1500002O20Rik	7.72126	7.34001	7.48314	6.64553	7.72126	7.34001	7.48314	6.64553
1500003O03Rik	186.748	161.245	224.824	169.923	186.748	161.245	224.824	169.923
1500004A13Rik	0.31972	0.269922	0.296471	0.339667	0.31972	0.269922	0.296471	0.339667
1500009C09Rik	0	0.0146539	0	0	0	0.0146539	0	0
1500009L16Rik	3.09829	1.66714	1.28069	2.5548	3.09829	1.66714	1.28069	2.5548
1500010J02Rik	0.952027	1.13727	1.02505	1.09454	0.952027	1.13727	1.02505	1.09454
1500011B03Rik	14.0279	14.6365	14.2834	5.59202	14.0279	14.6365	14.2834	5.59202
1500011H22Rik	2.56281	2.496	2.79827	2.42678	2.56281	2.496	2.79827	2.42678
1500011K16Rik	27.2358	17.9478	18.2799	19.6888	27.2358	17.9478	18.2799	19.6888
1500012F01Rik	36.6838	40.6786	33.4815	29.532	36.6838	40.6786	33.4815	29.532
1500012K07Rik	0.174855	0.00920197	0.248669	0.0558627	0.174855	0.00920197	0.248669	0.0558627
1500015A07Rik	1.86333	1.20806	1.37567	1.73062	1.86333	1.20806	1.37567	1.73062
1500015L24Rik	0.0413753	0.0341927	0	0	0.0413753	0.0341927	0	0
1500015O10Rik	0.0347371	0	0	0	0.0347371	0	0	0
1500016L03Rik	0	0	0	0	0	0	0	0
1500017E21Rik	0.154928	0.216027	0.237494	0.167016	0.154928	0.216027	0.237494	0.167016
1500031L02Rik	14.9864	14.5109	12.4058	11.3457	14.9864	14.5109	12.4058	11.3457
1500032L24Rik	586.665	498.292	597.602	515.221	586.665	498.292	597.602	515.221
1520402A15Rik	0.0972402	0.160705	0.248881	0.223641	0.0972402	0.160705	0.248881	0.223641
1600002D24Rik	0	0	0	0	0	0	0	0
1600002H07Rik	1.09226	1.14592	0.994653	0.940822	1.09226	1.14592	0.994653	0.940822
1600002K03Rik	10.3001	8.59975	8.8332	8.39532	10.3001	8.59975	8.8332	8.39532
1600010M07Rik	1.03645	0.713819	0.736988	1.26931	1.03645	0.713819	0.736988	1.26931
1600012F09Rik	2.89455	2.66559	3.28304	2.63956	2.89455	2.66559	3.28304	2.63956
1600012H06Rik	13.9592	13.7234	11.7296	13.8493	13.9592	13.7234	11.7296	13.8493
1600014C10Rik	10.7377	12.581	8.41529	10.0314	10.7377	12.581	8.41529	10.0314
1600014C23Rik	0	0	0	0	0	0	0	0
1600014K23Rik	0	0	0	0	0	0	0	0
1600015I10Rik	0.104384	0.0258756	0.0333944	0.070018	0.104384	0.0258756	0.0333944	0.070018
1600016N20Rik	3.78301	3.3713	4.26829	4.67675	3.78301	3.3713	4.26829	4.67675
1600019K03Rik	0	0	0	0	0	0	0	0
1600020E01Rik	10.7874	10.1922	16.4259	11.0492	10.7874	10.1922	16.4259	11.0492
1600021P15Rik	15.2369	12.002	11.7737	15.3699	15.2369	12.002	11.7737	15.3699
1600025M17Rik	0	0	0	0	0	0	0	0
1600027N09Rik	3.10455	4.35525	3.8755	2.90591	3.10455	4.35525	3.8755	2.90591
1600029D21Rik	0.275315	0.38315	0.54084	0.30548	0.275315	0.38315	0.54084	0.30548
1600029I14Rik	0	0.208232	0.0559437	0.0689958	0	0.208232	0.0559437	0.0689958
1600029O15Rik	0.0741204	0.0489968	0.0632346	0.0568217	0.0741204	0.0489968	0.0632346	0.0568217
1700001C02Rik	0	0	0	0	0	0	0	0
1700001C19Rik	0.146543	0.0518949	0.0536682	0.0802447	0.146543	0.0518949	0.0536682	0.0802447
1700001D01Rik	0	0	0	0	0	0	0	0
1700001F09Rik	0	0	0	0	0	0	0	0
1700001G11Rik	0	0.0347359	0.0448291	0.0402828	0	0.0347359	0.0448291	0.0402828
1700001G17Rik	0.069373	0.0286642	0	0.0997249	0.069373	0.0286642	0	0.0997249
1700001J03Rik	0.289627	0.136771	0.22064	0.436182	0.289627	0.136771	0.22064	0.436182
1700001J11Rik	0.0210242	0.00868613	0.0112101	0	0.0210242	0.00868613	0.0112101	0
1700001K19Rik	0.221808	0.0785551	0.0675873	0.151833	0.221808	0.0785551	0.0675873	0.151833
1700001K23Rik	0.0833849	0	0.177897	0	0.0833849	0	0.177897	0
1700001L05Rik	0.591242	1.47576	0.901937	0.625556	0.591242	1.47576	0.901937	0.625556
1700001L19Rik	0.0444996	0.0245137	0.0474549	0.0568565	0.0444996	0.0245137	0.0474549	0.0568565
1700001O22Rik	0.180743	0.104226	0.170335	0.0602937	0.180743	0.104226	0.170335	0.0602937
1700001P01Rik	0	0.0933695	0.06025	0	0	0.0933695	0.06025	0
1700003C15Rik	0	0	0	0	0	0	0	0
1700003D09Rik	2.2284	3.99702	4.83737	2.76964	2.2284	3.99702	4.83737	2.76964
1700003E16Rik	0.335149	0.266284	0.329912	0.321159	0.335149	0.266284	0.329912	0.321159
1700003F12Rik	0	0.111279	0.143613	0.172065	0	0.111279	0.143613	0.172065
1700003F17Rik	0.192264	0.158903	0.136717	0.0614261	0.192264	0.158903	0.136717	0.0614261
1700003G13Rik	0	0	0	0	0	0	0	0
1700003G18Rik	0	0.047132	0	0	0	0.047132	0	0
1700003H04Rik	0	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0	0	0
1700003M02Rik	0.0157348	0	0	0	0.0157348	0	0	0
1700003M07Rik	0.0936779	0.0994129	0.128442	0.205186	0.0936779	0.0994129	0.128442	0.205186
1700003P14Rik	0.0300857	0	0.0320859	0	0.0300857	0	0.0320859	0
1700006A11Rik	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0	0	0
1700006F04Rik	0	0	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	0	0
1700007B14Rik	0	0	0	0	0	0	0	0
1700007F19Rik	0	0.0136702	0	0	0	0.0136702	0	0
1700007G11Rik	0.0361611	0	0	0	0.0361611	0	0	0
1700007I08Rik	0	0	0	0	0	0	0	0
1700007J10Rik	1.72997	1.10466	2.01268	1.73321	1.72997	1.10466	2.01268	1.73321
1700007K09Rik	0	0.0831161	0	0.0481944	0	0.0831161	0	0.0481944
1700007K13Rik	0	0	0	0.037939	0	0	0	0.037939
1700007L15Rik	1.22445	1.12032	2.23874	1.92788	1.22445	1.12032	2.23874	1.92788
1700007P06Rik	0.690754	0.190278	0.613919	0.772323	0.690754	0.190278	0.613919	0.772323
1700008A04Rik	0	0	0	0	0	0	0	0
1700008F21Rik	0	0	0	0	0	0	0	0
1700008I05Rik	0.0151348	0	0	0.0145032	0.0151348	0	0	0.0145032
1700008J07Rik	0.779775	0.838506	1.04798	0.829105	0.779775	0.838506	1.04798	0.829105
1700008K24Rik	0	0	0	0	0	0	0	0
1700008O03Rik	0.0336096	0.111097	0.0358446	0.0966284	0.0336096	0.111097	0.0358446	0.0966284
1700008P02Rik	0	0	0	0	0	0	0	0
1700008P20Rik	0	0.0287901	0	0	0	0.0287901	0	0
1700009C05Rik	0	0	0	0	0	0	0	0
1700009J07Rik	0.0669359	0	0	0	0.0669359	0	0	0
1700009N14Rik	0	0	0	0	0	0	0	0
1700009P17Rik	1.23146	1.27795	1.71037	1.15269	1.23146	1.27795	1.71037	1.15269
1700010B08Rik	0	0	0	0	0	0	0	0
1700010D01Rik	0	0	0	0	0	0	0	0
1700010I02Rik	0.305834	0.0842691	0.108755	0.195452	0.305834	0.0842691	0.108755	0.195452
1700010I14Rik	0.156349	0.199661	0.0909447	0.108962	0.156349	0.199661	0.0909447	0.108962
1700010J16Rik	0	0	0	0	0	0	0	0
1700010K23Rik	0	0	0	0	0	0	0	0
1700010M22Rik	0	0	0	0	0	0	0	0
1700011A15Rik	0	0.0280914	0	0	0	0.0280914	0	0
1700011B04Rik	0	0	0	0	0	0	0	0
1700011E24Rik	0	0.0305321	0	0.0354078	0	0.0305321	0	0.0354078
1700011F03Rik	0	0	0	0	0	0	0	0
1700011F14Rik	0	0	0	0	0	0	0	0
1700011H14Rik	47.5282	66.5732	55.2684	36.6502	47.5282	66.5732	55.2684	36.6502
1700011I03Rik	0	0	0	0	0	0	0	0
1700011J10Rik	4.48787	4.41691	4.46347	3.93833	4.48787	4.41691	4.46347	3.93833
1700011L22Rik	0.0307063	0.0253747	0.0327478	0	0.0307063	0.0253747	0.0327478	0
1700011M02Rik	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0
1700012A16Rik	0	0.0106803	0	0	0	0.0106803	0	0
1700012B07Rik	0.0323312	0	0	0.0501218	0.0323312	0	0	0.0501218
1700012B09Rik	0	0	0	0	0	0	0	0
1700012B15Rik	7.65961	7.14335	5.89316	5.00715	7.65961	7.14335	5.89316	5.00715
1700012D01Rik	0.386772	0.119865	0.103129	0.278011	0.386772	0.119865	0.103129	0.278011
1700012D14Rik	0.334955	0.0461375	0	0	0.334955	0.0461375	0	0
1700012I11Rik	0	0	0	0	0	0	0	0
1700012L04Rik	0.442931	0.48812	1.18116	0.778343	0.442931	0.48812	1.18116	0.778343
1700012P22Rik	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	0	0	0
1700013G23Rik	0.218753	0	0.155559	0.139783	0.218753	0	0.155559	0.139783
1700013G24Rik	0	0	0	0	0	0	0	0
1700013H16Rik	0	0.019264	0	0.0446806	0	0.019264	0	0.0446806
1700013N18Rik	0	0	0	0	0	0	0	0
1700014N06Rik	0	0	0	0	0	0	0	0
1700015E13Rik	0.41978	0.269823	0.0497465	0.491717	0.41978	0.269823	0.0497465	0.491717
1700015F17Rik	0	0	0	0	0	0	0	0
1700015G11Rik	0.128205	0	0	0	0.128205	0	0	0
1700016C15Rik	12.984	25.421	22.956	14.9072	12.984	25.421	22.956	14.9072
1700016D06Rik	0.134731	0.148445	0.287368	0.107594	0.134731	0.148445	0.287368	0.107594
1700016G22Rik	0.243883	0.0503907	0.260131	0.23375	0.243883	0.0503907	0.260131	0.23375
1700016H13Rik	0	0.0673295	0	0.0390397	0	0.0673295	0	0.0390397
1700016K19Rik	0	0.082163	0	0.0635224	0	0.082163	0	0.0635224
1700016L04Rik	0	0	0	0	0	0	0	0
1700016L21Rik	0	0	0	0	0	0	0	0
1700016M24Rik	0	0	0.0227669	0	0	0	0.0227669	0
1700016P04Rik	0	0	0	0	0	0	0	0
1700017B05Rik	4.77676	3.02778	8.95306	7.41808	4.77676	3.02778	8.95306	7.41808
1700017D01Rik	0.408301	0.377091	0.358594	0.138097	0.408301	0.377091	0.358594	0.138097
1700017G19Rik	0	0	0.0113554	0.0306115	0	0	0.0113554	0.0306115
1700017J07Rik	0	0	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0	0	0
1700018A04Rik	0.046551	0.0769416	0	0.133842	0.046551	0.0769416	0	0.133842
1700018B08Rik	0.0271375	0	0.0868241	0	0.0271375	0	0.0868241	0
1700018B24Rik	0	0	0	0	0	0	0	0
1700018C11Rik	0	0.0840031	0.162618	0.0974175	0	0.0840031	0.162618	0.0974175
1700018F24Rik	0	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0	0
1700018L02Rik	3.94425	4.70996	2.86907	4.36967	3.94425	4.70996	2.86907	4.36967
1700018L24Rik	0.041592	0.0343719	0	0	0.041592	0.0343719	0	0
1700019A02Rik	0	0.0463549	0	0	0	0.0463549	0	0
1700019B03Rik	0.0168837	0	0	0	0.0168837	0	0	0
1700019B21Rik	0	0	0	0	0	0	0	0
1700019D03Rik	4.63795	5.14151	3.98129	4.08345	4.63795	5.14151	3.98129	4.08345
1700019E08Rik	0	0	0	0	0	0	0	0
1700019E19Rik	24.8914	26.0436	29.7127	22.8392	24.8914	26.0436	29.7127	22.8392
1700019G17Rik	32.5084	80.2835	37.772	37.8711	32.5084	80.2835	37.772	37.8711
1700019G24Rik	0.0761842	0	0	0	0.0761842	0	0	0
1700019L03Rik	2.4421	2.68614	3.5184	2.78963	2.4421	2.68614	3.5184	2.78963
1700019M22Rik	0	0	0	0	0	0	0	0
1700019N12Rik	0.205804	0.0340154	0	0.157789	0.205804	0.0340154	0	0.157789
1700019N19Rik	0	0.0546233	0	0	0	0.0546233	0	0
1700019O17Rik	0	0	0	0	0	0	0	0
1700020A23Rik	0.07382	0	0	0	0.07382	0	0	0
1700020D05Rik	0.0583293	0.0241006	0.155517	0.0838475	0.0583293	0.0241006	0.155517	0.0838475
1700020G17Rik	0	0	0	0	0	0	0	0
1700020I14Rik	32.653	25.5129	24.1797	27.4146	32.653	25.5129	24.1797	27.4146
1700020L24Rik	0.817176	0.94541	0.941235	0.78313	0.817176	0.94541	0.941235	0.78313
1700020M21Rik	0	0	0	0	0	0	0	0
1700020N01Rik	1.08178	0.389666	0.857874	1.08986	1.08178	0.389666	0.857874	1.08986
1700020N15Rik	0	0	0	0	0	0	0	0
1700020N18Rik	0	0	0	0	0	0	0	0
1700020O03Rik	3.35784	3.22989	3.09555	3.50005	3.35784	3.22989	3.09555	3.50005
1700021C14Rik	2.39344	1.76635	2.55315	1.39292	2.39344	1.76635	2.55315	1.39292
1700021F05Rik	12.0174	13.0149	13.3643	13.0262	12.0174	13.0149	13.3643	13.0262
1700021F07Rik	0	0	0	0	0	0	0	0
1700021K19Rik	7.01086	4.94714	5.97594	7.05835	7.01086	4.94714	5.97594	7.05835
1700021N21Rik	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0	0	0
1700022H16Rik	0	0	0	0	0	0	0	0
1700022I11Rik	0	0	0	0	0	0	0	0
1700022P22Rik	0.211115	0.261771	0.563056	0.505954	0.211115	0.261771	0.563056	0.505954
1700023A16Rik	0	0	0	0	0	0	0	0
1700023C21Rik	0	0	0	0	0	0	0	0
1700023E05Rik	0	0	0	0	0	0	0	0
1700023F02Rik	0	0	0	0	0	0	0	0
1700023F06Rik	0.077267	0.0638486	0.0549332	0.0493613	0.077267	0.0638486	0.0549332	0.0493613
1700023L04Rik	0.155453	0.0430147	0	0.1	0.155453	0.0430147	0	0.1
1700024B18Rik	0	0.178466	0	0	0	0.178466	0	0
1700024F13Rik	0	0.126545	0.217754	0	0	0.126545	0.217754	0
1700024G13Rik	0	0	0	0	0	0	0	0
1700024P03Rik	0	0	0	0	0	0	0	0
1700024P04Rik	0	0	0	0	0	0	0	0
1700024P16Rik	6.27557	4.85002	13.1679	6.15351	6.27557	4.85002	13.1679	6.15351
1700025B11Rik	0	0.225207	0	0	0	0.225207	0	0
1700025C18Rik	0	0	0	0	0	0	0	0
1700025E21Rik	0.0500523	0	0	0.0239811	0.0500523	0	0	0.0239811
1700025F22Rik	0	0	0	0	0	0	0	0
1700025F24Rik	0	0	0	0	0	0	0	0
1700025G04Rik	3.91721	4.38423	3.55762	3.8037	3.91721	4.38423	3.55762	3.8037
1700025K23Rik	0.135418	0.149216	0.0962868	0.086522	0.135418	0.149216	0.0962868	0.086522
1700025K24Rik	0	0	0	0.0424562	0	0	0	0.0424562
1700025M24Rik	0	0	0	0	0	0	0	0
1700025N23Rik	2.58719	3.01008	2.83185	3.09927	2.58719	3.01008	2.83185	3.09927
1700026D08Rik	0	0.0180286	0	0	0	0.0180286	0	0
1700026D11Rik	0	0	0	0	0	0	0	0
1700026F02Rik	0.0851742	0	0	0	0.0851742	0	0	0
1700026J04Rik	0.358449	0.305161	0.347499	0.385118	0.358449	0.305161	0.347499	0.385118
1700026L06Rik	0	0.168006	0.108412	0	0	0.168006	0.108412	0
1700027A15Rik	0	0	0	0	0	0	0	0
1700027A23Rik	0	0	0	0	0	0	0	0
1700027D21Rik	0.211023	0.20925	1.14772	0.829106	0.211023	0.20925	1.14772	0.829106
1700027F09Rik	0.295793	0.104762	0.0450678	0.161989	0.295793	0.104762	0.0450678	0.161989
1700027H10Rik	0	0	0	0	0	0	0	0
1700027I24Rik	0	0	0	0	0	0	0	0
1700027J07Rik	0	0	0	0	0	0	0	0
1700028B04Rik	0	0	0	0	0	0	0	0
1700028D13Rik	0	0	0	0	0	0	0	0
1700028E10Rik	0.0893618	0.0527429	0.0680685	0.0888919	0.0893618	0.0527429	0.0680685	0.0888919
1700028I16Rik	0	0	0.148776	0.10695	0	0	0.148776	0.10695
1700028J19Rik	0.338639	0.39976	0.541715	0.324518	0.338639	0.39976	0.541715	0.324518
